"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865065"	0.9575	0.938	0.936666666666667	0.936	0.94625	0.932222222222222	0.925714285714286	0.94125	0.8925	0.934285714285714
"SRR5865066"	0.71	0.7025	0.783333333333333	0.62	0.69	0.67	0.7675	0.696666666666667	0.7075	0.71
"SRR5865067"	0.34	0.274	0.3	0.42	0.35	0.232222222222222	0.248	0.283333333333333	0.4025	0.288
"SRR5865068"	0.685	0.718333333333333	0.65	0.746	0.641428571428571	0.788888888888889	0.76	0.75	0.71	0.728571428571429
"SRR5865069"	0.455	0.435	0.426666666666667	0.363333333333333	0.478571428571429	0.43	0.39125	0.455	0.42	0.4
"SRR5865070"	0.3675	0.36	0.37	0.48	0.398571428571429	0.382857142857143	0.322	0.4675	0.346666666666667	0.361428571428571
"SRR5865071"	0.545	0.488	0.58	0.572222222222222	0.519	0.531111111111111	0.556666666666667	0.544285714285714	0.508888888888889	0.58
"SRR5865072"	0.4	0.4	0.31	0.415	0.35	0.357777777777778	0.4625	0.38	0.345555555555556	0.37
"SRR5865073"	0.665	0.694444444444444	0.61	0.68	0.69	0.591428571428571	0.614	0.641666666666667	0.6325	0.592857142857143
"SRR5865074"	0.741428571428571	0.84	0.76	0.786	0.721428571428571	0.7225	0.781666666666667	0.78	0.775	0.751428571428571
"SRR5865075"	0.615	0.66	0.606666666666667	0.596666666666667	0.46	0.652	0.641428571428571	0.643333333333333	0.57	0.635
"SRR5865077"	0.425	0.46125	0.473333333333333	0.348	0.49	0.394444444444444	0.4825	0.416666666666667	0.4925	0.415
"SRR5865085"	0.612222222222222	0.625	0.648333333333333	0.635	0.69625	0.614444444444444	0.62625	0.626666666666667	0.58	0.626
"SRR5865086"	0.674285714285714	0.715	0.75	0.686666666666667	0.672	0.667777777777778	0.7625	0.723333333333333	0.707	0.697
"SRR5865087"	0.655	0.647142857142857	0.69	0.6	0.588888888888889	0.625555555555556	0.617142857142857	0.645714285714286	0.626666666666667	0.62125
"SRR5865096"	0.796	0.77	0.77	0.8125	0.78	0.804	0.72	0.785714285714286	0.765	0.788571428571429
"SRR5865097"	0.775	0.743333333333333	0.806666666666667	0.834	0.77125	0.76	0.761428571428571	0.786666666666667	0.72	0.772
"SRR5865098"	0.776666666666667	0.821111111111111	0.86	0.8375	0.78	0.828	0.77	0.803333333333333	0.811111111111111	0.842
"SRR5865110"	0.382222222222222	0.454444444444444	0.42	0.454285714285714	0.46	0.447777777777778	0.388888888888889	0.401666666666667	0.415	0.4
"SRR5865111"	0.522857142857143	0.41	0.53	0.57	0.5	0.458	0.473333333333333	0.46	0.47	0.501428571428571
"SRR5865112"	0.88	0.824285714285714	0.9	0.83	0.827777777777778	0.858888888888889	0.877777777777778	0.856666666666667	0.883333333333333	0.88
"SRR5865114"	0.37	0.495714285714286	0.41	0.392	0.28	0.374444444444444	0.387142857142857	0.42	0.335555555555556	0.378
"SRR5865115"	0.735	0.674285714285714	0.686666666666667	0.663333333333333	0.703	0.72	0.642857142857143	0.698333333333333	0.76	0.74
"SRR5865116"	0.684285714285714	0.641428571428571	0.804	0.732	0.81	0.732	0.71875	0.675714285714286	0.73	0.7125
"SRR5865120"	0.4725	0.3875	0.456	0.485	0.455555555555556	0.422	0.49	0.38	0.395	0.411
"SRR5865121"	0.501	0.528	0.555	0.43	0.55	0.453333333333333	0.483333333333333	0.45	0.434444444444444	0.42
"SRR5865122"	0.725	0.7725	0.731666666666667	0.735	0.7225	0.693333333333333	0.67	0.721666666666667	0.735	0.734
"SRR5865123"	0.72	0.722857142857143	0.686666666666667	0.74	0.73	0.704444444444444	0.688571428571429	0.72	0.72	0.744
"SRR5865124"	0.631	0.673333333333333	0.596666666666667	0.646	0.58	0.577142857142857	0.706666666666667	0.595	0.624444444444444	0.557142857142857
"SRR5865125"	0.678888888888889	0.65	0.728	0.6775	0.70875	0.686	0.6	0.645	0.601111111111111	0.708
"SRR5865126"	0.655	0.6325	0.66	0.58	0.601	0.574444444444444	0.66	0.59375	0.634	0.56
"SRR5865127"	0.55	0.592857142857143	0.634	0.641111111111111	0.63	0.61	0.584285714285714	0.57875	0.63	0.6075
"SRR5865128"	0.3075	0.361666666666667	0.403333333333333	0.41	0.33	0.39	0.4	0.336666666666667	0.36	0.359
"SRR5865129"	0.261111111111111	0.304444444444444	0.4	0.261111111111111	0.29	0.32	0.32	0.244285714285714	0.296	0.258
"SRR5865130"	0.376666666666667	0.432222222222222	0.43	0.432	0.411111111111111	0.392857142857143	0.411428571428571	0.406666666666667	0.433333333333333	0.415714285714286
"SRR5865078"	0.6625	0.68	0.74	0.67	0.71625	0.71	0.732222222222222	0.715	0.685555555555556	0.702
"SRR5865079"	0.764444444444444	0.692	0.703333333333333	0.78	0.723333333333333	0.694	0.73875	0.715	0.78	0.79
"SRR5865080"	0.644285714285714	0.68	0.635	0.681428571428571	0.61125	0.652	0.635	0.6625	0.657	0.685
"SRR5865081"	0.269	0.323333333333333	0.24	0.252	0.2925	0.302857142857143	0.254	0.3675	0.291666666666667	0.327142857142857
"SRR5865082"	0.79	0.787777777777778	0.75	0.787142857142857	0.753333333333333	0.774285714285714	0.817142857142857	0.71	0.776666666666667	0.78
"SRR5865083"	0.846666666666667	0.84	0.87	0.861428571428571	0.84125	0.865555555555556	0.912	0.855	0.85	0.827142857142857
"SRR5865084"	0.5975	0.551666666666667	0.59	0.598571428571429	0.574444444444444	0.602	0.523333333333333	0.633333333333333	0.563333333333333	0.52
"SRR5865088"	0.745	0.681111111111111	0.71	0.67	0.648571428571429	0.628	0.638333333333333	0.62	0.703333333333333	0.79
"SRR5865090"	0.797142857142857	0.755	0.836	0.755	0.76	0.695	0.765714285714286	0.7575	0.85	0.812
"SRR5865091"	0.71	0.7375	0.713333333333333	0.716	0.72	0.733333333333333	0.691111111111111	0.705	0.71	0.685
"SRR5865092"	0.8925	0.902222222222222	0.901666666666667	0.835	0.86	0.906666666666667	0.9025	0.86	0.902	0.88875
"SRR5865093"	0.8475	0.82	0.851666666666667	0.861428571428571	0.93	0.836666666666667	0.854444444444444	0.876666666666667	0.868888888888889	0.841428571428571
"SRR5865094"	0.8	0.817777777777778	0.86	0.86	0.821	0.792857142857143	0.82	0.78	0.806666666666667	0.848
"SRR5865095"	0.632222222222222	0.63	0.636666666666667	0.675	0.688571428571429	0.67	0.67	0.683333333333333	0.595	0.645
"SRR5865099"	0.665	0.65875	0.736	0.706	0.83	0.693333333333333	0.77875	0.77125	0.69	0.744
"SRR5865100"	0.578333333333333	0.60625	0.566666666666667	0.594285714285714	0.58	0.663333333333333	0.53	0.576666666666667	0.61	0.64
"SRR5865101"	0.65	0.73	0.67	0.63875	0.73	0.66	0.702	0.633333333333333	0.64	0.68625
"SRR5865102"	0.327142857142857	0.37	0.43	0.365	0.33875	0.323333333333333	0.2925	0.3525	0.3	0.32
"SRR5865103"	0.67	0.652222222222222	0.68	0.67875	0.594444444444444	0.628888888888889	0.618333333333333	0.715	0.603333333333333	0.64
"SRR5865104"	0.703333333333333	0.7275	0.7	0.727777777777778	0.75	0.751428571428571	0.66	0.75	0.765	0.804
"SRR5865105"	0.465	0.47	0.501666666666667	0.48	0.57	0.4875	0.455714285714286	0.51875	0.429	0.48
"SRR5865107"	0.815	0.872222222222222	0.79	0.802	0.787142857142857	0.84	0.79	0.77	0.814444444444444	0.794
"SRR5865108"	0.773333333333333	0.72	0.816	0.812	0.77	0.81	0.788888888888889	0.75	0.772222222222222	0.821428571428571
"SRR5865109"	0.665	0.672	0.618333333333333	0.575	0.68	0.664	0.665714285714286	0.623333333333333	0.683333333333333	0.66
"SRR5865117"	0.49	0.5	0.465	0.445	0.5225	0.488	0.425	0.556666666666667	0.501	0.46
"SRR5865118"	0.541666666666667	0.515	0.556666666666667	0.56	0.52625	0.552	0.535	0.578333333333333	0.535555555555556	0.56
