"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865065"	0.943	0.973333333333333	0.971666666666667	0.94375	0.9225	0.92	0.91	0.956666666666667	0.9425	0.934285714285714
"SRR5865066"	0.744	0.674285714285714	0.71	0.7375	0.728	0.768	0.79	0.738571428571429	0.782857142857143	0.731428571428571
"SRR5865067"	0.21125	0.305	0.256666666666667	0.31	0.23875	0.26	0.225	0.399	0.2425	0.24
"SRR5865068"	0.816666666666667	0.73	0.795	0.713333333333333	0.741111111111111	0.72	0.744	0.749	0.705	0.795714285714286
"SRR5865069"	0.449	0.5	0.464285714285714	0.385	0.445	0.437777777777778	0.44	0.476666666666667	0.442857142857143	0.395714285714286
"SRR5865070"	0.398	0.453333333333333	0.44	0.373333333333333	0.39	0.338	0.3425	0.391111111111111	0.3975	0.358571428571429
"SRR5865071"	0.529	0.703333333333333	0.571428571428571	0.546666666666667	0.49	0.666666666666667	0.56	0.57	0.5475	0.5725
"SRR5865072"	0.386666666666667	0.44	0.398571428571429	0.32	0.3975	0.393333333333333	0.425	0.46	0.4	0.42125
"SRR5865073"	0.57	0.58	0.636	0.65	0.5525	0.6025	0.546	0.626666666666667	0.622	0.59
"SRR5865074"	0.75	0.76	0.814	0.785	0.75	0.776666666666667	0.822	0.806666666666667	0.79	0.74
"SRR5865075"	0.57	0.6	0.644285714285714	0.646666666666667	0.615555555555556	0.745	0.6575	0.68	0.618571428571429	0.655714285714286
"SRR5865077"	0.503	0.586666666666667	0.574	0.595	0.5125	0.436666666666667	0.555	0.443333333333333	0.525	0.514285714285714
"SRR5865085"	0.6975	0.69	0.664	0.573333333333333	0.64	0.625	0.66	0.713333333333333	0.632857142857143	0.66625
"SRR5865086"	0.806666666666667	0.82	0.715	0.733333333333333	0.757777777777778	0.746	0.736	0.775	0.765	0.745
"SRR5865087"	0.713333333333333	0.644285714285714	0.706	0.693333333333333	0.6775	0.665	0.645	0.647777777777778	0.705	0.695
"SRR5865096"	0.822	0.8	0.78	0.851	0.77	0.76	0.84	0.842857142857143	0.82	0.854444444444444
"SRR5865097"	0.808	0.863333333333333	0.844285714285714	0.796666666666667	0.845	0.7775	0.84	0.88	0.845	0.84
"SRR5865098"	0.864	0.775	0.864285714285714	0.84125	0.851111111111111	0.87	0.83	0.831111111111111	0.827142857142857	0.84
"SRR5865110"	0.295	0.525	0.42	0.4675	0.405	0.2725	0.43	0.57	0.418333333333333	0.4
"SRR5865111"	0.47	0.416666666666667	0.51	0.558	0.421111111111111	0.5	0.49	0.407142857142857	0.41	0.461428571428571
"SRR5865112"	0.818	0.92	0.8	0.815	0.82	0.816666666666667	0.884	0.855	0.885	0.83
"SRR5865114"	0.3675	0.43	0.372857142857143	0.39	0.41	0.345555555555556	0.35	0.478	0.35	0.313333333333333
"SRR5865115"	0.64	0.64	0.77	0.66	0.69	0.6525	0.69	0.65	0.668333333333333	0.6925
"SRR5865116"	0.7175	0.75	0.73	0.78	0.72	0.74	0.7175	0.765714285714286	0.782	0.773333333333333
"SRR5865120"	0.3675	0.365	0.408333333333333	0.3975	0.44	0.48	0.48	0.35	0.388571428571429	0.394285714285714
"SRR5865121"	0.446	0.47	0.521666666666667	0.41	0.48	0.52	0.42	0.513333333333333	0.514	0.4825
"SRR5865122"	0.74	0.73	0.78	0.656666666666667	0.72875	0.71	0.725	0.64	0.7425	0.736666666666667
"SRR5865123"	0.748	0.727142857142857	0.74	0.713333333333333	0.73625	0.736	0.774	0.7	0.71	0.82
"SRR5865124"	0.572	0.557142857142857	0.542	0.58	0.617777777777778	0.61	0.58	0.644444444444444	0.604285714285714	0.627142857142857
