"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.753333333333333	0.663333333333333	0.653333333333333	0.728	0.745	0.721666666666667	0.658571428571429	0.658888888888889	0.658888888888889	0.66125
"SAMPLE-2"	0.213333333333333	0.228888888888889	0.262	0.288	0.27	0.22	0.25	0.3	0.273333333333333	0.27
"SAMPLE-3"	0.82	0.794444444444444	0.796666666666667	0.78	0.823333333333333	0.737	0.76	0.706666666666667	0.78	0.76
"SAMPLE-4"	0.5225	0.508888888888889	0.508	0.51	0.483333333333333	0.4825	0.48	0.466666666666667	0.48	0.535
"SAMPLE-5"	0.49	0.386666666666667	0.41125	0.41	0.4525	0.47	0.466	0.42	0.48	0.5175
"SAMPLE-6"	0.47	0.45	0.50625	0.451111111111111	0.443333333333333	0.488	0.5175	0.517142857142857	0.51	0.483
"SAMPLE-7"	0.78625	0.79	0.8	0.748888888888889	0.765	0.811666666666667	0.805	0.71	0.78	0.8
"SAMPLE-8"	0.436666666666667	0.475	0.39	0.47	0.363333333333333	0.333333333333333	0.403333333333333	0.31625	0.383333333333333	0.44
"SAMPLE-9"	0.43	0.487142857142857	0.54	0.5	0.5	0.53	0.55	0.5	0.455555555555556	0.415
"SAMPLE-10"	0.646666666666667	0.673333333333333	0.775	0.61	0.6875	0.696666666666667	0.69	0.736	0.736666666666667	0.717
"SAMPLE-11"	0.796666666666667	0.85	0.753333333333333	0.82	0.7825	0.813333333333333	0.745	0.8125	0.784444444444444	0.765
"SAMPLE-12"	0.146666666666667	0.225	0.115	0.128333333333333	0.123333333333333	0.14	0.133333333333333	0.0725	0.166666666666667	0.115
"SAMPLE-13"	0.743333333333333	0.8	0.75	0.801666666666667	0.726666666666667	0.747	0.746666666666667	0.73	0.74	0.76
"SAMPLE-14"	0.176666666666667	0.161111111111111	0.171666666666667	0.16	0.146666666666667	0.188333333333333	0.211	0.222222222222222	0.171111111111111	0.2
"SAMPLE-15"	0.24	0.293333333333333	0.37	0.47	0.344	0.318	0.3	0.403333333333333	0.34	0.284
"SAMPLE-16"	0.873333333333333	0.88	0.881111111111111	0.845	0.872	0.883333333333333	0.885714285714286	0.867142857142857	0.858	0.76625
"SAMPLE-17"	0.803333333333333	0.868888888888889	0.76125	0.74	0.7975	0.761666666666667	0.758	0.8	0.8	0.84
"SAMPLE-18"	0.3	0.363333333333333	0.308333333333333	0.315	0.33	0.2975	0.345	0.4	0.287777777777778	0.38
"SAMPLE-19"	0.78	0.696666666666667	0.753333333333333	0.813333333333333	0.71875	0.81	0.718	0.824	0.8	0.81
"SAMPLE-20"	0.651111111111111	0.61	0.601666666666667	0.61	0.586666666666667	0.64	0.526666666666667	0.62	0.646666666666667	0.695714285714286
"SAMPLE-21"	0.273333333333333	0.312222222222222	0.30875	0.236	0.33875	0.346666666666667	0.436	0.341428571428571	0.315555555555556	0.335
