"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.7	0.705714285714286	0.715	0.77	0.73	0.718333333333333	0.755	0.693333333333333	0.756666666666667	0.645
"SAMPLE-2"	0.21	0.24	0.178333333333333	0.215	0.25	0.203333333333333	0.18	0.2025	0.243333333333333	0.303333333333333
"SAMPLE-3"	0.69	0.786666666666667	0.765	0.752857142857143	0.781666666666667	0.7175	0.76	0.765	0.713333333333333	0.735
"SAMPLE-4"	0.565	0.6	0.523333333333333	0.54	0.576666666666667	0.586666666666667	0.52	0.55	0.625	0.615
"SAMPLE-5"	0.4	0.515	0.51	0.31	0.387777777777778	0.4925	0.505555555555556	0.45	0.405	0.456666666666667
"SAMPLE-6"	0.445	0.512857142857143	0.492	0.555	0.541666666666667	0.55	0.503333333333333	0.4925	0.513333333333333	0.486666666666667
"SAMPLE-7"	0.79	0.804	0.783333333333333	0.776666666666667	0.78	0.72	0.765	0.783333333333333	0.756666666666667	0.76
"SAMPLE-8"	0.48	0.474	0.478333333333333	0.423333333333333	0.51	0.445	0.48	0.443333333333333	0.468333333333333	0.485
"SAMPLE-9"	0.6025	0.61	0.508	0.56	0.538888888888889	0.5625	0.515	0.5225	0.595	0.52
"SAMPLE-10"	0.76	0.72	0.69	0.7625	0.646666666666667	0.63	0.74	0.74	0.731666666666667	0.725555555555556
"SAMPLE-11"	0.79	0.67	0.7225	0.7775	0.763333333333333	0.71	0.79	0.75	0.795	0.86
"SAMPLE-12"	0.16125	0.17	0.165	0.1925	0.206	0.17	0.136666666666667	0.1275	0.236666666666667	0.16
"SAMPLE-13"	0.793	0.783	0.7025	0.758	0.795	0.796666666666667	0.795	0.781666666666667	0.773333333333333	0.776
"SAMPLE-14"	0.11	0.148	0.11	0.12	0.141666666666667	0.143333333333333	0.1625	0.204444444444444	0.14	0.14
"SAMPLE-15"	0.336	0.415	0.395	0.37	0.426	0.39	0.35	0.324444444444444	0.432222222222222	0.335
"SAMPLE-16"	0.838	0.808333333333333	0.86	0.834444444444444	0.78	0.79	0.836666666666667	0.845	0.87	0.785
"SAMPLE-17"	0.83	0.737	0.78	0.772	0.745	0.823333333333333	0.78	0.786666666666667	0.795	0.763333333333333
"SAMPLE-18"	0.359	0.363333333333333	0.355	0.26	0.336666666666667	0.353333333333333	0.323333333333333	0.402222222222222	0.351666666666667	0.381111111111111
"SAMPLE-19"	0.89	0.858571428571429	0.85	0.92	0.923333333333333	0.896666666666667	0.896666666666667	0.928888888888889	0.886666666666667	0.895
"SAMPLE-20"	0.74	0.646	0.625	0.64	0.726666666666667	0.7	0.68	0.7425	0.62	0.68
"SAMPLE-21"	0.422	0.418333333333333	0.39	0.39	0.348333333333333	0.33	0.34	0.383333333333333	0.385555555555556	0.426666666666667
"SAMPLE-22"	0.67	0.64	0.606666666666667	0.676666666666667	0.63	0.594	0.646666666666667	0.626666666666667	0.53	0.64
"SAMPLE-23"	0.528	0.57	0.4075	0.396	0.66	0.448	0.538888888888889	0.435	0.517777777777778	0.535
"SAMPLE-24"	0.18	0.258333333333333	0.16	0.222	0.17	0.24	0.23	0.216666666666667	0.225	0.21
"SAMPLE-25"	0.488	0.546	0.61	0.475	0.508888888888889	0.51	0.504444444444444	0.593333333333333	0.535	0.465555555555556
"SAMPLE-26"	0.737	0.746666666666667	0.725	0.714	0.745	0.672	0.723333333333333	0.765	0.775	0.673333333333333
"SAMPLE-27"	0.683	0.725	0.66	0.691111111111111	0.691111111111111	0.67	0.683333333333333	0.73	0.695	0.754444444444444
"SAMPLE-28"	0.534	0.505555555555556	0.57	0.496	0.55	0.53	0.496666666666667	0.4725	0.468333333333333	0.463333333333333
"SAMPLE-29"	0.6475	0.682222222222222	0.67	0.64	0.8	0.703333333333333	0.6325	0.6	0.67	0.73
"SAMPLE-30"	0.34	0.358571428571429	0.38	0.32	0.42	0.325	0.3	0.35	0.35	0.29
"SAMPLE-31"	0.5	0.34	0.405	0.3975	0.408333333333333	0.456666666666667	0.41	0.464444444444444	0.407777777777778	0.393333333333333
"SAMPLE-32"	0.7575	0.772	0.75	0.7675	0.813333333333333	0.77	0.77	0.783333333333333	0.725	0.765
"SAMPLE-33"	0.27	0.25	0.256	0.231111111111111	0.2	0.22	0.256666666666667	0.1975	0.25	0.275
"SAMPLE-34"	0.322	0.35	0.29	0.22	0.258888888888889	0.3225	0.29	0.2425	0.31	0.313333333333333
"SAMPLE-35"	0.67	0.662222222222222	0.711666666666667	0.6375	0.61	0.61	0.613333333333333	0.688333333333333	0.618333333333333	0.623333333333333
"SAMPLE-36"	0.294	0.26	0.206666666666667	0.195	0.243333333333333	0.278333333333333	0.236666666666667	0.28	0.295555555555556	0.284444444444444
"SAMPLE-37"	0.48	0.422	0.475	0.411428571428571	0.51	0.446666666666667	0.35	0.463333333333333	0.465	0.43
"SAMPLE-38"	0.6	0.578	0.643333333333333	0.625	0.568333333333333	0.556	0.675	0.603333333333333	0.66	0.62
"SAMPLE-39"	0.858	0.858888888888889	0.85	0.848	0.858888888888889	0.86	0.873333333333333	0.883333333333333	0.83	0.843333333333333
"SAMPLE-40"	0.212	0.27	0.255	0.2325	0.224	0.21	0.284444444444444	0.274444444444444	0.176666666666667	0.14
"SAMPLE-41"	0.1275	0.191666666666667	0.155	0.15	0.15	0.161666666666667	0.15	0.143333333333333	0.113333333333333	0.146
"SAMPLE-42"	0.66	0.658333333333333	0.575	0.63	0.65	0.68	0.666666666666667	0.7675	0.61	0.602222222222222
"SAMPLE-43"	0.21	0.253	0.3	0.195714285714286	0.186666666666667	0.25	0.15	0.198333333333333	0.201666666666667	0.22
"SAMPLE-44"	0.72375	0.722222222222222	0.64	0.73	0.68	0.68	0.745	0.823333333333333	0.731111111111111	0.766666666666667
"SAMPLE-45"	0.59	0.468571428571429	0.51	0.515	0.486	0.49	0.55	0.565	0.52	0.523333333333333
"SAMPLE-46"	0.592	0.51	0.553333333333333	0.5525	0.62	0.513333333333333	0.495	0.5425	0.545	0.472
"SAMPLE-47"	0.36	0.344444444444444	0.326666666666667	0.332222222222222	0.3	0.335	0.25	0.374444444444444	0.33	0.3
"SAMPLE-48"	0.536	0.621111111111111	0.645	0.59	0.556666666666667	0.628333333333333	0.64	0.595	0.595	0.67
"SAMPLE-49"	0.238	0.316	0.32	0.25	0.281666666666667	0.286666666666667	0.24	0.2	0.321666666666667	0.231111111111111
"SAMPLE-50"	0.51125	0.5	0.575	0.545	0.52	0.533333333333333	0.49	0.496666666666667	0.515	0.567777777777778
"SAMPLE-51"	0.82	0.821111111111111	0.83	0.86	0.852222222222222	0.9	0.87	0.831666666666667	0.816666666666667	0.82
"SAMPLE-52"	0.1525	0.166666666666667	0.176	0.18	0.18	0.19	0.135	0.187777777777778	0.185	0.172
"SAMPLE-53"	0.455	0.493333333333333	0.473333333333333	0.4825	0.468	0.428	0.46	0.49	0.443333333333333	0.48
"SAMPLE-54"	0.202	0.226666666666667	0.2725	0.275714285714286	0.242222222222222	0.293333333333333	0.17	0.197777777777778	0.25	0.336666666666667
"SAMPLE-55"	0.33	0.292	0.275	0.25	0.288	0.41	0.305	0.26	0.331666666666667	0.308333333333333
"SAMPLE-56"	0.853	0.872	0.83	0.9	0.85	0.854	0.87	0.841666666666667	0.855	0.854444444444444
"SAMPLE-57"	0.464	0.409	0.37	0.3475	0.358	0.376666666666667	0.413333333333333	0.353333333333333	0.353333333333333	0.35
"SAMPLE-58"	0.75	0.79	0.79	0.82	0.79	0.833333333333333	0.813333333333333	0.811111111111111	0.88	0.834
"SAMPLE-59"	0.175	0.23	0.255	0.264285714285714	0.215555555555556	0.27	0.256666666666667	0.276666666666667	0.205	0.26
"SAMPLE-60"	0.116	0.185	0.11	0.112	0.144444444444444	0.17	0.1325	0.147777777777778	0.0966666666666667	0.2
"SAMPLE-61"	0.7	0.64	0.7	0.68	0.691111111111111	0.67	0.59	0.7225	0.654444444444444	0.65
"SRR5865065"	0.9375	0.943333333333333	0.9075	0.93	0.96	0.905	0.96	0.91	0.93	0.876666666666667
"SRR5865066"	0.72	0.73	0.756	0.72	0.82	0.768333333333333	0.68	0.74	0.71	0.71
"SRR5865067"	0.11	0.18	0.251	0.21	0.188888888888889	0.245	0.193333333333333	0.165	0.14	0.18
"SRR5865068"	0.84	0.816666666666667	0.753333333333333	0.755	0.791666666666667	0.763333333333333	0.833333333333333	0.758333333333333	0.74	0.804
"SRR5865069"	0.456	0.439	0.425	0.335	0.45	0.41	0.426666666666667	0.5225	0.38	0.41
"SRR5865070"	0.35	0.334444444444444	0.31	0.383333333333333	0.302222222222222	0.333333333333333	0.357777777777778	0.353333333333333	0.35	0.306666666666667
"SRR5865071"	0.648	0.685	0.646666666666667	0.685	0.611666666666667	0.73	0.715	0.634444444444444	0.63	0.703333333333333
"SRR5865072"	0.33	0.343333333333333	0.475	0.404	0.426666666666667	0.43	0.36	0.365	0.413333333333333	0.436666666666667
"SRR5865073"	0.64	0.644	0.578333333333333	0.7675	0.63	0.656	0.626666666666667	0.657777777777778	0.61	0.64
"SRR5865074"	0.762	0.816	0.816666666666667	0.7825	0.818888888888889	0.84	0.83	0.84	0.79	0.84
"SRR5865075"	0.63	0.664285714285714	0.6175	0.56	0.624444444444444	0.64	0.61	0.653333333333333	0.61	0.692222222222222
"SRR5865077"	0.41	0.48	0.51	0.548333333333333	0.6	0.48	0.516666666666667	0.476666666666667	0.503333333333333	0.496666666666667
"SRR5865085"	0.68625	0.65	0.649	0.622222222222222	0.652222222222222	0.73	0.673333333333333	0.695	0.681111111111111	0.67
"SRR5865086"	0.825	0.773333333333333	0.731666666666667	0.847142857142857	0.795	0.81	0.763333333333333	0.813333333333333	0.821111111111111	0.82
"SRR5865087"	0.65	0.693333333333333	0.74	0.72	0.72	0.69	0.73	0.75	0.766666666666667	0.786666666666667
"SRR5865096"	0.857	0.835714285714286	0.859	0.848888888888889	0.876	0.853333333333333	0.813333333333333	0.89	0.873333333333333	0.803333333333333
"SRR5865097"	0.8275	0.85	0.841666666666667	0.843333333333333	0.815	0.75	0.825	0.883333333333333	0.8	0.86
"SRR5865098"	0.86	0.863333333333333	0.81	0.83	0.863333333333333	0.876	0.816666666666667	0.9	0.85	0.886
"SRR5865110"	0.39	0.328	0.345	0.353333333333333	0.331111111111111	0.56	0.276666666666667	0.32	0.334444444444444	0.355
"SRR5865111"	0.44	0.473333333333333	0.403333333333333	0.42	0.38	0.49	0.5	0.425555555555556	0.47	0.415
"SRR5865112"	0.88375	0.866666666666667	0.83	0.864	0.903333333333333	0.856666666666667	0.846666666666667	0.88	0.875	0.81
"SRR5865114"	0.422	0.383333333333333	0.345	0.38	0.333333333333333	0.3	0.306666666666667	0.328333333333333	0.378888888888889	0.356666666666667
"SRR5865115"	0.65	0.653333333333333	0.669	0.68	0.666	0.71	0.626666666666667	0.696666666666667	0.656666666666667	0.65
"SRR5865116"	0.764	0.73	0.855	0.73	0.87	0.75	0.78	0.781666666666667	0.775	0.835
"SRR5865120"	0.51	0.41	0.495	0.4	0.436666666666667	0.5	0.49	0.53	0.4	0.436666666666667
"SRR5865121"	0.4075	0.411428571428571	0.46	0.405	0.4	0.348333333333333	0.44	0.408333333333333	0.29	0.377777777777778
"SRR5865122"	0.68	0.69	0.655	0.68	0.78	0.696666666666667	0.705	0.6475	0.7	0.683333333333333
