"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR11292125"	0.67	0.58	0.701666666666667	0.65	0.6	0.672	0.675	0.65	0.691666666666667	0.74
"SRR11292126"	0.4375	0.4975	0.551666666666667	0.423333333333333	0.44	0.456	0.505	0.518333333333333	0.49	0.441428571428571
"SRR11292127"	0.4775	0.52625	0.59	0.53	0.512	0.528	0.545	0.551428571428571	0.4875	0.63
"SRR11292131"	0.825	0.65	0.746666666666667	0.82	0.725	0.74	0.686666666666667	0.656	0.68	0.75
"SRR11292132"	0.16	0.16	0.275	0.15	0.306	0.1875	0.256666666666667	0.205	0.175	0.25
"SRR11292136"	0.57	0.675	0.676666666666667	0.648	0.695	0.61	0.646666666666667	0.678571428571429	0.725	0.675
"SRR11292137"	0.5275	0.57875	0.686666666666667	0.648	0.71	0.61	0.51	0.582	0.525	0.6425
"SRR11292138"	0.67	0.5975	0.56	0.65	0.266	0.65	0.61	0.62	0.593333333333333	0.57
"SRR11292140"	0.5425	0.63	0.554285714285714	0.59	0.5125	0.5125	0.543333333333333	0.525	0.575	0.54
"SRR11292141"	0.75	0.805	0.82	0.74	0.685	0.735	0.738888888888889	0.811428571428571	0.74	0.778333333333333
"SRR11292142"	0.5	0.51	0.34	0.493	0.495	0.448	0.42	0.6	0.49875	0.46
"SRR11292143"	0.61	0.606666666666667	0.525	0.52	0.575	0.602	0.551111111111111	0.565714285714286	0.5125	0.5225
"SRR11292144"	0.564	0.4625	0.56	0.58	0.5675	0.568	0.507777777777778	0.505	0.628333333333333	0.568333333333333
"SRR11292145"	0.52	0.61	0.64	0.52	0.54	0.564	0.5525	0.594	0.52	0.51
"SRR11292146"	0.57	0.608	0.66	0.596666666666667	0.605	0.6	0.613333333333333	0.59	0.59	0.65
"SRR11292147"	0.6	0.6	0.636666666666667	0.596666666666667	0.575	0.6	0.62	0.59	0.6	0.63
"SRR11292148"	0.745	0.6825	0.72	0.746	0.82	0.805	0.71	0.785	0.726666666666667	0.735
"SRR11292129"	0.615	0.555	0.605	0.6	0.625	0.615	0.57	0.57	0.5775	0.6
"SRR11292130"	0.63	0.653333333333333	0.675714285714286	0.68	0.635	0.682	0.63	0.658	0.6925	0.692857142857143
"SRR11292133"	0.81	0.776	0.826666666666667	0.833333333333333	0.83	0.885	0.8	0.79	0.865	0.735
"SRR11292134"	0.5925	0.456666666666667	0.618571428571429	0.62375	0.62	0.554	0.615	0.565714285714286	0.6175	0.595714285714286
"SRR11292135"	0.4125	0.455	0.49	0.52	0.445	0.39	0.49	0.516666666666667	0.46	0.5025
