"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.308571428571429	0.286	0.257777777777778	0.277777777777778	0.345	0.29	0.28	0.325555555555556	0.34	0.267142857142857	0.315	0.275	0.26	0.373333333333333	0.305	0.31	0.27	0.317	0.3425	0.315	0.374	0.256666666666667	0.322222222222222	0.3525	0.281111111111111	0.329	0.3	0.31	0.22	0.25	0.284	0.317142857142857	0.26125	0.243333333333333	0.23	0.35	0.255	0.256666666666667	0.276	0.33625	0.273333333333333	0.292222222222222	0.337142857142857	0.37	0.325	0.363333333333333	0.34	0.3075	0.244	0.303333333333333	0.27	0.35	0.274	0.258	0.32	0.296	0.26	0.29	0.327142857142857	0.34	0.313333333333333	0.293333333333333	0.264	0.311111111111111	0.316666666666667	0.28	0.243333333333333	0.278888888888889	0.313333333333333	0.31625	0.33125	0.307777777777778	0.306666666666667	0.286	0.322222222222222	0.29	0.37	0.276666666666667	0.2825	0.3
"ERR1624542"	0.292857142857143	0.302	0.317777777777778	0.321111111111111	0.31	0.325	0.34875	0.323333333333333	0.35	0.328571428571429	0.295	0.313333333333333	0.28	0.376666666666667	0.3375	0.27125	0.24	0.313	0.3775	0.345	0.364	0.353333333333333	0.365555555555556	0.385	0.292222222222222	0.373	0.335	0.33	0.3	0.276666666666667	0.316	0.351428571428571	0.30125	0.303333333333333	0.313333333333333	0.3325	0.3	0.336666666666667	0.304	0.3225	0.28	0.345555555555556	0.358571428571429	0.3	0.35	0.346666666666667	0.345	0.3325	0.272	0.326666666666667	0.315	0.327	0.288	0.358	0.37	0.344	0.295	0.315	0.348571428571429	0.31	0.3	0.293333333333333	0.282	0.317777777777778	0.366666666666667	0.311	0.253333333333333	0.331111111111111	0.313333333333333	0.33	0.335	0.32	0.31	0.285	0.334444444444444	0.3075	0.31	0.28	0.305	0.33
"ERR1624545"	0.51	0.518	0.523333333333333	0.574444444444444	0.485	0.5525	0.5025	0.515555555555556	0.535	0.485714285714286	0.5	0.526666666666667	0.57	0.543333333333333	0.475	0.51875	0.48	0.51	0.58375	0.538333333333333	0.61	0.546666666666667	0.556666666666667	0.455	0.547777777777778	0.563	0.56	0.52	0.48	0.495	0.472	0.502857142857143	0.50625	0.496666666666667	0.526666666666667	0.58	0.485	0.511666666666667	0.536	0.5725	0.543333333333333	0.54	0.512857142857143	0.63	0.508333333333333	0.53	0.585	0.53625	0.478	0.533333333333333	0.465	0.539	0.494	0.556	0.554	0.516	0.505	0.565	0.49	0.4	0.56	0.48	0.45	0.526666666666667	0.53	0.561	0.468333333333333	0.522222222222222	0.496666666666667	0.5525	0.53875	0.52	0.556666666666667	0.49	0.575555555555556	0.515	0.575	0.43	0.5325	0.54
"ERR1624547"	0.241428571428571	0.3	0.265555555555556	0.263333333333333	0.265	0.2625	0.2825	0.29	0.3	0.298571428571429	0.265	0.263333333333333	0.23	0.286666666666667	0.285	0.27875	0.19	0.253	0.2875	0.246666666666667	0.31	0.306666666666667	0.281111111111111	0.3075	0.251111111111111	0.311	0.295	0.24	0.33	0.3	0.289	0.298571428571429	0.27375	0.28	0.28	0.295	0.325	0.278333333333333	0.28	0.265	0.223333333333333	0.284444444444444	0.328571428571429	0.31	0.296666666666667	0.34	0.2875	0.3175	0.28	0.27	0.3125	0.255	0.228	0.288	0.258	0.269	0.29	0.22	0.297142857142857	0.23	0.263333333333333	0.293333333333333	0.253	0.237777777777778	0.273333333333333	0.277	0.24	0.271111111111111	0.273333333333333	0.285	0.2975	0.263333333333333	0.266666666666667	0.235	0.293333333333333	0.245	0.365	0.288333333333333	0.24875	0.21
"ERR1624549"	0.368571428571429	0.35	0.344444444444444	0.4	0.335	0.41	0.3825	0.368888888888889	0.405	0.341428571428571	0.375	0.38	0.4	0.363333333333333	0.31	0.34625	0.4	0.395	0.425	0.39	0.436	0.346666666666667	0.371111111111111	0.4125	0.405555555555556	0.416	0.385	0.33	0.38	0.366666666666667	0.376	0.375714285714286	0.32875	0.353333333333333	0.343333333333333	0.4275	0.345	0.386666666666667	0.32	0.41375	0.33	0.365555555555556	0.362857142857143	0.37	0.413333333333333	0.373333333333333	0.4375	0.36625	0.346	0.363333333333333	0.38	0.413	0.4	0.38	0.398	0.369	0.31	0.295	0.377142857142857	0.37	0.353333333333333	0.323333333333333	0.321	0.454444444444444	0.403333333333333	0.374	0.328333333333333	0.425555555555556	0.343333333333333	0.38125	0.4175	0.417777777777778	0.416666666666667	0.335	0.372222222222222	0.365	0.42	0.341666666666667	0.3425	0.285
"ERR1624550"	0.322857142857143	0.358	0.354444444444444	0.368888888888889	0.33	0.4025	0.32375	0.427777777777778	0.405	0.355714285714286	0.435	0.391666666666667	0.4	0.406666666666667	0.36625	0.37875	0.47	0.404	0.3525	0.333333333333333	0.37	0.42	0.375555555555556	0.3925	0.424444444444444	0.436	0.47	0.31	0.43	0.41	0.401	0.354285714285714	0.3225	0.323333333333333	0.443333333333333	0.3425	0.355	0.39	0.362	0.345	0.346666666666667	0.358888888888889	0.377142857142857	0.47	0.395	0.416666666666667	0.355	0.39125	0.342	0.318333333333333	0.3675	0.422	0.434	0.396	0.396	0.276	0.315	0.3	0.4	0.42	0.366666666666667	0.356666666666667	0.366	0.374444444444444	0.336666666666667	0.394	0.346666666666667	0.347777777777778	0.316666666666667	0.32625	0.40875	0.376666666666667	0.336666666666667	0.323	0.348888888888889	0.38	0.395	0.351666666666667	0.3275	0.38
"ERR1624552"	0.467142857142857	0.434	0.435555555555556	0.491111111111111	0.39	0.4425	0.4525	0.492222222222222	0.495	0.487142857142857	0.455	0.475	0.48	0.56	0.47375	0.4525	0.45	0.477	0.5275	0.475	0.484	0.523333333333333	0.523333333333333	0.52	0.464444444444444	0.504	0.5	0.41	0.51	0.456666666666667	0.442	0.468571428571429	0.475	0.443333333333333	0.423333333333333	0.495	0.455	0.471666666666667	0.432	0.53	0.366666666666667	0.487777777777778	0.545714285714286	0.42	0.466666666666667	0.553333333333333	0.4925	0.4725	0.416	0.441666666666667	0.48	0.495	0.416	0.428	0.492	0.473	0.46	0.485	0.405714285714286	0.41	0.49	0.486666666666667	0.44	0.472222222222222	0.546666666666667	0.487	0.398333333333333	0.434444444444444	0.47	0.47375	0.52375	0.453333333333333	0.523333333333333	0.416	0.49	0.445	0.495	0.471666666666667	0.495	0.45
"ERR1624553"	0.172857142857143	0.19	0.156666666666667	0.152222222222222	0.175	0.1875	0.17875	0.172222222222222	0.175	0.125714285714286	0.14	0.118333333333333	0.24	0.25	0.13875	0.17375	0.19	0.227	0.17125	0.14	0.198	0.136666666666667	0.134444444444444	0.215	0.194444444444444	0.199	0.15	0.09	0.14	0.171666666666667	0.145	0.185714285714286	0.12125	0.136666666666667	0.17	0.165	0.125	0.133333333333333	0.146	0.16875	0.243333333333333	0.111111111111111	0.157142857142857	0.29	0.213333333333333	0.22	0.15	0.18	0.134	0.163333333333333	0.175	0.195	0.174	0.132	0.144	0.139	0.15	0.12	0.138571428571429	0.21	0.143333333333333	0.176666666666667	0.152	0.121111111111111	0.153333333333333	0.168	0.131666666666667	0.144444444444444	0.14	0.1525	0.16125	0.13	0.146666666666667	0.131	0.14	0.115	0.24	0.161666666666667	0.14	0.205
"ERR1624554"	0.321428571428571	0.328	0.336666666666667	0.28	0.345	0.31	0.35625	0.344444444444444	0.335	0.264285714285714	0.285	0.286666666666667	0.37	0.406666666666667	0.32125	0.28125	0.28	0.343	0.34375	0.318333333333333	0.364	0.33	0.314444444444444	0.32	0.324444444444444	0.346	0.325	0.3	0.22	0.285	0.313	0.348571428571429	0.26375	0.283333333333333	0.27	0.3325	0.285	0.333333333333333	0.318	0.33625	0.286666666666667	0.304444444444444	0.295714285714286	0.36	0.358333333333333	0.316666666666667	0.3525	0.37	0.276	0.29	0.3275	0.316	0.282	0.292	0.324	0.346	0.315	0.305	0.294285714285714	0.28	0.316666666666667	0.266666666666667	0.264	0.308888888888889	0.32	0.329	0.288333333333333	0.295555555555556	0.323333333333333	0.33625	0.2975	0.307777777777778	0.32	0.302	0.345555555555556	0.24	0.305	0.28	0.29625	0.36
"ERR1624555"	0.262857142857143	0.244	0.28	0.244444444444444	0.29	0.28	0.2725	0.246666666666667	0.255	0.277142857142857	0.275	0.245	0.27	0.316666666666667	0.23875	0.25	0.27	0.251	0.30875	0.255	0.334	0.3	0.284444444444444	0.2375	0.234444444444444	0.28	0.285	0.23	0.24	0.248333333333333	0.255	0.27	0.23125	0.2	0.24	0.29	0.255	0.331666666666667	0.24	0.29	0.28	0.268888888888889	0.262857142857143	0.29	0.271666666666667	0.273333333333333	0.2975	0.27	0.272	0.258333333333333	0.25	0.275	0.23	0.242	0.268	0.274	0.18	0.25	0.274285714285714	0.26	0.263333333333333	0.303333333333333	0.216	0.26	0.28	0.269	0.17	0.255555555555556	0.243333333333333	0.2925	0.245	0.25	0.246666666666667	0.233	0.29	0.205	0.26	0.225	0.2125	0.22
