"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.825	0.783333333333333	0.775	0.8225	0.81	0.811	0.85	0.7625	0.7925	0.825	0.832222222222222	0.7275	0.808	0.795	0.7775	0.825	0.707142857142857	0.78	0.782222222222222	0.783333333333333	0.78	0.825	0.821428571428571	0.78	0.81875	0.8	0.826666666666667	0.825	0.743333333333333	0.8	0.788333333333333	0.8225	0.831428571428571	0.795555555555556	0.81	0.796666666666667	0.776666666666667	0.79875	0.73	0.78	0.81	0.83	0.77	0.755	0.797	0.736666666666667	0.765	0.778888888888889	0.836666666666667	0.855	0.7875	0.854	0.726666666666667	0.81875	0.79	0.823333333333333	0.818571428571429	0.836666666666667	0.83375	0.87	0.778571428571429	0.72	0.786666666666667	0.788	0.8025	0.77	0.753333333333333	0.75	0.8	0.73	0.81	0.816666666666667	0.88	0.775	0.83375	0.789	0.86	0.795	0.785555555555556	0.74
"SRR5865066"	0.7075	0.716666666666667	0.68625	0.7125	0.70375	0.703	0.78	0.735	0.72	0.7125	0.728888888888889	0.6525	0.679	0.67	0.6575	0.72	0.658571428571429	0.656666666666667	0.687777777777778	0.736666666666667	0.705	0.7	0.681428571428571	0.61	0.72875	0.6875	0.755	0.726	0.615	0.7075	0.686666666666667	0.7075	0.671428571428571	0.713333333333333	0.728333333333333	0.686666666666667	0.68	0.6825	0.68	0.626666666666667	0.72	0.68	0.693333333333333	0.64	0.683	0.713333333333333	0.685	0.64	0.688333333333333	0.71875	0.65875	0.744	0.643333333333333	0.715	0.678	0.726666666666667	0.704285714285714	0.776666666666667	0.70625	0.63	0.661428571428571	0.67	0.705555555555556	0.7	0.72	0.6925	0.653333333333333	0.74	0.73	0.78	0.6925	0.653333333333333	0.75	0.705	0.67875	0.717	0.69	0.695	0.695555555555556	0.61
"SRR5865067"	0.385	0.356666666666667	0.30625	0.3925	0.3225	0.383	0.45	0.345	0.3575	0.3625	0.34	0.27375	0.296	0.3325	0.35	0.33	0.318571428571429	0.28	0.295555555555556	0.35	0.28	0.3025	0.374285714285714	0.28	0.375	0.27	0.353333333333333	0.352	0.255	0.345	0.303333333333333	0.36	0.341428571428571	0.381111111111111	0.306666666666667	0.293333333333333	0.35	0.32375	0.27	0.396666666666667	0.33	0.3675	0.376666666666667	0.3725	0.371	0.206666666666667	0.36	0.3	0.373333333333333	0.3625	0.32375	0.376	0.286666666666667	0.3575	0.292	0.366666666666667	0.321428571428571	0.38	0.4375	0.28	0.317142857142857	0.275	0.356666666666667	0.336	0.3525	0.3375	0.326666666666667	0.29	0.3375	0.32	0.4175	0.38	0.4	0.273333333333333	0.3275	0.339	0.3	0.38	0.295555555555556	0.38
"SRR5865068"	0.7525	0.77	0.73875	0.75	0.78375	0.74	0.77	0.735	0.775	0.74375	0.754444444444444	0.69875	0.741	0.645	0.7	0.77	0.751428571428571	0.776666666666667	0.731111111111111	0.71	0.76	0.725	0.741428571428571	0.7	0.79	0.7275	0.771666666666667	0.802	0.676666666666667	0.7525	0.776666666666667	0.73625	0.717142857142857	0.694444444444444	0.791666666666667	0.72	0.698333333333333	0.755	0.81	0.66	0.71	0.7975	0.706666666666667	0.7375	0.777	0.763333333333333	0.73	0.723333333333333	0.781666666666667	0.8225	0.725	0.788	0.716666666666667	0.775	0.734	0.796666666666667	0.788571428571429	0.733333333333333	0.75625	0.88	0.76	0.71	0.777777777777778	0.77	0.7675	0.7625	0.72	0.7	0.7675	0.78	0.7025	0.706666666666667	0.72	0.761666666666667	0.74125	0.716	0.79	0.675	0.762222222222222	0.67
"SRR5865069"	0.4625	0.493333333333333	0.50875	0.5075	0.45	0.537	0.55	0.55	0.5725	0.49375	0.504444444444444	0.485	0.493	0.48	0.505	0.6	0.462857142857143	0.45	0.44	0.55	0.525	0.435	0.492857142857143	0.38	0.50875	0.43	0.551666666666667	0.544	0.48	0.4875	0.526666666666667	0.49	0.475714285714286	0.548888888888889	0.576666666666667	0.506666666666667	0.496666666666667	0.52375	0.41	0.5	0.53	0.5125	0.45	0.535	0.507	0.436666666666667	0.475	0.443333333333333	0.461666666666667	0.56	0.465	0.524	0.393333333333333	0.4475	0.454	0.5	0.474285714285714	0.52	0.52375	0.49	0.462857142857143	0.485	0.532222222222222	0.488	0.495	0.5325	0.5	0.48	0.6125	0.51	0.55	0.46	0.53	0.563333333333333	0.49375	0.523	0.545	0.39	0.472222222222222	0.49
"SRR5865070"	0.51	0.406666666666667	0.395	0.4675	0.445	0.457	0.5	0.4775	0.4725	0.44625	0.414444444444444	0.4525	0.426	0.435	0.43	0.43	0.391428571428571	0.41	0.414444444444444	0.436666666666667	0.415	0.38	0.418571428571429	0.42	0.4525	0.3525	0.495	0.423	0.371666666666667	0.45	0.411666666666667	0.47875	0.444285714285714	0.496666666666667	0.471666666666667	0.383333333333333	0.45	0.4225	0.4	0.49	0.35	0.3925	0.44	0.42	0.468	0.423333333333333	0.395	0.415555555555556	0.446666666666667	0.47625	0.375	0.476	0.346666666666667	0.42625	0.4	0.406666666666667	0.395714285714286	0.463333333333333	0.505	0.33	0.418571428571429	0.355	0.448888888888889	0.46	0.4425	0.43	0.38	0.39	0.4575	0.35	0.4775	0.396666666666667	0.43	0.351666666666667	0.41625	0.411	0.44	0.475	0.423333333333333	0.38
"SRR5865071"	0.6875	0.76	0.7725	0.735	0.68875	0.776	0.75	0.7175	0.7225	0.77625	0.716666666666667	0.7225	0.709	0.66	0.7375	0.7775	0.654285714285714	0.706666666666667	0.685555555555556	0.776666666666667	0.77	0.715	0.737142857142857	0.61	0.74375	0.78	0.72	0.731	0.735	0.725	0.745	0.73	0.685714285714286	0.775555555555556	0.746666666666667	0.7	0.738333333333333	0.7625	0.69	0.623333333333333	0.68	0.7275	0.656666666666667	0.7525	0.692	0.716666666666667	0.705	0.687777777777778	0.761666666666667	0.74625	0.7225	0.728	0.746666666666667	0.72375	0.678	0.716666666666667	0.718571428571429	0.73	0.745	0.68	0.702857142857143	0.645	0.762222222222222	0.69	0.765	0.695	0.726666666666667	0.69	0.6975	0.7	0.7575	0.71	0.72	0.715	0.76625	0.734	0.75	0.63	0.733333333333333	0.65
"SRR5865072"	0.46	0.53	0.50125	0.525	0.505	0.512	0.55	0.5675	0.52	0.48875	0.487777777777778	0.48125	0.523	0.51	0.4525	0.5925	0.461428571428571	0.506666666666667	0.493333333333333	0.61	0.53	0.445	0.545714285714286	0.47	0.5	0.47	0.585	0.553	0.461666666666667	0.5025	0.56	0.57125	0.45	0.537777777777778	0.565	0.52	0.496666666666667	0.5475	0.53	0.493333333333333	0.6	0.5275	0.53	0.5175	0.529	0.476666666666667	0.455	0.452222222222222	0.481666666666667	0.56125	0.46125	0.562	0.403333333333333	0.50375	0.484	0.516666666666667	0.532857142857143	0.583333333333333	0.56875	0.56	0.484285714285714	0.49	0.512222222222222	0.536	0.575	0.515	0.483333333333333	0.57	0.595	0.64	0.575	0.486666666666667	0.61	0.531666666666667	0.5075	0.563	0.57	0.425	0.485555555555556	0.46
"SRR5865073"	0.66	0.61	0.6375	0.7075	0.60875	0.668	0.75	0.6125	0.65	0.6475	0.667777777777778	0.54125	0.594	0.635	0.6	0.6525	0.6	0.623333333333333	0.59	0.656666666666667	0.64	0.6175	0.588571428571429	0.52	0.6925	0.5775	0.653333333333333	0.615	0.526666666666667	0.625	0.653333333333333	0.66375	0.621428571428571	0.678888888888889	0.63	0.67	0.57	0.635	0.51	0.61	0.68	0.6175	0.68	0.6175	0.637	0.59	0.67	0.607777777777778	0.625	0.65	0.555	0.694	0.59	0.6075	0.628	0.656666666666667	0.608571428571429	0.71	0.6575	0.63	0.6	0.655	0.68	0.688	0.6225	0.6625	0.576666666666667	0.55	0.66	0.71	0.6725	0.686666666666667	0.6	0.566666666666667	0.6475	0.656	0.62	0.59	0.636666666666667	0.48
"SRR5865074"	0.765	0.69	0.70625	0.7425	0.7175	0.706	0.78	0.715	0.755	0.74625	0.733333333333333	0.65625	0.719	0.645	0.69	0.74	0.684285714285714	0.696666666666667	0.711111111111111	0.753333333333333	0.68	0.7175	0.734285714285714	0.71	0.7475	0.695	0.783333333333333	0.757	0.646666666666667	0.7275	0.713333333333333	0.725	0.698571428571429	0.735555555555556	0.75	0.733333333333333	0.69	0.71625	0.73	0.68	0.67	0.77	0.713333333333333	0.6525	0.721	0.656666666666667	0.7	0.694444444444444	0.751666666666667	0.77625	0.69375	0.77	0.673333333333333	0.7575	0.668	0.773333333333333	0.674285714285714	0.743333333333333	0.7625	0.65	0.712857142857143	0.66	0.726666666666667	0.706	0.7525	0.7825	0.683333333333333	0.72	0.7225	0.68	0.715	0.693333333333333	0.73	0.723333333333333	0.72375	0.733	0.73	0.715	0.664444444444444	0.67
