"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.83	0.768571428571429	0.73	0.705	0.732	0.68	0.7125	0.697777777777778	0.748333333333333	0.737142857142857	0.6725	0.74	0.714285714285714	0.728	0.76	0.7	0.732	0.7	0.768	0.703333333333333	0.714	0.71	0.791666666666667	0.6575	0.675	0.6875	0.75	0.773333333333333	0.68	0.76	0.7875	0.68	0.737142857142857	0.713333333333333	0.7075	0.755	0.67	0.715	0.77	0.755714285714286	0.686666666666667	0.743333333333333	0.67	0.71	0.69	0.73	0.7	0.697	0.70375	0.625	0.712	0.763333333333333	0.684	0.683333333333333	0.695	0.691111111111111	0.71	0.68	0.615	0.721111111111111	0.74	0.726666666666667	0.74	0.733333333333333	0.73125	0.796	0.7475	0.673333333333333	0.71	0.685	0.726	0.71	0.67	0.72	0.74625	0.7075	0.747	0.728571428571429	0.755	0.73125
"SAMPLE-2"	0.17	0.285714285714286	0.28	0.265	0.302	0.306666666666667	0.2625	0.266666666666667	0.283333333333333	0.25	0.29875	0.253333333333333	0.342857142857143	0.291	0.26	0.375	0.296	0.223333333333333	0.266	0.313333333333333	0.353	0.266666666666667	0.273333333333333	0.3325	0.295	0.275	0.24	0.343333333333333	0.261428571428571	0.32	0.255	0.36	0.214285714285714	0.33	0.2075	0.263333333333333	0.34	0.3	0.215	0.312857142857143	0.223333333333333	0.273333333333333	0.28	0.27625	0.308888888888889	0.28	0.325	0.416	0.33875	0.27	0.316	0.303333333333333	0.328	0.276666666666667	0.29	0.266666666666667	0.34	0.24	0.3325	0.292222222222222	0.295	0.316666666666667	0.35	0.308333333333333	0.31375	0.282	0.31875	0.265555555555556	0.342857142857143	0.3375	0.242	0.22	0.326	0.356666666666667	0.2975	0.26	0.262	0.29	0.18	0.31125
"SAMPLE-3"	0.77	0.692857142857143	0.64	0.69	0.706	0.66	0.685	0.731111111111111	0.711666666666667	0.72	0.7125	0.656666666666667	0.732857142857143	0.706	0.7	0.64	0.712	0.72	0.76	0.71	0.686	0.756666666666667	0.711666666666667	0.7	0.67	0.6625	0.66	0.77	0.685714285714286	0.66	0.7	0.64	0.727142857142857	0.673333333333333	0.76	0.713333333333333	0.62	0.68	0.71	0.691428571428571	0.74	0.726666666666667	0.715	0.63875	0.717777777777778	0.76	0.69	0.673	0.71125	0.735	0.71	0.703333333333333	0.73	0.656666666666667	0.68	0.697777777777778	0.695	0.735	0.705	0.714444444444444	0.721	0.78	0.68	0.721666666666667	0.67875	0.736	0.6825	0.675555555555556	0.675714285714286	0.6875	0.728	0.63	0.66	0.676666666666667	0.7225	0.6825	0.742	0.632857142857143	0.765	0.6975
"SAMPLE-4"	0.45	0.614285714285714	0.58	0.52	0.554	0.533333333333333	0.475	0.562222222222222	0.558333333333333	0.53	0.52	0.563333333333333	0.554285714285714	0.48	0.45	0.475	0.532	0.49	0.496	0.49	0.553	0.546666666666667	0.498333333333333	0.56	0.55	0.505	0.45	0.563333333333333	0.551428571428571	0.47	0.505	0.53	0.555714285714286	0.526666666666667	0.565	0.551666666666667	0.61	0.49	0.405	0.502857142857143	0.563333333333333	0.46	0.565	0.5525	0.522222222222222	0.47	0.64	0.504	0.53625	0.555	0.498	0.52	0.542	0.453333333333333	0.595	0.538888888888889	0.6	0.515	0.5925	0.536666666666667	0.529	0.583333333333333	0.44	0.503333333333333	0.55625	0.494	0.54375	0.49	0.517142857142857	0.52	0.55	0.52	0.5	0.52	0.53375	0.5225	0.523	0.554285714285714	0.535	0.5
"SAMPLE-5"	0.34	0.457142857142857	0.5	0.425	0.424	0.45	0.4175	0.446666666666667	0.391666666666667	0.407142857142857	0.415	0.443333333333333	0.501428571428571	0.336	0.35	0.43	0.384	0.35	0.37	0.436666666666667	0.494	0.416666666666667	0.368333333333333	0.4125	0.4575	0.48	0.4	0.473333333333333	0.45	0.43	0.3825	0.46	0.394285714285714	0.396666666666667	0.335	0.431666666666667	0.43	0.37	0.32	0.41	0.393333333333333	0.373333333333333	0.44	0.4775	0.451111111111111	0.34	0.525	0.43	0.42875	0.435	0.44	0.406666666666667	0.42	0.426666666666667	0.415	0.38	0.43	0.36	0.4225	0.385555555555556	0.377	0.463333333333333	0.53	0.393333333333333	0.4225	0.428	0.38125	0.408888888888889	0.418571428571429	0.4025	0.448	0.35	0.386	0.436666666666667	0.4525	0.4325	0.405	0.412857142857143	0.39	0.3875
"SAMPLE-6"	0.56	0.595714285714286	0.66	0.565	0.576	0.55	0.6	0.601111111111111	0.595	0.548571428571429	0.52375	0.583333333333333	0.601428571428571	0.538	0.53	0.575	0.534	0.56	0.53	0.586666666666667	0.619	0.586666666666667	0.54	0.55	0.51	0.56	0.5	0.526666666666667	0.601428571428571	0.5	0.59	0.66	0.578571428571429	0.57	0.55	0.565	0.48	0.49	0.475	0.587142857142857	0.536666666666667	0.506666666666667	0.505	0.5725	0.532222222222222	0.42	0.64	0.547	0.53875	0.57	0.554	0.56	0.528	0.53	0.55	0.546666666666667	0.52	0.615	0.55	0.526666666666667	0.505	0.576666666666667	0.6	0.533333333333333	0.56	0.532	0.5425	0.513333333333333	0.552857142857143	0.55	0.578	0.485	0.51	0.556666666666667	0.57	0.5575	0.545	0.525714285714286	0.59	0.545
"SAMPLE-7"	0.78	0.73	0.66	0.675	0.666	0.643333333333333	0.6625	0.682222222222222	0.69	0.664285714285714	0.6625	0.653333333333333	0.701428571428571	0.703	0.67	0.65	0.668	0.633333333333333	0.698	0.71	0.712	0.72	0.646666666666667	0.6575	0.6525	0.655	0.63	0.67	0.66	0.6	0.73	0.64	0.701428571428571	0.633333333333333	0.7025	0.628333333333333	0.62	0.655	0.645	0.702857142857143	0.63	0.64	0.67	0.59375	0.675555555555556	0.63	0.68	0.662	0.68625	0.645	0.684	0.71	0.672	0.66	0.72	0.676666666666667	0.685	0.705	0.6525	0.663333333333333	0.682	0.733333333333333	0.71	0.628333333333333	0.69375	0.634	0.68	0.682222222222222	0.682857142857143	0.695	0.706	0.605	0.686	0.713333333333333	0.705	0.66	0.701	0.634285714285714	0.68	0.655
"SAMPLE-8"	0.56	0.618571428571429	0.58	0.515	0.564	0.54	0.5675	0.574444444444444	0.545	0.557142857142857	0.56375	0.53	0.624285714285714	0.54	0.57	0.565	0.526	0.513333333333333	0.512	0.53	0.577	0.586666666666667	0.553333333333333	0.52	0.5025	0.5175	0.62	0.606666666666667	0.561428571428571	0.53	0.595	0.54	0.594285714285714	0.5	0.5325	0.541666666666667	0.53	0.55	0.53	0.628571428571429	0.51	0.52	0.545	0.5075	0.545555555555556	0.5	0.605	0.569	0.53875	0.585	0.51	0.556666666666667	0.53	0.55	0.68	0.481111111111111	0.61	0.58	0.5725	0.538888888888889	0.556	0.61	0.54	0.53	0.56125	0.566	0.55875	0.52	0.568571428571429	0.5175	0.55	0.48	0.526	0.583333333333333	0.5675	0.535	0.538	0.531428571428571	0.585	0.565
"SAMPLE-9"	0.55	0.641428571428571	0.76	0.59	0.644	0.566666666666667	0.5825	0.583333333333333	0.608333333333333	0.634285714285714	0.60375	0.623333333333333	0.645714285714286	0.569	0.54	0.71	0.558	0.59	0.608	0.616666666666667	0.628	0.606666666666667	0.595	0.605	0.565	0.5375	0.49	0.646666666666667	0.601428571428571	0.53	0.6625	0.67	0.632857142857143	0.586666666666667	0.605	0.646666666666667	0.57	0.595	0.615	0.618571428571429	0.566666666666667	0.593333333333333	0.63	0.5675	0.598888888888889	0.64	0.705	0.608	0.5625	0.58	0.622	0.64	0.62	0.543333333333333	0.61	0.547777777777778	0.66	0.65	0.62	0.57	0.583	0.676666666666667	0.58	0.595	0.60875	0.606	0.6225	0.561111111111111	0.548571428571429	0.6125	0.59	0.485	0.554	0.673333333333333	0.6575	0.61	0.61	0.588571428571429	0.625	0.6225
"SAMPLE-10"	0.6	0.615714285714286	0.65	0.59	0.652	0.58	0.6225	0.648888888888889	0.626666666666667	0.578571428571429	0.6025	0.576666666666667	0.56	0.6	0.56	0.59	0.64	0.613333333333333	0.62	0.633333333333333	0.577	0.613333333333333	0.546666666666667	0.6275	0.5875	0.615	0.44	0.603333333333333	0.625714285714286	0.53	0.61	0.63	0.601428571428571	0.643333333333333	0.5925	0.55	0.54	0.61	0.57	0.61	0.583333333333333	0.583333333333333	0.665	0.61	0.574444444444444	0.65	0.6	0.585	0.61	0.575	0.626	0.576666666666667	0.636	0.573333333333333	0.595	0.624444444444444	0.605	0.59	0.5625	0.633333333333333	0.634	0.683333333333333	0.64	0.535	0.67875	0.562	0.60875	0.586666666666667	0.604285714285714	0.615	0.578	0.62	0.586	0.606666666666667	0.62125	0.6475	0.643	0.634285714285714	0.575	0.57625
"SAMPLE-11"	0.55	0.641428571428571	0.6	0.605	0.706	0.63	0.5875	0.635555555555556	0.626666666666667	0.598571428571429	0.625	0.613333333333333	0.634285714285714	0.592	0.65	0.59	0.624	0.576666666666667	0.6	0.643333333333333	0.618	0.693333333333333	0.545	0.62	0.59	0.655	0.55	0.636666666666667	0.62	0.55	0.6425	0.65	0.624285714285714	0.556666666666667	0.615	0.606666666666667	0.57	0.64	0.675	0.641428571428571	0.613333333333333	0.616666666666667	0.62	0.5775	0.596666666666667	0.63	0.635	0.608	0.60375	0.64	0.608	0.62	0.662	0.67	0.645	0.594444444444444	0.61	0.69	0.62	0.657777777777778	0.66	0.666666666666667	0.66	0.625	0.61	0.608	0.6275	0.632222222222222	0.615714285714286	0.68	0.642	0.62	0.566	0.633333333333333	0.66625	0.6325	0.641	0.595714285714286	0.605	0.615
