"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.686	0.746	0.7	0.7175	0.726666666666667	0.69	0.706666666666667	0.675	0.73	0.69	0.775	0.704444444444444	0.703333333333333	0.738888888888889	0.67	0.6775	0.72	0.748333333333333	0.76	0.74	0.74	0.763333333333333	0.646666666666667	0.712857142857143	0.728	0.75	0.653333333333333	0.695555555555556	0.745555555555556	0.683333333333333	0.7425	0.68	0.74	0.705	0.713333333333333	0.78	0.746666666666667	0.672222222222222	0.688333333333333	0.653333333333333	0.665	0.673333333333333	0.75	0.715	0.74	0.67	0.753333333333333	0.75	0.686666666666667	0.73	0.674	0.683333333333333	0.701666666666667	0.712	0.698888888888889	0.753333333333333	0.677777777777778	0.751666666666667	0.755	0.74	0.74	0.756	0.73	0.72	0.775	0.711666666666667	0.7125	0.69	0.706666666666667	0.748888888888889	0.701	0.642857142857143	0.6275	0.718333333333333	0.724444444444444	0.72	0.78	0.7	0.72	0.61
"SRR11292126"	0.656	0.662	0.652	0.6825	0.64	0.615	0.646666666666667	0.641666666666667	0.665	0.62	0.6175	0.553333333333333	0.63	0.611111111111111	0.66	0.5875	0.615	0.631666666666667	0.65	0.675	0.64	0.635555555555556	0.68	0.648571428571429	0.616	0.638	0.613333333333333	0.634444444444444	0.635555555555556	0.606666666666667	0.61875	0.71	0.595	0.615	0.615	0.58	0.646666666666667	0.743333333333333	0.59	0.603333333333333	0.655	0.65	0.67	0.6275	0.63	0.6	0.64	0.6	0.626666666666667	0.72	0.674	0.633333333333333	0.603333333333333	0.628	0.704444444444444	0.663333333333333	0.622222222222222	0.636666666666667	0.585	0.61	0.56	0.611	0.57	0.55	0.52	0.625	0.6175	0.5875	0.64	0.654444444444444	0.65	0.618571428571429	0.635	0.623333333333333	0.62	0.683333333333333	0.71	0.646666666666667	0.71	0.685
"SRR11292127"	0.586	0.608	0.567	0.6575	0.61	0.58	0.63	0.538333333333333	0.53	0.6	0.6525	0.631111111111111	0.556666666666667	0.6	0.62	0.5875	0.61	0.608333333333333	0.705	0.565	0.6	0.65	0.58	0.644285714285714	0.646	0.67	0.516666666666667	0.578888888888889	0.661111111111111	0.61	0.615	0.51	0.66	0.62	0.591666666666667	0.66	0.633333333333333	0.621111111111111	0.54	0.556666666666667	0.555	0.591666666666667	0.72	0.6375	0.74	0.63	0.613333333333333	0.5925	0.616666666666667	0.61	0.57	0.593333333333333	0.6	0.692	0.556666666666667	0.58	0.635555555555556	0.635	0.615	0.636	0.7	0.652	0.605	0.55	0.615	0.603333333333333	0.61	0.595	0.6	0.67	0.595	0.552857142857143	0.5975	0.596666666666667	0.592222222222222	0.606666666666667	0.64	0.63	0.59	0.56
"SRR11292131"	0.84	0.87	0.848	0.8475	0.873333333333333	0.755	0.9	0.868333333333333	0.89	0.833333333333333	0.8625	0.872222222222222	0.878333333333333	0.871111111111111	0.8	0.825	0.87	0.898333333333333	0.885	0.9	0.9	0.89	0.856666666666667	0.905714285714286	0.908	0.922	0.87	0.875555555555556	0.884444444444444	0.886666666666667	0.86875	0.91	0.89	0.885	0.891666666666667	0.77	0.896666666666667	0.885555555555556	0.843333333333333	0.79	0.88	0.826666666666667	0.88	0.8875	0.9	0.88	0.86	0.8325	0.893333333333333	0.93	0.874	0.876666666666667	0.838333333333333	0.874	0.904444444444444	0.83	0.847777777777778	0.89	0.91	0.86	0.95	0.894	0.865	0.83	0.855	0.875	0.8425	0.8475	0.853333333333333	0.878888888888889	0.886	0.838571428571429	0.7975	0.861666666666667	0.861111111111111	0.88	0.86	0.856666666666667	0.84	0.85
"SRR11292132"	0.274	0.164	0.207	0.1575	0.183333333333333	0.28	0.153333333333333	0.188333333333333	0.185	0.203333333333333	0.12125	0.148888888888889	0.143333333333333	0.136666666666667	0.27	0.21	0.18	0.128333333333333	0.165	0.13	0.17	0.148888888888889	0.183333333333333	0.21	0.124	0.156	0.0966666666666667	0.118888888888889	0.228888888888889	0.133333333333333	0.1325	0.17	0.175	0.155	0.191666666666667	0.16	0.18	0.21	0.218333333333333	0.323333333333333	0.16	0.248333333333333	0.24	0.16	0.17	0.15	0.17	0.16	0.116666666666667	0.14	0.126	0.176666666666667	0.175	0.156	0.183333333333333	0.19	0.24	0.148333333333333	0.17	0.16	0.2	0.155	0.205	0.3	0.175	0.148333333333333	0.12	0.1625	0.153333333333333	0.181111111111111	0.167	0.162857142857143	0.23	0.15	0.188888888888889	0.186666666666667	0.19	0.156666666666667	0.14	0.15
"SRR11292136"	0.346	0.292	0.357	0.315	0.334444444444444	0.355	0.296666666666667	0.29	0.235	0.333333333333333	0.2625	0.293333333333333	0.268333333333333	0.297777777777778	0.4	0.33	0.295	0.273333333333333	0.35	0.285	0.31	0.368888888888889	0.323333333333333	0.328571428571429	0.28	0.286	0.203333333333333	0.304444444444444	0.367777777777778	0.31	0.28125	0.2	0.33	0.3	0.306666666666667	0.29	0.296666666666667	0.336666666666667	0.351666666666667	0.403333333333333	0.33	0.4	0.33	0.3175	0.22	0.42	0.323333333333333	0.23	0.31	0.2	0.312	0.293333333333333	0.33	0.302	0.304444444444444	0.29	0.361111111111111	0.308333333333333	0.28	0.316	0.37	0.311	0.32	0.31	0.225	0.26	0.3225	0.305	0.31	0.312222222222222	0.279	0.341428571428571	0.3425	0.27	0.328888888888889	0.35	0.28	0.27	0.28	0.22
"SRR11292137"	0.656	0.684	0.647	0.6675	0.704444444444444	0.63	0.66	0.69	0.71	0.68	0.6925	0.707777777777778	0.745	0.692222222222222	0.68	0.6975	0.695	0.693333333333333	0.72	0.715	0.69	0.707777777777778	0.676666666666667	0.685714285714286	0.728	0.64	0.693333333333333	0.694444444444444	0.757777777777778	0.733333333333333	0.67125	0.72	0.66	0.685	0.688333333333333	0.67	0.696666666666667	0.784444444444444	0.616666666666667	0.6	0.675	0.63	0.71	0.655	0.65	0.69	0.716666666666667	0.63	0.723333333333333	0.75	0.692	0.626666666666667	0.668333333333333	0.69	0.658888888888889	0.68	0.674444444444444	0.705	0.735	0.71	0.7	0.752	0.655	0.68	0.69	0.715	0.6375	0.68	0.686666666666667	0.696666666666667	0.699	0.682857142857143	0.6625	0.715	0.644444444444444	0.72	0.76	0.64	0.73	0.745
"SRR11292138"	0.282	0.172	0.21	0.15	0.183333333333333	0.285	0.153333333333333	0.198333333333333	0.185	0.213333333333333	0.155	0.161111111111111	0.168333333333333	0.152222222222222	0.27	0.2375	0.17	0.14	0.17	0.14	0.18	0.164444444444444	0.193333333333333	0.228571428571429	0.146	0.17	0.0933333333333333	0.125555555555556	0.241111111111111	0.156666666666667	0.1275	0.19	0.195	0.165	0.201666666666667	0.19	0.176666666666667	0.227777777777778	0.23	0.343333333333333	0.165	0.263333333333333	0.23	0.1725	0.18	0.17	0.193333333333333	0.1475	0.103333333333333	0.17	0.134	0.163333333333333	0.195	0.168	0.201111111111111	0.203333333333333	0.254444444444444	0.17	0.19	0.178	0.2	0.169	0.215	0.26	0.165	0.153333333333333	0.125	0.18	0.151666666666667	0.185555555555556	0.177	0.174285714285714	0.2375	0.153333333333333	0.202222222222222	0.183333333333333	0.19	0.166666666666667	0.16	0.16
"SRR11292140"	0.406	0.46	0.428	0.425	0.416666666666667	0.48	0.446666666666667	0.393333333333333	0.485	0.368333333333333	0.41375	0.412222222222222	0.368333333333333	0.425555555555556	0.57	0.455	0.43	0.428333333333333	0.45	0.41	0.47	0.452222222222222	0.41	0.437142857142857	0.37	0.386	0.35	0.397777777777778	0.445555555555556	0.476666666666667	0.37	0.27	0.465	0.41	0.388333333333333	0.4	0.383333333333333	0.434444444444444	0.418333333333333	0.456666666666667	0.38	0.44	0.45	0.45	0.44	0.34	0.4	0.35	0.393333333333333	0.39	0.432	0.45	0.475	0.41	0.427777777777778	0.45	0.506666666666667	0.48	0.41	0.37	0.51	0.431	0.435	0.33	0.41	0.401666666666667	0.405	0.4125	0.425	0.441111111111111	0.393	0.412857142857143	0.455	0.483333333333333	0.426666666666667	0.463333333333333	0.48	0.433333333333333	0.39	0.4
"SRR11292141"	0.64	0.656	0.614	0.7275	0.672222222222222	0.595	0.593333333333333	0.695	0.665	0.633333333333333	0.69	0.637777777777778	0.601666666666667	0.675555555555556	0.6	0.65	0.66	0.663333333333333	0.7	0.765	0.7	0.725555555555556	0.653333333333333	0.74	0.718	0.728	0.623333333333333	0.643333333333333	0.742222222222222	0.64	0.72125	0.63	0.77	0.67	0.663333333333333	0.71	0.69	0.645555555555556	0.576666666666667	0.63	0.67	0.66	0.62	0.62	0.6	0.66	0.746666666666667	0.6825	0.733333333333333	0.59	0.66	0.66	0.656666666666667	0.66	0.672222222222222	0.61	0.698888888888889	0.671666666666667	0.705	0.652	0.76	0.721	0.64	0.61	0.67	0.663333333333333	0.6775	0.625	0.66	0.69	0.638	0.627142857142857	0.635	0.66	0.662222222222222	0.7	0.66	0.67	0.7	0.65
