"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.618333333333333	0.52	0.49	0.5675	0.603333333333333	0.626666666666667	0.565	0.53	0.42	0.52	0.586	0.578571428571429	0.5925	0.556	0.57	0.60125	0.49	0.505	0.53	0.6175	0.561428571428571	0.58	0.585	0.583333333333333	0.614	0.473333333333333	0.61625	0.6075	0.604285714285714	0.56	0.585	0.583333333333333	0.496666666666667	0.51	0.56	0.67	0.59	0.565	0.614	0.6	0.565	0.626666666666667	0.595	0.563333333333333	0.5	0.597	0.555	0.54	0.615	0.58	0.576	0.584285714285714	0.535	0.6325	0.63	0.536	0.583333333333333	0.57	0.55	0.6	0.57	0.587	0.635	0.546666666666667	0.548333333333333	0.61	0.576666666666667	0.58	0.566666666666667	0.593333333333333	0.54	0.506666666666667	0.49	0.478333333333333	0.56625	0.55	0.62	0.6625	0.525	0.55
"SRR5865066"	0.568333333333333	0.486666666666667	0.45	0.5425	0.583333333333333	0.573333333333333	0.545	0.495	0.47	0.494	0.548	0.554285714285714	0.58	0.496	0.42	0.52875	0.46	0.5	0.46	0.565	0.578571428571429	0.543333333333333	0.546666666666667	0.516666666666667	0.545	0.466666666666667	0.5775	0.55125	0.552857142857143	0.515	0.435	0.566666666666667	0.5	0.5	0.6	0.59	0.57	0.515	0.536	0.55375	0.501666666666667	0.606666666666667	0.54	0.533333333333333	0.52	0.546	0.54	0.44	0.565	0.47	0.57	0.518571428571429	0.49	0.57625	0.535	0.5	0.536666666666667	0.5025	0.56	0.515	0.585	0.535	0.595	0.543333333333333	0.485	0.65	0.546666666666667	0.546666666666667	0.51	0.522222222222222	0.513333333333333	0.503333333333333	0.5	0.455	0.51	0.45	0.6	0.6075	0.46	0.5175
"SRR5865067"	0.348333333333333	0.273333333333333	0.28	0.34375	0.413333333333333	0.4	0.363333333333333	0.305	0.33	0.307	0.356	0.374285714285714	0.3475	0.392	0.22	0.3075	0.27	0.3	0.23	0.335	0.347142857142857	0.3	0.358333333333333	0.286666666666667	0.361	0.291666666666667	0.33875	0.345	0.377142857142857	0.325	0.26	0.336666666666667	0.223333333333333	0.33	0.37	0.27	0.3375	0.3	0.34	0.3725	0.29	0.4	0.345	0.405	0.3	0.318	0.33	0.34	0.33	0.306666666666667	0.404	0.39	0.26	0.35625	0.35	0.316	0.296666666666667	0.35	0.334	0.325	0.38	0.313	0.39	0.296666666666667	0.273333333333333	0.39	0.356666666666667	0.293333333333333	0.333333333333333	0.326666666666667	0.346666666666667	0.263333333333333	0.366666666666667	0.268333333333333	0.3225	0.31	0.39	0.34	0.355	0.325
"SRR5865068"	0.558333333333333	0.541666666666667	0.48	0.59125	0.593333333333333	0.603333333333333	0.553333333333333	0.445	0.48	0.512	0.548	0.572857142857143	0.615	0.524	0.57	0.5375	0.5	0.56	0.58	0.5875	0.565714285714286	0.53	0.586666666666667	0.503333333333333	0.603	0.501666666666667	0.54875	0.59875	0.547142857142857	0.555	0.475	0.6	0.573333333333333	0.48	0.61	0.53	0.615	0.525	0.568	0.56875	0.561666666666667	0.633333333333333	0.575	0.528333333333333	0.5375	0.558	0.55	0.48	0.57	0.51	0.528	0.525714285714286	0.495	0.6125	0.575	0.482	0.566666666666667	0.5625	0.572	0.595	0.57	0.545	0.575	0.576666666666667	0.498333333333333	0.58	0.54	0.596666666666667	0.546666666666667	0.552222222222222	0.55	0.563333333333333	0.52	0.546666666666667	0.49125	0.51	0.68	0.6675	0.485	0.5525
"SRR5865069"	0.39	0.451666666666667	0.47	0.4725	0.533333333333333	0.52	0.44	0.425	0.48	0.436	0.47	0.434285714285714	0.4675	0.468	0.42	0.4475	0.46	0.48	0.46	0.38	0.434285714285714	0.436666666666667	0.485	0.446666666666667	0.503	0.463333333333333	0.42	0.44875	0.434285714285714	0.49	0.455	0.433333333333333	0.473333333333333	0.55	0.44	0.42	0.45875	0.44	0.412	0.50125	0.486666666666667	0.496666666666667	0.42	0.515	0.46	0.371	0.485	0.44	0.41	0.476666666666667	0.488	0.448571428571429	0.43	0.4475	0.45	0.49	0.49	0.4875	0.43	0.445	0.455	0.427	0.545	0.46	0.451666666666667	0.44	0.496666666666667	0.396666666666667	0.483333333333333	0.43	0.476666666666667	0.563333333333333	0.46	0.43	0.405	0.46	0.46	0.52875	0.53	0.47
"SRR5865070"	0.498333333333333	0.381666666666667	0.41	0.45125	0.478333333333333	0.443333333333333	0.47	0.345	0.35	0.445	0.428	0.474285714285714	0.4975	0.416	0.41	0.42875	0.45	0.44	0.38	0.4825	0.488571428571429	0.48	0.415	0.4	0.452	0.393333333333333	0.5075	0.48125	0.485714285714286	0.455	0.395	0.506666666666667	0.403333333333333	0.44	0.52	0.46	0.4775	0.4	0.444	0.48375	0.475	0.57	0.515	0.46	0.415	0.48	0.48	0.42	0.415	0.423333333333333	0.416	0.477142857142857	0.4	0.5125	0.48	0.382	0.426666666666667	0.475	0.466	0.44	0.495	0.426	0.56	0.456666666666667	0.403333333333333	0.46	0.506666666666667	0.43	0.443333333333333	0.446666666666667	0.39	0.373333333333333	0.453333333333333	0.411666666666667	0.4375	0.5	0.52	0.52875	0.415	0.44
"SRR5865071"	0.456666666666667	0.531666666666667	0.51	0.46625	0.58	0.523333333333333	0.556666666666667	0.56	0.54	0.507	0.516	0.444285714285714	0.5125	0.472	0.47	0.47375	0.5	0.46	0.51	0.435	0.481428571428571	0.536666666666667	0.535	0.476666666666667	0.498	0.45	0.4975	0.42875	0.518571428571429	0.505	0.625	0.46	0.553333333333333	0.57	0.5	0.45	0.50625	0.47	0.4	0.64	0.536666666666667	0.55	0.47	0.605	0.43	0.473	0.49	0.56	0.55	0.496666666666667	0.542	0.561428571428571	0.455	0.525	0.5	0.57	0.54	0.5025	0.458	0.485	0.49	0.529	0.5	0.51	0.458333333333333	0.57	0.493333333333333	0.43	0.56	0.42	0.49	0.62	0.416666666666667	0.431666666666667	0.5075	0.52	0.48	0.68125	0.575	0.5225
"SRR5865072"	0.465	0.445	0.43	0.45	0.54	0.506666666666667	0.5	0.385	0.55	0.452	0.452	0.512857142857143	0.4425	0.476	0.47	0.4775	0.51	0.515	0.45	0.495	0.52	0.516666666666667	0.468333333333333	0.48	0.515	0.448333333333333	0.47	0.49625	0.451428571428571	0.49	0.4	0.506666666666667	0.456666666666667	0.5	0.56	0.47	0.5	0.435	0.476	0.51125	0.485	0.523333333333333	0.455	0.496666666666667	0.455	0.492	0.475	0.42	0.485	0.5	0.498	0.421428571428571	0.455	0.52125	0.595	0.494	0.47	0.435	0.52	0.49	0.505	0.49	0.565	0.456666666666667	0.473333333333333	0.49	0.486666666666667	0.463333333333333	0.483333333333333	0.49	0.493333333333333	0.543333333333333	0.403333333333333	0.458333333333333	0.4375	0.51	0.57	0.4925	0.525	0.4675
"SRR5865073"	0.36	0.381666666666667	0.34	0.425	0.441666666666667	0.41	0.408333333333333	0.395	0.32	0.335	0.426	0.36	0.4025	0.404	0.35	0.3525	0.29	0.35	0.34	0.3175	0.36	0.38	0.418333333333333	0.356666666666667	0.398	0.306666666666667	0.40625	0.3375	0.438571428571429	0.405	0.43	0.296666666666667	0.296666666666667	0.38	0.38	0.32	0.37375	0.325	0.332	0.45875	0.375	0.406666666666667	0.365	0.446666666666667	0.29	0.369	0.365	0.29	0.385	0.4	0.432	0.417142857142857	0.365	0.3725	0.4	0.432	0.433333333333333	0.385	0.384	0.39	0.405	0.395	0.38	0.356666666666667	0.295	0.46	0.353333333333333	0.29	0.393333333333333	0.338888888888889	0.34	0.4	0.29	0.288333333333333	0.3725	0.38	0.41	0.4875	0.4	0.39
"SRR5865074"	0.561666666666667	0.486666666666667	0.47	0.55	0.623333333333333	0.573333333333333	0.525	0.485	0.43	0.519	0.526	0.542857142857143	0.6225	0.514	0.48	0.56	0.53	0.555	0.55	0.58	0.54	0.546666666666667	0.523333333333333	0.536666666666667	0.56	0.446666666666667	0.56625	0.5775	0.584285714285714	0.545	0.475	0.606666666666667	0.516666666666667	0.46	0.58	0.55	0.58125	0.535	0.562	0.55875	0.538333333333333	0.643333333333333	0.605	0.525	0.4675	0.564	0.525	0.52	0.55	0.536666666666667	0.55	0.535714285714286	0.515	0.62375	0.615	0.472	0.533333333333333	0.5375	0.544	0.545	0.59	0.535	0.6	0.536666666666667	0.516666666666667	0.55	0.55	0.526666666666667	0.526666666666667	0.523333333333333	0.513333333333333	0.496666666666667	0.506666666666667	0.506666666666667	0.52	0.54	0.64	0.62875	0.435	0.505
