"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.553333333333333	0.668333333333333	0.52	0.635	0.618333333333333	0.666666666666667	0.578333333333333	0.6	0.57	0.606	0.65	0.59	0.6125	0.592	0.54	0.6475	0.54	0.64	0.71	0.5225	0.64	0.553333333333333	0.638333333333333	0.543333333333333	0.674	0.66	0.6175	0.58375	0.61	0.63	0.59	0.583333333333333	0.626666666666667	0.62	0.61	0.7	0.63125	0.595	0.618	0.61625	0.618333333333333	0.57	0.54	0.601666666666667	0.5425	0.571	0.59	0.53	0.65	0.48	0.646	0.598571428571429	0.645	0.6175	0.56	0.604	0.67	0.69	0.596	0.53	0.58	0.612	0.675	0.59	0.646666666666667	0.6	0.58	0.616666666666667	0.633333333333333	0.646666666666667	0.58	0.693333333333333	0.543333333333333	0.588333333333333	0.5875	0.53	0.64	0.67375	0.58	0.6025
"SAMPLE-2"	0.366666666666667	0.43	0.48	0.46625	0.505	0.45	0.455	0.38	0.42	0.461	0.42	0.428571428571429	0.39	0.414	0.37	0.4075	0.39	0.46	0.44	0.3575	0.428571428571429	0.44	0.461666666666667	0.383333333333333	0.433	0.448333333333333	0.3825	0.3775	0.425714285714286	0.4	0.425	0.463333333333333	0.41	0.55	0.37	0.31	0.435	0.43	0.366	0.42375	0.448333333333333	0.413333333333333	0.375	0.44	0.35	0.393	0.43	0.43	0.435	0.373333333333333	0.48	0.417142857142857	0.4	0.41125	0.43	0.416	0.43	0.45	0.398	0.445	0.435	0.428	0.51	0.416666666666667	0.363333333333333	0.39	0.41	0.41	0.44	0.396666666666667	0.376666666666667	0.39	0.41	0.405	0.395	0.4	0.38	0.395	0.485	0.485
"SAMPLE-3"	0.651666666666667	0.673333333333333	0.64	0.735	0.67	0.663333333333333	0.646666666666667	0.67	0.69	0.669	0.716	0.691428571428571	0.665	0.632	0.78	0.68125	0.65	0.77	0.73	0.6475	0.714285714285714	0.636666666666667	0.666666666666667	0.62	0.688	0.696666666666667	0.69375	0.6225	0.637142857142857	0.615	0.59	0.683333333333333	0.706666666666667	0.62	0.69	0.74	0.6475	0.65	0.666	0.6275	0.653333333333333	0.706666666666667	0.68	0.668333333333333	0.675	0.651	0.645	0.57	0.66	0.553333333333333	0.612	0.647142857142857	0.625	0.695	0.715	0.622	0.686666666666667	0.64	0.672	0.62	0.645	0.638	0.68	0.693333333333333	0.673333333333333	0.58	0.72	0.693333333333333	0.63	0.69	0.626666666666667	0.646666666666667	0.653333333333333	0.665	0.68625	0.61	0.65	0.71125	0.595	0.655
"SAMPLE-4"	0.486666666666667	0.555	0.52	0.52125	0.588333333333333	0.553333333333333	0.548333333333333	0.555	0.61	0.549	0.59	0.555714285714286	0.4925	0.486	0.54	0.57625	0.55	0.63	0.58	0.605	0.53	0.586666666666667	0.58	0.516666666666667	0.592	0.608333333333333	0.53625	0.55125	0.484285714285714	0.55	0.535	0.643333333333333	0.573333333333333	0.54	0.56	0.54	0.5625	0.575	0.564	0.5725	0.561666666666667	0.553333333333333	0.56	0.566666666666667	0.53	0.57	0.56	0.5	0.5	0.56	0.498	0.492857142857143	0.535	0.5525	0.585	0.51	0.533333333333333	0.5825	0.51	0.635	0.665	0.546	0.59	0.526666666666667	0.59	0.56	0.58	0.543333333333333	0.513333333333333	0.537777777777778	0.57	0.58	0.52	0.638333333333333	0.54875	0.59	0.65	0.6075	0.595	0.5525
"SAMPLE-5"	0.428333333333333	0.446666666666667	0.46	0.5075	0.535	0.5	0.483333333333333	0.425	0.55	0.427	0.48	0.48	0.49	0.442	0.46	0.51875	0.5	0.56	0.42	0.4475	0.478571428571429	0.5	0.556666666666667	0.48	0.565	0.481666666666667	0.39125	0.505	0.412857142857143	0.57	0.415	0.55	0.53	0.47	0.48	0.32	0.505	0.49	0.474	0.495	0.475	0.463333333333333	0.39	0.536666666666667	0.445	0.446	0.41	0.46	0.46	0.483333333333333	0.492	0.457142857142857	0.445	0.44875	0.49	0.458	0.483333333333333	0.5175	0.438	0.565	0.56	0.476	0.505	0.48	0.523333333333333	0.51	0.446666666666667	0.48	0.5	0.476666666666667	0.486666666666667	0.463333333333333	0.456666666666667	0.548333333333333	0.42125	0.45	0.57	0.48375	0.595	0.515
"SAMPLE-6"	0.505	0.561666666666667	0.52	0.5425	0.596666666666667	0.596666666666667	0.548333333333333	0.48	0.56	0.493	0.546	0.551428571428571	0.4975	0.516	0.51	0.57875	0.48	0.635	0.59	0.47	0.55	0.493333333333333	0.586666666666667	0.526666666666667	0.643	0.573333333333333	0.4825	0.53	0.447142857142857	0.56	0.51	0.596666666666667	0.66	0.52	0.54	0.42	0.535	0.48	0.556	0.55875	0.505	0.59	0.47	0.595	0.54	0.485	0.52	0.51	0.52	0.503333333333333	0.514	0.505714285714286	0.5	0.535	0.56	0.468	0.58	0.57	0.504	0.585	0.6	0.482	0.535	0.5	0.546666666666667	0.59	0.526666666666667	0.49	0.503333333333333	0.551111111111111	0.573333333333333	0.566666666666667	0.55	0.543333333333333	0.46	0.51	0.57	0.575	0.57	0.56
"SAMPLE-7"	0.568333333333333	0.67	0.69	0.6725	0.645	0.623333333333333	0.613333333333333	0.645	0.55	0.624	0.666	0.637142857142857	0.595	0.562	0.67	0.62375	0.62	0.68	0.74	0.56	0.622857142857143	0.6	0.623333333333333	0.556666666666667	0.658	0.66	0.60625	0.6075	0.574285714285714	0.615	0.59	0.613333333333333	0.69	0.61	0.52	0.67	0.6225	0.63	0.65	0.625	0.613333333333333	0.583333333333333	0.545	0.651666666666667	0.6225	0.593	0.63	0.59	0.585	0.546666666666667	0.604	0.6	0.65	0.65875	0.62	0.58	0.643333333333333	0.6275	0.576	0.66	0.675	0.613	0.595	0.586666666666667	0.595	0.67	0.676666666666667	0.64	0.63	0.622222222222222	0.626666666666667	0.643333333333333	0.57	0.601666666666667	0.575	0.6	0.62	0.67	0.615	0.635
"SAMPLE-8"	0.455	0.476666666666667	0.46	0.52	0.555	0.6	0.483333333333333	0.49	0.44	0.467	0.512	0.498571428571429	0.4775	0.516	0.42	0.5225	0.49	0.52	0.56	0.4175	0.491428571428571	0.496666666666667	0.513333333333333	0.49	0.53	0.448333333333333	0.42875	0.4575	0.46	0.545	0.455	0.5	0.453333333333333	0.55	0.44	0.39	0.52375	0.445	0.44	0.515	0.48	0.46	0.345	0.53	0.4375	0.424	0.49	0.5	0.515	0.476666666666667	0.518	0.515714285714286	0.47	0.4625	0.52	0.518	0.5	0.52	0.488	0.515	0.505	0.48	0.585	0.43	0.466666666666667	0.47	0.52	0.453333333333333	0.526666666666667	0.527777777777778	0.453333333333333	0.49	0.466666666666667	0.465	0.4225	0.51	0.52	0.4975	0.55	0.5375
"SAMPLE-9"	0.548333333333333	0.641666666666667	0.6	0.64125	0.641666666666667	0.656666666666667	0.626666666666667	0.575	0.51	0.607	0.64	0.63	0.5825	0.57	0.63	0.68	0.61	0.685	0.8	0.58	0.622857142857143	0.646666666666667	0.628333333333333	0.583333333333333	0.67	0.681666666666667	0.63375	0.6075	0.557142857142857	0.545	0.635	0.666666666666667	0.693333333333333	0.65	0.63	0.56	0.60375	0.675	0.594	0.595	0.626666666666667	0.603333333333333	0.555	0.606666666666667	0.555	0.615	0.575	0.62	0.59	0.6	0.59	0.597142857142857	0.6	0.645	0.63	0.534	0.67	0.5725	0.592	0.67	0.575	0.565	0.63	0.57	0.635	0.69	0.613333333333333	0.696666666666667	0.65	0.655555555555556	0.613333333333333	0.63	0.55	0.593333333333333	0.56375	0.6	0.68	0.64875	0.61	0.615
"SAMPLE-10"	0.453333333333333	0.681666666666667	0.66	0.60125	0.616666666666667	0.623333333333333	0.59	0.655	0.67	0.581	0.636	0.577142857142857	0.5325	0.524	0.59	0.55625	0.59	0.61	0.64	0.495	0.591428571428571	0.596666666666667	0.605	0.616666666666667	0.608	0.616666666666667	0.5775	0.545	0.567142857142857	0.57	0.705	0.573333333333333	0.646666666666667	0.69	0.54	0.59	0.6225	0.575	0.542	0.69625	0.641666666666667	0.563333333333333	0.57	0.623333333333333	0.5675	0.527	0.615	0.58	0.66	0.583333333333333	0.636	0.605714285714286	0.62	0.56875	0.59	0.63	0.673333333333333	0.64	0.508	0.6	0.575	0.626	0.595	0.6	0.615	0.66	0.59	0.556666666666667	0.59	0.533333333333333	0.55	0.686666666666667	0.503333333333333	0.571666666666667	0.6125	0.6	0.64	0.71125	0.675	0.5925
