"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.588333333333333	0.59	0.48	0.53625	0.623333333333333	0.596666666666667	0.571666666666667	0.545	0.45	0.528	0.582	0.581428571428571	0.555	0.596	0.48	0.615	0.55	0.61	0.5	0.5625	0.628571428571429	0.576666666666667	0.593333333333333	0.543333333333333	0.607	0.556666666666667	0.585	0.575	0.598571428571429	0.575	0.48	0.59	0.55	0.57	0.65	0.57	0.59875	0.535	0.614	0.595	0.52	0.593333333333333	0.51	0.578333333333333	0.4625	0.58	0.595	0.54	0.565	0.513333333333333	0.564	0.605714285714286	0.54	0.6125	0.635	0.526	0.646666666666667	0.545	0.584	0.585	0.59	0.577	0.63	0.606666666666667	0.586666666666667	0.63	0.533333333333333	0.56	0.576666666666667	0.614444444444444	0.576666666666667	0.563333333333333	0.56	0.538333333333333	0.5775	0.53	0.72	0.6725	0.57	0.6075
"SRR11292126"	0.488333333333333	0.553333333333333	0.53	0.55375	0.591666666666667	0.606666666666667	0.57	0.54	0.58	0.52	0.582	0.512857142857143	0.5175	0.518	0.49	0.51625	0.56	0.565	0.58	0.4625	0.531428571428571	0.553333333333333	0.56	0.583333333333333	0.609	0.536666666666667	0.48625	0.50125	0.52	0.535	0.595	0.536666666666667	0.566666666666667	0.61	0.51	0.41	0.5475	0.515	0.49	0.565	0.54	0.486666666666667	0.485	0.608333333333333	0.4775	0.483	0.535	0.38	0.5	0.513333333333333	0.552	0.557142857142857	0.535	0.54625	0.535	0.536	0.58	0.555	0.478	0.58	0.545	0.536	0.495	0.526666666666667	0.505	0.52	0.6	0.553333333333333	0.55	0.474444444444444	0.51	0.493333333333333	0.51	0.475	0.51375	0.57	0.5	0.6225	0.545	0.5575
"SRR11292127"	0.518333333333333	0.546666666666667	0.52	0.495	0.595	0.606666666666667	0.538333333333333	0.535	0.49	0.548	0.496	0.572857142857143	0.5225	0.546	0.5	0.5925	0.65	0.615	0.57	0.4925	0.558571428571429	0.503333333333333	0.563333333333333	0.47	0.616	0.57	0.48875	0.53125	0.535714285714286	0.495	0.465	0.553333333333333	0.623333333333333	0.6	0.49	0.54	0.53625	0.525	0.564	0.5175	0.523333333333333	0.536666666666667	0.505	0.543333333333333	0.5275	0.499	0.535	0.5	0.525	0.516666666666667	0.518	0.495714285714286	0.525	0.52375	0.58	0.518	0.526666666666667	0.4875	0.556	0.565	0.59	0.538	0.63	0.526666666666667	0.568333333333333	0.65	0.496666666666667	0.543333333333333	0.53	0.605555555555556	0.536666666666667	0.56	0.483333333333333	0.54	0.505	0.44	0.67	0.5525	0.6	0.57
"SRR11292131"	0.503333333333333	0.541666666666667	0.44	0.54875	0.593333333333333	0.56	0.51	0.54	0.45	0.489	0.536	0.475714285714286	0.6125	0.54	0.53	0.5325	0.48	0.545	0.48	0.5175	0.564285714285714	0.573333333333333	0.556666666666667	0.493333333333333	0.586	0.525	0.5375	0.56125	0.557142857142857	0.535	0.5	0.553333333333333	0.48	0.57	0.54	0.54	0.575	0.505	0.492	0.5675	0.536666666666667	0.563333333333333	0.515	0.566666666666667	0.4575	0.502	0.535	0.54	0.565	0.533333333333333	0.558	0.561428571428571	0.455	0.54875	0.495	0.536	0.626666666666667	0.5525	0.552	0.57	0.555	0.561	0.56	0.483333333333333	0.5	0.58	0.496666666666667	0.52	0.56	0.516666666666667	0.523333333333333	0.53	0.49	0.453333333333333	0.5175	0.47	0.57	0.6125	0.475	0.5525
"SRR11292132"	0.323333333333333	0.34	0.37	0.3575	0.486666666666667	0.463333333333333	0.408333333333333	0.33	0.43	0.375	0.386	0.375714285714286	0.35	0.388	0.32	0.37375	0.34	0.395	0.35	0.2925	0.351428571428571	0.443333333333333	0.448333333333333	0.346666666666667	0.434	0.381666666666667	0.305	0.34125	0.4	0.375	0.345	0.403333333333333	0.423333333333333	0.45	0.37	0.28	0.41875	0.335	0.334	0.4375	0.37	0.383333333333333	0.34	0.486666666666667	0.3525	0.31	0.435	0.35	0.43	0.423333333333333	0.434	0.39	0.265	0.3575	0.355	0.418	0.37	0.3875	0.356	0.36	0.455	0.367	0.39	0.32	0.348333333333333	0.5	0.396666666666667	0.323333333333333	0.38	0.354444444444444	0.376666666666667	0.403333333333333	0.336666666666667	0.34	0.3275	0.33	0.35	0.42625	0.46	0.4425
"SRR11292136"	0.365	0.271666666666667	0.26	0.37625	0.425	0.42	0.326666666666667	0.37	0.36	0.315	0.376	0.331428571428571	0.4075	0.408	0.27	0.315	0.36	0.385	0.28	0.2875	0.387142857142857	0.386666666666667	0.396666666666667	0.33	0.376	0.33	0.31	0.34	0.354285714285714	0.405	0.305	0.36	0.216666666666667	0.37	0.33	0.32	0.375	0.255	0.31	0.3775	0.356666666666667	0.4	0.335	0.366666666666667	0.315	0.326	0.395	0.38	0.405	0.366666666666667	0.402	0.368571428571429	0.255	0.3525	0.365	0.362	0.38	0.3775	0.362	0.4	0.4	0.338	0.44	0.316666666666667	0.263333333333333	0.41	0.31	0.303333333333333	0.406666666666667	0.294444444444444	0.373333333333333	0.356666666666667	0.366666666666667	0.24	0.35125	0.35	0.39	0.365	0.4	0.3775
"SRR11292137"	0.588333333333333	0.631666666666667	0.57	0.65125	0.596666666666667	0.616666666666667	0.593333333333333	0.61	0.56	0.549	0.634	0.62	0.5875	0.61	0.65	0.625	0.66	0.72	0.48	0.6625	0.65	0.556666666666667	0.621666666666667	0.583333333333333	0.698	0.623333333333333	0.60125	0.64625	0.611428571428571	0.58	0.55	0.606666666666667	0.696666666666667	0.55	0.67	0.61	0.5775	0.565	0.694	0.58875	0.62	0.61	0.6	0.56	0.56	0.643	0.58	0.54	0.625	0.606666666666667	0.574	0.61	0.63	0.65	0.65	0.616	0.7	0.645	0.652	0.68	0.63	0.6	0.675	0.57	0.618333333333333	0.66	0.63	0.63	0.603333333333333	0.674444444444444	0.63	0.57	0.603333333333333	0.608333333333333	0.58625	0.6	0.64	0.6825	0.61	0.61
"SRR11292138"	0.316666666666667	0.35	0.34	0.34375	0.465	0.473333333333333	0.405	0.32	0.4	0.369	0.386	0.36	0.3625	0.394	0.31	0.365	0.35	0.405	0.36	0.28	0.35	0.44	0.441666666666667	0.313333333333333	0.433	0.38	0.29625	0.33	0.39	0.34	0.35	0.39	0.406666666666667	0.44	0.38	0.26	0.4125	0.315	0.334	0.42125	0.375	0.37	0.32	0.466666666666667	0.345	0.307	0.455	0.35	0.42	0.38	0.424	0.368571428571429	0.27	0.33375	0.345	0.396	0.356666666666667	0.3875	0.344	0.365	0.465	0.373	0.345	0.316666666666667	0.356666666666667	0.48	0.383333333333333	0.316666666666667	0.363333333333333	0.34	0.376666666666667	0.4	0.336666666666667	0.33	0.32	0.33	0.37	0.43	0.46	0.4475
"SRR11292140"	0.538333333333333	0.586666666666667	0.48	0.535	0.585	0.526666666666667	0.536666666666667	0.55	0.59	0.513	0.532	0.602857142857143	0.5575	0.564	0.57	0.54125	0.54	0.6	0.49	0.52	0.598571428571429	0.536666666666667	0.578333333333333	0.573333333333333	0.594	0.605	0.51625	0.525	0.551428571428571	0.55	0.435	0.613333333333333	0.606666666666667	0.59	0.66	0.56	0.57875	0.545	0.596	0.51625	0.538333333333333	0.61	0.555	0.566666666666667	0.5125	0.578	0.565	0.49	0.595	0.51	0.56	0.537142857142857	0.53	0.5425	0.625	0.54	0.553333333333333	0.555	0.546	0.52	0.525	0.513	0.56	0.563333333333333	0.543333333333333	0.55	0.586666666666667	0.503333333333333	0.5	0.623333333333333	0.523333333333333	0.503333333333333	0.51	0.551666666666667	0.52	0.52	0.63	0.51	0.555	0.6025
"SRR11292141"	0.475	0.468333333333333	0.38	0.4625	0.546666666666667	0.53	0.491666666666667	0.48	0.43	0.44	0.516	0.442857142857143	0.505	0.52	0.4	0.4975	0.43	0.435	0.38	0.47	0.525714285714286	0.493333333333333	0.498333333333333	0.493333333333333	0.514	0.43	0.44375	0.46125	0.488571428571429	0.445	0.41	0.51	0.413333333333333	0.51	0.57	0.45	0.4925	0.45	0.424	0.51125	0.503333333333333	0.53	0.43	0.516666666666667	0.405	0.474	0.53	0.47	0.5	0.52	0.476	0.527142857142857	0.435	0.49	0.49	0.49	0.49	0.5	0.514	0.49	0.525	0.52	0.56	0.453333333333333	0.421666666666667	0.51	0.473333333333333	0.463333333333333	0.51	0.473333333333333	0.506666666666667	0.453333333333333	0.41	0.38	0.45625	0.44	0.49	0.50625	0.495	0.47
