"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.38	0.428571428571429	0.414	0.412	0.47	0.432857142857143	0.33	0.42875	0.388	0.339	0.371428571428571	0.37	0.376666666666667	0.37	0.337777777777778	0.31	0.38125	0.357142857142857	0.388888888888889	0.356	0.388333333333333	0.39	0.37	0.4	0.33875	0.386	0.385	0.351666666666667	0.4	0.388571428571429	0.3375	0.356	0.43	0.383333333333333	0.33375	0.38	0.345555555555556	0.4875	0.317777777777778	0.388	0.38	0.41	0.391666666666667	0.40875	0.33	0.421111111111111	0.378571428571429	0.41	0.475	0.3725	0.385	0.4	0.41	0.402	0.34	0.345555555555556	0.376	0.433333333333333	0.345	0.33	0.364444444444444	0.41	0.41	0.384285714285714	0.417142857142857	0.424444444444444	0.335	0.391666666666667	0.4325	0.435	0.3525	0.435	0.37	0.47	0.394	0.4075	0.374285714285714	0.29	0.358333333333333	0.401428571428571
"ERR1624542"	0.32	0.375714285714286	0.33	0.358	0.26	0.331428571428571	0.28	0.345	0.311	0.267	0.32	0.24625	0.31	0.32	0.315555555555556	0.296	0.30625	0.28	0.297777777777778	0.29	0.361666666666667	0.28	0.296666666666667	0.355	0.2875	0.27	0.3025	0.293333333333333	0.323333333333333	0.302857142857143	0.29	0.296	0.36	0.265555555555556	0.24875	0.303333333333333	0.302222222222222	0.395	0.237777777777778	0.298	0.295	0.312222222222222	0.313333333333333	0.32125	0.38	0.335555555555556	0.325714285714286	0.38	0.415	0.3125	0.277	0.358888888888889	0.34	0.316	0.26	0.26	0.29	0.376666666666667	0.29	0.24	0.282222222222222	0.33	0.35	0.324285714285714	0.367142857142857	0.318888888888889	0.276666666666667	0.336666666666667	0.33	0.26	0.2975	0.378333333333333	0.276666666666667	0.335	0.309	0.335	0.334285714285714	0.236666666666667	0.276666666666667	0.351428571428571
"ERR1624545"	0.55	0.547142857142857	0.52	0.528	0.44	0.491428571428571	0.53	0.4975	0.477	0.434	0.468571428571429	0.455	0.506666666666667	0.54	0.504444444444444	0.51	0.4725	0.42	0.524444444444444	0.488	0.553333333333333	0.45	0.491666666666667	0.55	0.4775	0.448	0.4975	0.485	0.5	0.487142857142857	0.4475	0.444	0.51	0.428888888888889	0.46	0.446666666666667	0.481111111111111	0.54	0.394444444444444	0.5	0.43	0.468888888888889	0.493333333333333	0.54125	0.44	0.548888888888889	0.452857142857143	0.555	0.57	0.49	0.431	0.531111111111111	0.54	0.534	0.51	0.443333333333333	0.442	0.583333333333333	0.5	0.37	0.475555555555556	0.5075	0.62	0.558571428571429	0.538571428571429	0.507777777777778	0.425	0.513333333333333	0.5225	0.475	0.565	0.583333333333333	0.446666666666667	0.6	0.463	0.4875	0.491428571428571	0.453333333333333	0.425	0.505714285714286
"ERR1624547"	0.345	0.387142857142857	0.316	0.338	0.32	0.315714285714286	0.31	0.3125	0.291	0.263	0.29	0.2425	0.283333333333333	0.4	0.272222222222222	0.232	0.27875	0.264285714285714	0.278888888888889	0.298	0.341666666666667	0.26	0.27	0.3	0.265	0.312	0.27	0.28	0.26	0.277142857142857	0.255	0.3	0.28	0.3	0.235	0.276666666666667	0.255555555555556	0.37	0.242222222222222	0.264	0.285	0.302222222222222	0.308333333333333	0.27875	0.24	0.278888888888889	0.298571428571429	0.35	0.445	0.2975	0.249	0.341111111111111	0.36	0.292	0.31	0.237777777777778	0.242	0.31	0.205	0.29	0.287777777777778	0.2725	0.32	0.267142857142857	0.341428571428571	0.34	0.215	0.316666666666667	0.3675	0.28	0.2725	0.333333333333333	0.313333333333333	0.32	0.286	0.3075	0.277142857142857	0.23	0.236666666666667	0.328571428571429
"ERR1624549"	0.455	0.441428571428571	0.38	0.462	0.36	0.437142857142857	0.3	0.42875	0.4	0.336	0.401428571428571	0.36875	0.363333333333333	0.45	0.396666666666667	0.37	0.4325	0.375714285714286	0.386666666666667	0.388	0.446666666666667	0.4	0.381666666666667	0.44	0.3525	0.366	0.4425	0.406666666666667	0.38	0.371428571428571	0.3625	0.368	0.41	0.378888888888889	0.3575	0.39	0.39	0.45	0.338888888888889	0.412	0.365	0.406666666666667	0.415	0.41125	0.43	0.456666666666667	0.384285714285714	0.47	0.455	0.39	0.395	0.455555555555556	0.415	0.418	0.43	0.375555555555556	0.38	0.466666666666667	0.455	0.33	0.406666666666667	0.3875	0.43	0.395714285714286	0.445714285714286	0.433333333333333	0.353333333333333	0.438333333333333	0.46	0.39	0.4	0.426666666666667	0.373333333333333	0.48	0.411	0.4525	0.414285714285714	0.326666666666667	0.368333333333333	0.438571428571429
"ERR1624550"	0.37	0.444285714285714	0.396	0.376	0.36	0.397142857142857	0.42	0.3675	0.385	0.342	0.364285714285714	0.33125	0.296666666666667	0.43	0.404444444444444	0.388	0.34625	0.357142857142857	0.384444444444444	0.328	0.405	0.36	0.38	0.41	0.36625	0.356	0.37	0.365	0.38	0.362857142857143	0.365	0.368	0.43	0.333333333333333	0.32	0.37	0.335555555555556	0.44	0.313333333333333	0.31	0.335	0.305555555555556	0.336666666666667	0.3725	0.36	0.38	0.378571428571429	0.4	0.425	0.36875	0.335	0.412222222222222	0.385	0.356	0.31	0.33	0.362	0.43	0.33	0.34	0.348888888888889	0.3725	0.49	0.331428571428571	0.437142857142857	0.366666666666667	0.325	0.363333333333333	0.43	0.325	0.3925	0.406666666666667	0.363333333333333	0.43	0.361	0.335	0.365714285714286	0.336666666666667	0.391666666666667	0.39
"ERR1624552"	0.46	0.467142857142857	0.51	0.434	0.4	0.418571428571429	0.51	0.46125	0.412	0.383	0.391428571428571	0.34875	0.406666666666667	0.46	0.412222222222222	0.38	0.4175	0.411428571428571	0.43	0.406	0.443333333333333	0.42	0.403333333333333	0.405	0.3475	0.41	0.3975	0.41	0.426666666666667	0.372857142857143	0.395	0.38	0.45	0.418888888888889	0.355	0.443333333333333	0.372222222222222	0.44	0.338888888888889	0.402	0.41	0.435555555555556	0.388333333333333	0.40875	0.46	0.424444444444444	0.435714285714286	0.395	0.56	0.38375	0.387	0.417777777777778	0.45	0.422	0.36	0.341111111111111	0.402	0.446666666666667	0.43	0.36	0.391111111111111	0.36	0.51	0.374285714285714	0.484285714285714	0.447777777777778	0.37	0.41	0.455	0.415	0.395	0.445	0.406666666666667	0.445	0.411	0.3725	0.44	0.343333333333333	0.388333333333333	0.437142857142857
"ERR1624553"	0.275	0.37	0.238	0.304	0.31	0.314285714285714	0.22	0.33875	0.264	0.254	0.277142857142857	0.24125	0.303333333333333	0.38	0.235555555555556	0.236	0.25	0.228571428571429	0.244444444444444	0.248	0.315	0.31	0.276666666666667	0.335	0.2225	0.298	0.3	0.326666666666667	0.27	0.24	0.2375	0.292	0.33	0.248888888888889	0.27625	0.283333333333333	0.22	0.3325	0.226666666666667	0.226	0.28	0.262222222222222	0.303333333333333	0.2725	0.26	0.275555555555556	0.241428571428571	0.275	0.31	0.2775	0.255	0.307777777777778	0.31	0.27	0.2	0.242222222222222	0.232	0.343333333333333	0.245	0.25	0.253333333333333	0.285	0.35	0.231428571428571	0.337142857142857	0.305555555555556	0.216666666666667	0.273333333333333	0.38	0.225	0.3	0.326666666666667	0.226666666666667	0.345	0.305	0.285	0.291428571428571	0.196666666666667	0.231666666666667	0.315714285714286
"ERR1624554"	0.375	0.368571428571429	0.354	0.39	0.28	0.417142857142857	0.35	0.375	0.349	0.27	0.317142857142857	0.33875	0.33	0.27	0.334444444444444	0.334	0.3425	0.322857142857143	0.336666666666667	0.342	0.36	0.27	0.34	0.325	0.33375	0.36	0.325	0.326666666666667	0.32	0.348571428571429	0.3275	0.34	0.34	0.328888888888889	0.3025	0.343333333333333	0.343333333333333	0.3975	0.321111111111111	0.376	0.31	0.356666666666667	0.348333333333333	0.36125	0.37	0.336666666666667	0.3	0.45	0.44	0.32125	0.371	0.358888888888889	0.405	0.352	0.29	0.335555555555556	0.354	0.373333333333333	0.325	0.25	0.342222222222222	0.3375	0.37	0.334285714285714	0.39	0.36	0.323333333333333	0.343333333333333	0.3275	0.35	0.3625	0.378333333333333	0.38	0.4	0.346	0.3575	0.347142857142857	0.34	0.303333333333333	0.381428571428571
"ERR1624555"	0.33	0.388571428571429	0.318	0.336	0.27	0.35	0.28	0.3375	0.306	0.252	0.292857142857143	0.27375	0.29	0.36	0.296666666666667	0.276	0.3275	0.284285714285714	0.281111111111111	0.294	0.32	0.35	0.315	0.325	0.2825	0.292	0.2925	0.325	0.316666666666667	0.297142857142857	0.26	0.28	0.35	0.291111111111111	0.2525	0.303333333333333	0.297777777777778	0.3575	0.238888888888889	0.302	0.315	0.306666666666667	0.311666666666667	0.3025	0.28	0.332222222222222	0.294285714285714	0.35	0.385	0.32125	0.298	0.34	0.31	0.32	0.24	0.262222222222222	0.28	0.36	0.27	0.23	0.286666666666667	0.3625	0.36	0.308571428571429	0.358571428571429	0.365555555555556	0.253333333333333	0.296666666666667	0.35	0.32	0.29	0.341666666666667	0.3	0.39	0.321	0.335	0.334285714285714	0.193333333333333	0.258333333333333	0.334285714285714
