"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.545	0.604285714285714	0.614	0.632	0.64	0.638571428571429	0.59	0.53875	0.565	0.58	0.575714285714286	0.575	0.51	0.59	0.598888888888889	0.574	0.61	0.58	0.566666666666667	0.538	0.556666666666667	0.61	0.556666666666667	0.545	0.5875	0.498	0.535	0.551666666666667	0.583333333333333	0.594285714285714	0.605	0.566	0.63	0.551111111111111	0.495	0.62	0.57	0.625	0.58	0.612	0.63	0.602222222222222	0.551666666666667	0.59375	0.57	0.618888888888889	0.56	0.595	0.595	0.57625	0.589	0.621111111111111	0.56	0.6	0.55	0.571111111111111	0.638	0.516666666666667	0.58	0.45	0.553333333333333	0.5525	0.57	0.611428571428571	0.585714285714286	0.581111111111111	0.525	0.606666666666667	0.585	0.535	0.63	0.603333333333333	0.626666666666667	0.615	0.577	0.6325	0.594285714285714	0.546666666666667	0.543333333333333	0.611428571428571
"SAMPLE-2"	0.315	0.348571428571429	0.232	0.294	0.2	0.221428571428571	0.29	0.20875	0.22	0.207	0.247142857142857	0.24	0.27	0.38	0.206666666666667	0.196	0.2125	0.184285714285714	0.227777777777778	0.226	0.251666666666667	0.18	0.225	0.305	0.21125	0.238	0.2475	0.241666666666667	0.166666666666667	0.195714285714286	0.1975	0.232	0.29	0.195555555555556	0.20875	0.193333333333333	0.197777777777778	0.3	0.22	0.206	0.225	0.232222222222222	0.253333333333333	0.27625	0.19	0.252222222222222	0.18	0.295	0.31	0.22875	0.202	0.247777777777778	0.29	0.256	0.24	0.225555555555556	0.25	0.313333333333333	0.21	0.15	0.217777777777778	0.1875	0.33	0.258571428571429	0.325714285714286	0.266666666666667	0.17	0.246666666666667	0.3675	0.23	0.265	0.325	0.186666666666667	0.355	0.242	0.2975	0.265714285714286	0.18	0.205	0.301428571428571
"SAMPLE-3"	0.59	0.587142857142857	0.618	0.568	0.54	0.547142857142857	0.54	0.555	0.556	0.527	0.564285714285714	0.5575	0.54	0.57	0.568888888888889	0.54	0.5475	0.551428571428571	0.564444444444444	0.556	0.518333333333333	0.58	0.59	0.535	0.525	0.578	0.485	0.513333333333333	0.53	0.497142857142857	0.515	0.524	0.66	0.557777777777778	0.55	0.543333333333333	0.591111111111111	0.5125	0.56	0.53	0.575	0.567777777777778	0.53	0.53875	0.63	0.526666666666667	0.575714285714286	0.535	0.54	0.52	0.516	0.547777777777778	0.45	0.632	0.54	0.556666666666667	0.596	0.516666666666667	0.555	0.49	0.542222222222222	0.58	0.57	0.544285714285714	0.567142857142857	0.564444444444444	0.568333333333333	0.575	0.525	0.6	0.53	0.581666666666667	0.563333333333333	0.56	0.561	0.5575	0.59	0.576666666666667	0.57	0.541428571428571
"SAMPLE-4"	0.55	0.501428571428571	0.476	0.478	0.47	0.441428571428571	0.42	0.4425	0.432	0.407	0.44	0.47125	0.46	0.48	0.377777777777778	0.372	0.45875	0.381428571428571	0.458888888888889	0.412	0.493333333333333	0.41	0.443333333333333	0.46	0.43375	0.464	0.4475	0.378333333333333	0.41	0.465714285714286	0.4125	0.37	0.5	0.458888888888889	0.43375	0.436666666666667	0.457777777777778	0.4725	0.414444444444444	0.402	0.39	0.442222222222222	0.468333333333333	0.43875	0.45	0.441111111111111	0.427142857142857	0.48	0.48	0.44375	0.427	0.455555555555556	0.4	0.44	0.41	0.387777777777778	0.402	0.476666666666667	0.44	0.47	0.391111111111111	0.43	0.42	0.478571428571429	0.462857142857143	0.451111111111111	0.403333333333333	0.451666666666667	0.4875	0.49	0.435	0.456666666666667	0.483333333333333	0.475	0.472	0.4675	0.471428571428571	0.376666666666667	0.405	0.445714285714286
"SAMPLE-5"	0.355	0.4	0.274	0.36	0.36	0.331428571428571	0.29	0.29875	0.296	0.275	0.338571428571429	0.335	0.32	0.35	0.288888888888889	0.282	0.29375	0.252857142857143	0.255555555555556	0.304	0.341666666666667	0.34	0.295	0.34	0.3025	0.306	0.325	0.295	0.29	0.312857142857143	0.275	0.262	0.35	0.267777777777778	0.25125	0.33	0.31	0.3425	0.298888888888889	0.276	0.255	0.277777777777778	0.323333333333333	0.31125	0.34	0.314444444444444	0.251428571428571	0.375	0.4	0.30875	0.308	0.343333333333333	0.295	0.314	0.25	0.265555555555556	0.27	0.323333333333333	0.225	0.25	0.267777777777778	0.285	0.29	0.302857142857143	0.36	0.345555555555556	0.285	0.335	0.3675	0.315	0.36	0.378333333333333	0.313333333333333	0.365	0.32	0.355	0.331428571428571	0.246666666666667	0.296666666666667	0.318571428571429
"SAMPLE-6"	0.495	0.501428571428571	0.482	0.484	0.46	0.467142857142857	0.4	0.41875	0.409	0.385	0.467142857142857	0.49625	0.48	0.45	0.414444444444444	0.432	0.4575	0.398571428571429	0.425555555555556	0.4	0.476666666666667	0.41	0.441666666666667	0.455	0.43875	0.434	0.4725	0.446666666666667	0.4	0.452857142857143	0.42	0.444	0.49	0.43	0.39375	0.426666666666667	0.46	0.47	0.415555555555556	0.434	0.425	0.423333333333333	0.458333333333333	0.49125	0.55	0.454444444444444	0.405714285714286	0.495	0.545	0.41375	0.406	0.461111111111111	0.4	0.476	0.43	0.438888888888889	0.452	0.473333333333333	0.425	0.41	0.447777777777778	0.4425	0.52	0.478571428571429	0.5	0.476666666666667	0.426666666666667	0.496666666666667	0.525	0.44	0.505	0.503333333333333	0.49	0.48	0.428	0.4675	0.487142857142857	0.433333333333333	0.405	0.464285714285714
"SAMPLE-7"	0.625	0.595714285714286	0.666	0.61	0.6	0.554285714285714	0.62	0.5525	0.588	0.558	0.577142857142857	0.61125	0.64	0.64	0.536666666666667	0.578	0.59125	0.542857142857143	0.548888888888889	0.546	0.553333333333333	0.62	0.59	0.55	0.5625	0.59	0.61	0.556666666666667	0.596666666666667	0.582857142857143	0.53	0.552	0.54	0.582222222222222	0.52	0.62	0.6	0.5675	0.563333333333333	0.55	0.585	0.576666666666667	0.595	0.56625	0.5	0.604444444444444	0.585714285714286	0.595	0.53	0.59625	0.563	0.585555555555556	0.51	0.628	0.58	0.532222222222222	0.574	0.6	0.585	0.6	0.596666666666667	0.545	0.61	0.604285714285714	0.63	0.597777777777778	0.571666666666667	0.595	0.625	0.61	0.58	0.633333333333333	0.593333333333333	0.615	0.562	0.66	0.584285714285714	0.583333333333333	0.545	0.581428571428571
"SAMPLE-8"	0.485	0.5	0.52	0.468	0.46	0.457142857142857	0.45	0.45	0.452	0.425	0.49	0.47	0.49	0.49	0.435555555555556	0.444	0.4675	0.422857142857143	0.392222222222222	0.416	0.475	0.37	0.473333333333333	0.475	0.44375	0.468	0.475	0.461666666666667	0.47	0.457142857142857	0.3925	0.404	0.41	0.425555555555556	0.37875	0.48	0.463333333333333	0.485	0.425555555555556	0.44	0.515	0.452222222222222	0.455	0.46875	0.49	0.486666666666667	0.482857142857143	0.485	0.51	0.43625	0.455	0.477777777777778	0.44	0.47	0.38	0.434444444444444	0.422	0.506666666666667	0.435	0.43	0.468888888888889	0.4425	0.46	0.471428571428571	0.512857142857143	0.464444444444444	0.406666666666667	0.478333333333333	0.5325	0.495	0.5125	0.508333333333333	0.453333333333333	0.43	0.422	0.5275	0.46	0.41	0.473333333333333	0.497142857142857
"SAMPLE-9"	0.435	0.464285714285714	0.458	0.45	0.43	0.425714285714286	0.39	0.445	0.401	0.397	0.44	0.43375	0.423333333333333	0.48	0.386666666666667	0.388	0.4125	0.378571428571429	0.404444444444444	0.362	0.423333333333333	0.39	0.43	0.425	0.39125	0.424	0.435	0.37	0.42	0.425714285714286	0.42	0.44	0.56	0.388888888888889	0.34875	0.396666666666667	0.452222222222222	0.4475	0.405555555555556	0.378	0.435	0.413333333333333	0.415	0.4425	0.43	0.446666666666667	0.437142857142857	0.44	0.465	0.42375	0.433	0.453333333333333	0.44	0.438	0.42	0.386666666666667	0.416	0.42	0.435	0.41	0.414444444444444	0.3675	0.47	0.421428571428571	0.461428571428571	0.436666666666667	0.363333333333333	0.461666666666667	0.445	0.42	0.435	0.47	0.45	0.445	0.42	0.4725	0.422857142857143	0.393333333333333	0.408333333333333	0.451428571428571
"SAMPLE-10"	0.645	0.584285714285714	0.634	0.594	0.56	0.517142857142857	0.59	0.5425	0.552	0.461	0.507142857142857	0.57125	0.53	0.55	0.532222222222222	0.536	0.5475	0.485714285714286	0.573333333333333	0.548	0.558333333333333	0.53	0.546666666666667	0.55	0.51375	0.548	0.5025	0.533333333333333	0.526666666666667	0.574285714285714	0.53	0.476	0.68	0.526666666666667	0.49125	0.516666666666667	0.505555555555556	0.6075	0.481111111111111	0.55	0.495	0.521111111111111	0.585	0.54875	0.47	0.548888888888889	0.525714285714286	0.575	0.62	0.54375	0.502	0.567777777777778	0.53	0.504	0.57	0.46	0.51	0.613333333333333	0.58	0.54	0.482222222222222	0.5275	0.51	0.567142857142857	0.577142857142857	0.546666666666667	0.513333333333333	0.546666666666667	0.5875	0.62	0.5375	0.626666666666667	0.573333333333333	0.55	0.521	0.585	0.562857142857143	0.516666666666667	0.5	0.55
