"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.55	0.624285714285714	0.64	0.644	0.56	0.608571428571429	0.6	0.6025	0.564	0.534	0.548571428571429	0.5575	0.596666666666667	0.52	0.585555555555556	0.538	0.58375	0.53	0.577777777777778	0.622	0.508333333333333	0.6	0.591666666666667	0.555	0.59375	0.584	0.515	0.571666666666667	0.56	0.612857142857143	0.555	0.528	0.65	0.556666666666667	0.55625	0.57	0.606666666666667	0.5375	0.594444444444444	0.618	0.595	0.613333333333333	0.561666666666667	0.57125	0.58	0.566666666666667	0.621428571428571	0.635	0.615	0.5675	0.59	0.583333333333333	0.535	0.592	0.57	0.558888888888889	0.576	0.586666666666667	0.585	0.49	0.603333333333333	0.565	0.63	0.577142857142857	0.572857142857143	0.584444444444444	0.566666666666667	0.59	0.555	0.56	0.555	0.586666666666667	0.57	0.575	0.587	0.5375	0.584285714285714	0.52	0.601666666666667	0.581428571428571
"SRR11292126"	0.71	0.577142857142857	0.656	0.562	0.62	0.511428571428571	0.53	0.51125	0.586	0.506	0.571428571428571	0.53125	0.556666666666667	0.56	0.575555555555556	0.568	0.54625	0.525714285714286	0.525555555555556	0.552	0.498333333333333	0.55	0.531666666666667	0.485	0.5075	0.572	0.55	0.526666666666667	0.573333333333333	0.551428571428571	0.5025	0.494	0.53	0.547777777777778	0.52625	0.603333333333333	0.556666666666667	0.56	0.52	0.556	0.595	0.558888888888889	0.56	0.535	0.59	0.532222222222222	0.557142857142857	0.535	0.545	0.54125	0.493	0.542222222222222	0.485	0.56	0.54	0.5	0.558	0.56	0.545	0.54	0.544444444444444	0.5325	0.58	0.537142857142857	0.588571428571429	0.541111111111111	0.505	0.523333333333333	0.5575	0.575	0.545	0.536666666666667	0.523333333333333	0.555	0.478	0.5375	0.541428571428571	0.546666666666667	0.551666666666667	0.511428571428571
"SRR11292127"	0.415	0.497142857142857	0.502	0.514	0.45	0.46	0.4	0.45625	0.433	0.418	0.461428571428571	0.43625	0.45	0.48	0.465555555555556	0.474	0.48875	0.407142857142857	0.482222222222222	0.4	0.473333333333333	0.47	0.451666666666667	0.555	0.4175	0.468	0.44	0.446666666666667	0.46	0.452857142857143	0.4275	0.424	0.55	0.431111111111111	0.4125	0.5	0.486666666666667	0.455	0.446666666666667	0.45	0.42	0.447777777777778	0.44	0.44	0.49	0.457777777777778	0.494285714285714	0.49	0.46	0.43875	0.463	0.461111111111111	0.475	0.478	0.4	0.42	0.4	0.51	0.535	0.44	0.432222222222222	0.435	0.51	0.441428571428571	0.497142857142857	0.464444444444444	0.448333333333333	0.5	0.4575	0.465	0.49	0.511666666666667	0.503333333333333	0.505	0.471	0.4975	0.472857142857143	0.46	0.481666666666667	0.505714285714286
"SRR11292131"	0.8	0.731428571428571	0.864	0.786	0.78	0.771428571428571	0.73	0.71125	0.804	0.759	0.76	0.805	0.783333333333333	0.67	0.758888888888889	0.786	0.78625	0.757142857142857	0.752222222222222	0.794	0.72	0.77	0.776666666666667	0.765	0.78625	0.754	0.755	0.77	0.78	0.778571428571429	0.7125	0.732	0.85	0.776666666666667	0.75875	0.78	0.801111111111111	0.7425	0.762222222222222	0.734	0.815	0.798888888888889	0.731666666666667	0.76375	0.76	0.764444444444444	0.79	0.775	0.7	0.795	0.779	0.735555555555556	0.64	0.744	0.8	0.737777777777778	0.776	0.713333333333333	0.81	0.84	0.79	0.79	0.76	0.79	0.711428571428571	0.736666666666667	0.751666666666667	0.776666666666667	0.675	0.76	0.775	0.748333333333333	0.76	0.71	0.739	0.76	0.754285714285714	0.773333333333333	0.815	0.732857142857143
"SRR11292132"	0.345	0.385714285714286	0.29	0.322	0.23	0.281428571428571	0.32	0.24875	0.254	0.269	0.325714285714286	0.32125	0.286666666666667	0.31	0.267777777777778	0.272	0.32625	0.257142857142857	0.237777777777778	0.246	0.328333333333333	0.24	0.28	0.32	0.285	0.318	0.295	0.278333333333333	0.253333333333333	0.274285714285714	0.2675	0.224	0.34	0.25	0.21375	0.313333333333333	0.234444444444444	0.345	0.233333333333333	0.272	0.285	0.238888888888889	0.31	0.295	0.28	0.28	0.241428571428571	0.365	0.34	0.27875	0.251	0.33	0.285	0.274	0.23	0.251111111111111	0.28	0.37	0.21	0.26	0.244444444444444	0.265	0.35	0.304285714285714	0.364285714285714	0.333333333333333	0.215	0.276666666666667	0.4475	0.295	0.325	0.391666666666667	0.293333333333333	0.36	0.283	0.3025	0.28	0.276666666666667	0.256666666666667	0.327142857142857
"SRR11292136"	0.475	0.477142857142857	0.43	0.426	0.4	0.328571428571429	0.38	0.3925	0.411	0.398	0.417142857142857	0.3725	0.41	0.46	0.397777777777778	0.434	0.36	0.394285714285714	0.367777777777778	0.424	0.391666666666667	0.48	0.42	0.45	0.37875	0.384	0.4225	0.435	0.413333333333333	0.361428571428571	0.3375	0.442	0.41	0.391111111111111	0.35	0.37	0.375555555555556	0.39	0.367777777777778	0.4	0.43	0.37	0.403333333333333	0.4	0.43	0.423333333333333	0.368571428571429	0.425	0.44	0.38	0.352	0.443333333333333	0.4	0.396	0.42	0.376666666666667	0.38	0.45	0.41	0.4	0.368888888888889	0.3525	0.37	0.385714285714286	0.421428571428571	0.43	0.38	0.385	0.435	0.395	0.375	0.396666666666667	0.376666666666667	0.44	0.389	0.4	0.41	0.376666666666667	0.378333333333333	0.411428571428571
"SRR11292137"	0.535	0.547142857142857	0.566	0.524	0.46	0.492857142857143	0.52	0.5125	0.528	0.494	0.522857142857143	0.54125	0.506666666666667	0.55	0.476666666666667	0.484	0.4875	0.524285714285714	0.471111111111111	0.472	0.533333333333333	0.51	0.49	0.505	0.4675	0.546	0.5025	0.495	0.463333333333333	0.475714285714286	0.4375	0.496	0.54	0.512222222222222	0.48375	0.533333333333333	0.516666666666667	0.5325	0.49	0.476	0.49	0.501111111111111	0.521666666666667	0.49	0.54	0.494444444444444	0.541428571428571	0.505	0.525	0.51125	0.466	0.522222222222222	0.49	0.498	0.43	0.442222222222222	0.468	0.57	0.505	0.54	0.471111111111111	0.4875	0.51	0.475714285714286	0.524285714285714	0.542222222222222	0.486666666666667	0.511666666666667	0.5325	0.56	0.47	0.525	0.496666666666667	0.555	0.519	0.52	0.505714285714286	0.51	0.495	0.512857142857143
"SRR11292138"	0.32	0.388571428571429	0.264	0.306	0.2	0.277142857142857	0.29	0.25375	0.262	0.262	0.311428571428571	0.305	0.3	0.31	0.257777777777778	0.264	0.32875	0.25	0.236666666666667	0.246	0.331666666666667	0.25	0.293333333333333	0.335	0.26375	0.316	0.3075	0.296666666666667	0.246666666666667	0.272857142857143	0.255	0.216	0.32	0.234444444444444	0.2225	0.3	0.233333333333333	0.3325	0.235555555555556	0.284	0.24	0.243333333333333	0.303333333333333	0.28875	0.3	0.292222222222222	0.222857142857143	0.38	0.34	0.27375	0.25	0.321111111111111	0.265	0.274	0.22	0.243333333333333	0.272	0.4	0.23	0.27	0.251111111111111	0.2725	0.32	0.294285714285714	0.337142857142857	0.332222222222222	0.22	0.27	0.4225	0.3	0.3175	0.385	0.273333333333333	0.345	0.293	0.3075	0.277142857142857	0.273333333333333	0.255	0.315714285714286
"SRR11292140"	0.46	0.481428571428571	0.45	0.452	0.48	0.5	0.38	0.46125	0.447	0.39	0.422857142857143	0.4375	0.453333333333333	0.53	0.421111111111111	0.468	0.44125	0.428571428571429	0.404444444444444	0.43	0.44	0.45	0.425	0.45	0.45125	0.478	0.49	0.456666666666667	0.476666666666667	0.467142857142857	0.375	0.428	0.49	0.443333333333333	0.34625	0.44	0.397777777777778	0.4725	0.417777777777778	0.4	0.455	0.445555555555556	0.433333333333333	0.4575	0.48	0.453333333333333	0.444285714285714	0.48	0.495	0.41125	0.459	0.444444444444444	0.425	0.428	0.37	0.422222222222222	0.466	0.483333333333333	0.48	0.48	0.444444444444444	0.4075	0.47	0.421428571428571	0.514285714285714	0.45	0.396666666666667	0.458333333333333	0.45	0.415	0.4225	0.473333333333333	0.46	0.485	0.432	0.41	0.431428571428571	0.416666666666667	0.421666666666667	0.47
"SRR11292141"	0.61	0.617142857142857	0.652	0.644	0.52	0.62	0.62	0.575	0.646	0.603	0.652857142857143	0.575	0.563333333333333	0.54	0.686666666666667	0.592	0.665	0.625714285714286	0.592222222222222	0.636	0.568333333333333	0.63	0.65	0.61	0.565	0.576	0.5075	0.598333333333333	0.61	0.592857142857143	0.56	0.586	0.72	0.571111111111111	0.62125	0.68	0.632222222222222	0.62	0.606666666666667	0.668	0.675	0.642222222222222	0.573333333333333	0.6	0.68	0.57	0.664285714285714	0.6	0.585	0.60625	0.578	0.676666666666667	0.565	0.632	0.57	0.598888888888889	0.608	0.596666666666667	0.635	0.54	0.566666666666667	0.5775	0.59	0.612857142857143	0.594285714285714	0.605555555555556	0.643333333333333	0.623333333333333	0.595	0.555	0.6675	0.655	0.59	0.5	0.572	0.5925	0.61	0.583333333333333	0.66	0.624285714285714
"SRR11292142"	0.51	0.52	0.494	0.468	0.44	0.461428571428571	0.44	0.5075	0.461	0.391	0.441428571428571	0.43	0.436666666666667	0.48	0.407777777777778	0.464	0.45125	0.447142857142857	0.441111111111111	0.414	0.463333333333333	0.46	0.436666666666667	0.445	0.4275	0.484	0.425	0.413333333333333	0.41	0.438571428571429	0.4125	0.408	0.5	0.438888888888889	0.40875	0.456666666666667	0.46	0.4675	0.413333333333333	0.444	0.435	0.453333333333333	0.46	0.475	0.39	0.467777777777778	0.425714285714286	0.51	0.52	0.445	0.439	0.495555555555556	0.485	0.464	0.41	0.364444444444444	0.474	0.473333333333333	0.47	0.52	0.433333333333333	0.4575	0.42	0.468571428571429	0.514285714285714	0.49	0.391666666666667	0.488333333333333	0.4875	0.49	0.445	0.446666666666667	0.466666666666667	0.44	0.451	0.4325	0.434285714285714	0.393333333333333	0.43	0.45
"SRR11292143"	0.55	0.5	0.524	0.542	0.48	0.501428571428571	0.5	0.42875	0.551	0.464	0.517142857142857	0.4425	0.46	0.58	0.514444444444444	0.504	0.5025	0.517142857142857	0.458888888888889	0.498	0.5	0.44	0.518333333333333	0.495	0.4625	0.482	0.49	0.518333333333333	0.55	0.487142857142857	0.4275	0.478	0.47	0.435555555555556	0.47125	0.553333333333333	0.447777777777778	0.5225	0.444444444444444	0.54	0.47	0.512222222222222	0.495	0.495	0.51	0.52	0.487142857142857	0.505	0.49	0.485	0.441	0.525555555555556	0.435	0.508	0.51	0.473333333333333	0.506	0.54	0.435	0.46	0.482222222222222	0.4975	0.62	0.501428571428571	0.48	0.456666666666667	0.496666666666667	0.486666666666667	0.5125	0.405	0.465	0.495	0.423333333333333	0.455	0.424	0.46	0.488571428571429	0.483333333333333	0.463333333333333	0.494285714285714
