"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.263333333333333	0.225555555555556	0.23	0.26	0.173333333333333	0.25	0.315	0.246	0.282222222222222	0.22	0.206666666666667	0.22	0.28	0.31	0.219	0.251666666666667	0.176666666666667	0.221428571428571	0.21	0.316666666666667	0.26	0.29	0.255	0.22	0.2425	0.213	0.294	0.303333333333333	0.24	0.28	0.27375	0.31	0.22	0.27	0.25	0.24	0.255	0.293333333333333	0.215	0.232857142857143	0.253333333333333	0.26	0.276666666666667	0.216	0.275	0.216666666666667	0.252	0.27	0.233333333333333	0.23	0.26	0.22	0.223333333333333	0.3	0.25625	0.2	0.236666666666667	0.19125	0.237777777777778	0.24	0.29	0.225555555555556	0.231666666666667	0.208333333333333	0.29375	0.325	0.31	0.235	0.27375	0.31125	0.313333333333333	0.217142857142857	0.245	0.332222222222222	0.243333333333333	0.246666666666667	0.232857142857143	0.316666666666667	0.253333333333333	0.205
"ERR1624542"	0.273333333333333	0.384444444444444	0.41	0.42	0.386666666666667	0.4	0.435	0.328	0.35	0.39	0.323333333333333	0.26	0.39	0.44	0.364	0.365	0.303333333333333	0.352857142857143	0.32	0.358333333333333	0.3	0.356666666666667	0.36875	0.35	0.3425	0.331	0.351	0.381111111111111	0.406666666666667	0.335	0.35	0.43	0.328888888888889	0.32	0.4175	0.391	0.3175	0.37	0.313	0.345714285714286	0.386666666666667	0.356666666666667	0.373333333333333	0.34	0.365	0.4	0.376	0.34	0.36	0.354	0.415555555555556	0.357777777777778	0.335	0.36	0.3425	0.403333333333333	0.356666666666667	0.31375	0.39	0.43	0.406666666666667	0.325555555555556	0.321666666666667	0.383333333333333	0.36375	0.355	0.405	0.295	0.375	0.37875	0.356666666666667	0.345714285714286	0.405	0.393333333333333	0.313333333333333	0.381666666666667	0.318571428571429	0.433333333333333	0.38	0.365
"ERR1624545"	0.6	0.627777777777778	0.604	0.62	0.643333333333333	0.6	0.65	0.558	0.535555555555556	0.62	0.53	0.48	0.55	0.64	0.589	0.661666666666667	0.533333333333333	0.614285714285714	0.6	0.611666666666667	0.55	0.643333333333333	0.54375	0.58	0.58	0.522	0.499	0.575555555555556	0.613333333333333	0.54	0.57375	0.68	0.603333333333333	0.51	0.6475	0.622	0.57	0.626666666666667	0.57	0.57	0.6	0.553333333333333	0.546666666666667	0.584	0.5	0.591666666666667	0.572	0.54	0.583333333333333	0.559	0.603333333333333	0.597777777777778	0.561666666666667	0.61	0.565	0.62	0.646666666666667	0.5325	0.571111111111111	0.625	0.586666666666667	0.571111111111111	0.525	0.583333333333333	0.58375	0.475	0.49	0.5175	0.59875	0.5675	0.603333333333333	0.574285714285714	0.595	0.622222222222222	0.566666666666667	0.633333333333333	0.551428571428571	0.623333333333333	0.626666666666667	0.535
"ERR1624547"	0.316666666666667	0.382222222222222	0.468	0.38	0.353333333333333	0.32	0.395	0.362	0.36	0.43	0.323333333333333	0.26	0.33	0.3	0.345	0.345	0.296666666666667	0.385714285714286	0.31	0.328333333333333	0.39	0.403333333333333	0.39625	0.34	0.415	0.375	0.361	0.387777777777778	0.373333333333333	0.4	0.38	0.44	0.316666666666667	0.3	0.365	0.352	0.3975	0.35	0.357	0.39	0.33	0.413333333333333	0.403333333333333	0.356	0.316666666666667	0.413333333333333	0.308	0.4	0.353333333333333	0.361	0.411111111111111	0.358888888888889	0.293333333333333	0.33	0.3925	0.36	0.326666666666667	0.33875	0.374444444444444	0.33	0.326666666666667	0.324444444444444	0.368333333333333	0.361666666666667	0.35125	0.3375	0.365	0.305	0.33875	0.345	0.343333333333333	0.385714285714286	0.445	0.431111111111111	0.333333333333333	0.403333333333333	0.395714285714286	0.39	0.421666666666667	0.415
"ERR1624549"	0.246666666666667	0.245555555555556	0.218	0.26	0.26	0.25	0.325	0.222	0.292222222222222	0.24	0.246666666666667	0.27	0.22	0.4	0.268	0.36	0.23	0.244285714285714	0.35	0.346666666666667	0.26	0.27	0.22875	0.17	0.285	0.219	0.31	0.32	0.25	0.265	0.28125	0.22	0.284444444444444	0.39	0.2725	0.217	0.21	0.313333333333333	0.237	0.232857142857143	0.26	0.236666666666667	0.28	0.302	0.296666666666667	0.275	0.238	0.3	0.273333333333333	0.244	0.267777777777778	0.237777777777778	0.28	0.296666666666667	0.28125	0.253333333333333	0.316666666666667	0.2	0.231111111111111	0.245	0.293333333333333	0.252222222222222	0.241666666666667	0.2	0.29125	0.3425	0.275	0.245	0.285	0.3325	0.336666666666667	0.227142857142857	0.265	0.303333333333333	0.2	0.213333333333333	0.24	0.346666666666667	0.245	0.265
"ERR1624550"	0.34	0.405555555555556	0.45	0.46	0.333333333333333	0.44	0.525	0.434	0.434444444444444	0.43	0.35	0.45	0.39	0.42	0.393	0.41	0.433333333333333	0.414285714285714	0.3	0.46	0.47	0.36	0.3575	0.4	0.43	0.383	0.458	0.461111111111111	0.443333333333333	0.5	0.41375	0.4	0.396666666666667	0.51	0.375	0.381	0.4525	0.47	0.37	0.394285714285714	0.37	0.466666666666667	0.426666666666667	0.368	0.443333333333333	0.38	0.39	0.53	0.443333333333333	0.371	0.417777777777778	0.403333333333333	0.395	0.413333333333333	0.485	0.403333333333333	0.423333333333333	0.40375	0.413333333333333	0.395	0.45	0.344444444444444	0.445	0.385	0.45625	0.4275	0.425	0.37	0.435	0.43875	0.426666666666667	0.435714285714286	0.415	0.493333333333333	0.453333333333333	0.41	0.375714285714286	0.503333333333333	0.365	0.41
"ERR1624552"	0.536666666666667	0.661111111111111	0.74	0.61	0.643333333333333	0.59	0.675	0.62	0.576666666666667	0.6	0.606666666666667	0.515	0.52	0.64	0.611	0.643333333333333	0.596666666666667	0.644285714285714	0.49	0.53	0.58	0.643333333333333	0.61125	0.6	0.635	0.573	0.567	0.627777777777778	0.603333333333333	0.485	0.61625	0.67	0.604444444444444	0.49	0.675	0.578	0.585	0.556666666666667	0.609	0.627142857142857	0.596666666666667	0.723333333333333	0.616666666666667	0.61	0.556666666666667	0.628333333333333	0.586	0.55	0.593333333333333	0.629	0.647777777777778	0.624444444444444	0.578333333333333	0.58	0.58375	0.656666666666667	0.66	0.56875	0.657777777777778	0.66	0.55	0.564444444444444	0.545	0.608333333333333	0.5575	0.5575	0.55	0.535	0.54625	0.52	0.546666666666667	0.631428571428571	0.64	0.632222222222222	0.55	0.65	0.615714285714286	0.643333333333333	0.64	0.625
"ERR1624553"	0.196666666666667	0.237777777777778	0.254	0.27	0.166666666666667	0.19	0.245	0.238	0.222222222222222	0.27	0.193333333333333	0.26	0.22	0.33	0.197	0.215	0.186666666666667	0.195714285714286	0.2	0.275	0.23	0.226666666666667	0.1975	0.26	0.22	0.195	0.313	0.284444444444444	0.206666666666667	0.25	0.22625	0.17	0.2	0.34	0.2225	0.205	0.2175	0.316666666666667	0.207	0.191428571428571	0.186666666666667	0.25	0.226666666666667	0.172	0.283333333333333	0.201666666666667	0.206	0.27	0.2	0.215	0.228888888888889	0.212222222222222	0.216666666666667	0.28	0.25125	0.196666666666667	0.18	0.2025	0.211111111111111	0.21	0.28	0.187777777777778	0.235	0.188333333333333	0.2725	0.3075	0.265	0.2125	0.2775	0.27125	0.303333333333333	0.218571428571429	0.195	0.276666666666667	0.173333333333333	0.22	0.267142857142857	0.316666666666667	0.233333333333333	0.185
"ERR1624554"	0.3	0.284444444444444	0.316	0.34	0.336666666666667	0.36	0.36	0.296	0.341111111111111	0.27	0.266666666666667	0.295	0.35	0.35	0.342	0.373333333333333	0.256666666666667	0.294285714285714	0.46	0.375	0.26	0.316666666666667	0.31375	0.4	0.32	0.293	0.316	0.323333333333333	0.38	0.315	0.3275	0.34	0.315555555555556	0.38	0.39	0.38	0.31	0.393333333333333	0.31	0.317142857142857	0.34	0.363333333333333	0.313333333333333	0.29	0.29	0.291666666666667	0.336	0.32	0.306666666666667	0.303	0.328888888888889	0.323333333333333	0.313333333333333	0.366666666666667	0.3275	0.34	0.333333333333333	0.27625	0.318888888888889	0.335	0.363333333333333	0.338888888888889	0.318333333333333	0.331666666666667	0.30375	0.29	0.34	0.32	0.3375	0.33125	0.366666666666667	0.294285714285714	0.355	0.294444444444444	0.313333333333333	0.321666666666667	0.33	0.38	0.328333333333333	0.345
"ERR1624555"	0.256666666666667	0.228888888888889	0.262	0.2	0.31	0.36	0.32	0.252	0.301111111111111	0.29	0.23	0.275	0.25	0.37	0.28	0.271666666666667	0.25	0.212857142857143	0.29	0.298333333333333	0.25	0.256666666666667	0.26125	0.35	0.31	0.246	0.285	0.306666666666667	0.253333333333333	0.225	0.245	0.29	0.238888888888889	0.3	0.3075	0.244	0.2475	0.353333333333333	0.231	0.274285714285714	0.29	0.256666666666667	0.25	0.22	0.243333333333333	0.27	0.254	0.26	0.286666666666667	0.249	0.294444444444444	0.263333333333333	0.238333333333333	0.333333333333333	0.27	0.243333333333333	0.283333333333333	0.2125	0.245555555555556	0.25	0.343333333333333	0.207777777777778	0.251666666666667	0.281666666666667	0.28875	0.3025	0.25	0.2225	0.26	0.30125	0.34	0.222857142857143	0.245	0.291111111111111	0.226666666666667	0.286666666666667	0.23	0.286666666666667	0.295	0.265
