"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.643333333333333	0.662222222222222	0.708	0.73	0.64	0.66	0.68	0.64	0.664444444444444	0.65	0.616666666666667	0.73	0.57	0.71	0.657	0.691666666666667	0.716666666666667	0.661428571428571	0.66	0.706666666666667	0.64	0.596666666666667	0.575	0.63	0.665	0.664	0.69	0.622222222222222	0.67	0.66	0.62375	0.57	0.627777777777778	0.76	0.6425	0.597	0.645	0.75	0.674	0.684285714285714	0.633333333333333	0.69	0.63	0.648	0.708333333333333	0.658333333333333	0.616	0.73	0.646666666666667	0.66	0.645555555555556	0.655555555555556	0.676666666666667	0.666666666666667	0.70125	0.68	0.636666666666667	0.66875	0.668888888888889	0.69	0.686666666666667	0.633333333333333	0.695	0.636666666666667	0.71625	0.69	0.6	0.69	0.675	0.66375	0.7	0.644285714285714	0.66	0.722222222222222	0.643333333333333	0.648333333333333	0.582857142857143	0.726666666666667	0.61	0.685
"SRR5865066"	0.636666666666667	0.643333333333333	0.624	0.7	0.603333333333333	0.67	0.65	0.622	0.611111111111111	0.66	0.633333333333333	0.695	0.6	0.63	0.653	0.646666666666667	0.686666666666667	0.645714285714286	0.67	0.66	0.62	0.59	0.55875	0.58	0.685	0.619	0.695	0.625555555555556	0.606666666666667	0.645	0.61625	0.61	0.607777777777778	0.69	0.63	0.606	0.635	0.716666666666667	0.64	0.655714285714286	0.573333333333333	0.64	0.61	0.598	0.678333333333333	0.635	0.592	0.76	0.673333333333333	0.609	0.63	0.64	0.65	0.646666666666667	0.6575	0.65	0.636666666666667	0.6625	0.618888888888889	0.64	0.663333333333333	0.612222222222222	0.68	0.621666666666667	0.68	0.6675	0.605	0.66	0.67875	0.615	0.676666666666667	0.618571428571429	0.595	0.645555555555556	0.65	0.608333333333333	0.612857142857143	0.723333333333333	0.588333333333333	0.685
"SRR5865067"	0.276666666666667	0.342222222222222	0.334	0.41	0.313333333333333	0.31	0.37	0.324	0.321111111111111	0.39	0.266666666666667	0.36	0.4	0.44	0.303	0.323333333333333	0.413333333333333	0.317142857142857	0.31	0.42	0.39	0.353333333333333	0.285	0.2	0.3475	0.28	0.416	0.351111111111111	0.316666666666667	0.235	0.32875	0.23	0.34	0.45	0.2675	0.304	0.3625	0.413333333333333	0.321	0.348571428571429	0.25	0.33	0.383333333333333	0.292	0.405	0.315	0.332	0.38	0.363333333333333	0.322	0.37	0.348888888888889	0.331666666666667	0.36	0.3825	0.35	0.306666666666667	0.335	0.365555555555556	0.39	0.37	0.315555555555556	0.368333333333333	0.301666666666667	0.4225	0.345	0.36	0.355	0.35375	0.34875	0.43	0.317142857142857	0.325	0.372222222222222	0.333333333333333	0.333333333333333	0.302857142857143	0.406666666666667	0.325	0.405
"SRR5865068"	0.64	0.646666666666667	0.656	0.71	0.68	0.66	0.69	0.634	0.647777777777778	0.71	0.64	0.715	0.55	0.71	0.69	0.655	0.65	0.628571428571429	0.74	0.63	0.58	0.573333333333333	0.61	0.61	0.675	0.636	0.709	0.662222222222222	0.693333333333333	0.685	0.65	0.58	0.648888888888889	0.68	0.66	0.628	0.6575	0.65	0.667	0.652857142857143	0.646666666666667	0.72	0.596666666666667	0.692	0.66	0.728333333333333	0.576	0.8	0.753333333333333	0.637	0.671111111111111	0.686666666666667	0.656666666666667	0.653333333333333	0.65875	0.66	0.663333333333333	0.685	0.63	0.685	0.646666666666667	0.673333333333333	0.685	0.673333333333333	0.66	0.66	0.575	0.7	0.685	0.63625	0.626666666666667	0.655714285714286	0.66	0.635555555555556	0.643333333333333	0.663333333333333	0.687142857142857	0.706666666666667	0.665	0.66
"SRR5865069"	0.42	0.458888888888889	0.508	0.58	0.44	0.52	0.5	0.404	0.444444444444444	0.45	0.42	0.455	0.48	0.54	0.479	0.453333333333333	0.523333333333333	0.465714285714286	0.4	0.493333333333333	0.49	0.493333333333333	0.40625	0.48	0.5075	0.468	0.472	0.501111111111111	0.46	0.415	0.39875	0.44	0.498888888888889	0.53	0.515	0.458	0.46	0.503333333333333	0.486	0.505714285714286	0.42	0.47	0.46	0.434	0.48	0.471666666666667	0.488	0.56	0.543333333333333	0.444	0.434444444444444	0.467777777777778	0.408333333333333	0.53	0.50875	0.48	0.47	0.46875	0.485555555555556	0.555	0.45	0.445555555555556	0.486666666666667	0.493333333333333	0.47625	0.405	0.525	0.455	0.50625	0.48	0.493333333333333	0.464285714285714	0.455	0.505555555555556	0.506666666666667	0.455	0.404285714285714	0.523333333333333	0.465	0.49
"SRR5865070"	0.413333333333333	0.473333333333333	0.47	0.45	0.44	0.49	0.525	0.424	0.433333333333333	0.5	0.42	0.46	0.46	0.52	0.404	0.495	0.48	0.438571428571429	0.5	0.505	0.41	0.413333333333333	0.4	0.46	0.5075	0.4	0.525	0.452222222222222	0.446666666666667	0.43	0.44875	0.4	0.406666666666667	0.53	0.3925	0.404	0.45	0.466666666666667	0.43	0.441428571428571	0.403333333333333	0.52	0.426666666666667	0.442	0.501666666666667	0.425	0.392	0.59	0.506666666666667	0.439	0.427777777777778	0.433333333333333	0.476666666666667	0.456666666666667	0.50875	0.453333333333333	0.433333333333333	0.41	0.468888888888889	0.46	0.47	0.444444444444444	0.471666666666667	0.443333333333333	0.50125	0.4725	0.415	0.43	0.47625	0.44625	0.506666666666667	0.42	0.44	0.49	0.433333333333333	0.44	0.422857142857143	0.56	0.405	0.475
"SRR5865071"	0.683333333333333	0.677777777777778	0.696	0.73	0.7	0.76	0.695	0.656	0.671111111111111	0.69	0.67	0.675	0.62	0.63	0.686	0.69	0.706666666666667	0.702857142857143	0.68	0.68	0.77	0.746666666666667	0.67125	0.66	0.6875	0.649	0.597	0.712222222222222	0.726666666666667	0.685	0.6775	0.72	0.737777777777778	0.69	0.7375	0.709	0.71	0.71	0.668	0.711428571428571	0.69	0.676666666666667	0.653333333333333	0.71	0.641666666666667	0.73	0.718	0.78	0.693333333333333	0.659	0.705555555555556	0.713333333333333	0.628333333333333	0.716666666666667	0.705	0.72	0.663333333333333	0.70625	0.658888888888889	0.7	0.693333333333333	0.674444444444444	0.723333333333333	0.725	0.67875	0.64	0.66	0.635	0.6875	0.64375	0.64	0.702857142857143	0.7	0.712222222222222	0.693333333333333	0.718333333333333	0.67	0.696666666666667	0.741666666666667	0.675
"SRR5865072"	0.503333333333333	0.526666666666667	0.49	0.53	0.463333333333333	0.55	0.49	0.454	0.49	0.58	0.48	0.555	0.47	0.52	0.532	0.538333333333333	0.56	0.51	0.46	0.52	0.48	0.46	0.4775	0.52	0.5675	0.477	0.55	0.465555555555556	0.503333333333333	0.565	0.4725	0.49	0.482222222222222	0.55	0.555	0.458	0.5275	0.573333333333333	0.502	0.544285714285714	0.49	0.54	0.513333333333333	0.488	0.516666666666667	0.513333333333333	0.502	0.61	0.536666666666667	0.481	0.513333333333333	0.486666666666667	0.523333333333333	0.576666666666667	0.49875	0.513333333333333	0.5	0.5325	0.501111111111111	0.525	0.503333333333333	0.5	0.536666666666667	0.506666666666667	0.52375	0.5025	0.505	0.4975	0.54125	0.45375	0.54	0.49	0.51	0.495555555555556	0.513333333333333	0.471666666666667	0.488571428571429	0.566666666666667	0.466666666666667	0.53
"SRR5865073"	0.553333333333333	0.596666666666667	0.594	0.71	0.576666666666667	0.66	0.66	0.534	0.603333333333333	0.66	0.57	0.635	0.54	0.69	0.562	0.643333333333333	0.676666666666667	0.605714285714286	0.6	0.63	0.61	0.603333333333333	0.5375	0.52	0.5725	0.552	0.588	0.585555555555556	0.596666666666667	0.57	0.55625	0.49	0.581111111111111	0.7	0.61	0.557	0.6	0.656666666666667	0.538	0.62	0.496666666666667	0.586666666666667	0.58	0.58	0.608333333333333	0.57	0.574	0.71	0.626666666666667	0.574	0.59	0.622222222222222	0.591666666666667	0.54	0.5875	0.586666666666667	0.566666666666667	0.61375	0.626666666666667	0.595	0.62	0.565555555555556	0.61	0.568333333333333	0.65375	0.6025	0.61	0.625	0.65	0.57	0.643333333333333	0.582857142857143	0.55	0.638888888888889	0.623333333333333	0.58	0.562857142857143	0.65	0.593333333333333	0.635
"SRR5865074"	0.56	0.585555555555556	0.586	0.63	0.576666666666667	0.64	0.6	0.574	0.601111111111111	0.59	0.57	0.63	0.54	0.71	0.608	0.613333333333333	0.636666666666667	0.62	0.63	0.605	0.52	0.566666666666667	0.57625	0.56	0.645	0.579	0.659	0.58	0.603333333333333	0.635	0.59875	0.58	0.57	0.64	0.5925	0.545	0.6225	0.636666666666667	0.616	0.625714285714286	0.58	0.66	0.573333333333333	0.604	0.623333333333333	0.623333333333333	0.572	0.69	0.67	0.604	0.603333333333333	0.591111111111111	0.595	0.653333333333333	0.61625	0.616666666666667	0.626666666666667	0.57625	0.587777777777778	0.57	0.61	0.566666666666667	0.611666666666667	0.63	0.65375	0.655	0.6	0.65	0.63	0.63	0.643333333333333	0.59	0.545	0.637777777777778	0.603333333333333	0.608333333333333	0.561428571428571	0.683333333333333	0.576666666666667	0.685
