"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.65	0.727777777777778	0.722	0.74	0.686666666666667	0.74	0.65	0.664	0.618888888888889	0.65	0.66	0.735	0.65	0.64	0.754	0.745	0.723333333333333	0.717142857142857	0.7	0.68	0.72	0.666666666666667	0.675	0.65	0.7225	0.691	0.679	0.59	0.723333333333333	0.69	0.6725	0.62	0.681111111111111	0.72	0.69	0.656	0.6975	0.696666666666667	0.702	0.712857142857143	0.64	0.736666666666667	0.653333333333333	0.636	0.705	0.728333333333333	0.712	0.82	0.723333333333333	0.682	0.728888888888889	0.693333333333333	0.691666666666667	0.7	0.66125	0.686666666666667	0.736666666666667	0.7375	0.724444444444444	0.735	0.696666666666667	0.668888888888889	0.72	0.716666666666667	0.6725	0.6775	0.655	0.7475	0.6875	0.59	0.71	0.694285714285714	0.74	0.702222222222222	0.723333333333333	0.645	0.611428571428571	0.763333333333333	0.711666666666667	0.75
"SRR11292126"	0.543333333333333	0.598888888888889	0.558	0.59	0.61	0.64	0.6	0.474	0.608888888888889	0.61	0.563333333333333	0.595	0.6	0.65	0.553	0.551666666666667	0.593333333333333	0.622857142857143	0.44	0.535	0.62	0.58	0.5525	0.58	0.565	0.525	0.594	0.59	0.6	0.535	0.55375	0.46	0.617777777777778	0.59	0.5575	0.569	0.6325	0.506666666666667	0.556	0.675714285714286	0.56	0.616666666666667	0.593333333333333	0.634	0.508333333333333	0.61	0.594	0.66	0.533333333333333	0.594	0.592222222222222	0.594444444444444	0.568333333333333	0.51	0.565	0.636666666666667	0.58	0.585	0.64	0.56	0.62	0.604444444444444	0.61	0.57	0.61125	0.5575	0.595	0.64	0.5475	0.5675	0.513333333333333	0.548571428571429	0.645	0.546666666666667	0.576666666666667	0.566666666666667	0.571428571428571	0.623333333333333	0.57	0.57
"SRR11292127"	0.576666666666667	0.55	0.492	0.6	0.526666666666667	0.65	0.53	0.502	0.494444444444444	0.53	0.483333333333333	0.595	0.55	0.67	0.614	0.625	0.55	0.555714285714286	0.59	0.51	0.47	0.566666666666667	0.46625	0.63	0.53	0.557	0.583	0.512222222222222	0.573333333333333	0.54	0.48375	0.51	0.567777777777778	0.56	0.565	0.482	0.5	0.503333333333333	0.526	0.565714285714286	0.563333333333333	0.553333333333333	0.526666666666667	0.544	0.523333333333333	0.598333333333333	0.61	0.61	0.626666666666667	0.537	0.615555555555556	0.57	0.59	0.626666666666667	0.54875	0.54	0.6	0.5575	0.588888888888889	0.69	0.566666666666667	0.541111111111111	0.568333333333333	0.583333333333333	0.5575	0.545	0.54	0.6025	0.5525	0.52875	0.576666666666667	0.511428571428571	0.565	0.514444444444444	0.516666666666667	0.506666666666667	0.51	0.61	0.531666666666667	0.575
"SRR11292131"	0.756666666666667	0.774444444444444	0.81	0.83	0.803333333333333	0.84	0.76	0.796	0.721111111111111	0.78	0.75	0.775	0.73	0.77	0.808	0.813333333333333	0.8	0.778571428571429	0.76	0.725	0.76	0.766666666666667	0.78625	0.68	0.7825	0.772	0.726	0.715555555555556	0.786666666666667	0.765	0.76	0.75	0.814444444444444	0.81	0.785	0.772	0.815	0.743333333333333	0.789	0.811428571428571	0.766666666666667	0.796666666666667	0.676666666666667	0.794	0.736666666666667	0.786666666666667	0.746	0.85	0.81	0.791	0.795555555555556	0.793333333333333	0.805	0.726666666666667	0.745	0.78	0.763333333333333	0.8225	0.803333333333333	0.815	0.72	0.796666666666667	0.785	0.755	0.77625	0.745	0.695	0.76	0.72625	0.6575	0.75	0.782857142857143	0.815	0.747777777777778	0.793333333333333	0.765	0.781428571428571	0.78	0.815	0.825
"SRR11292132"	0.126666666666667	0.155555555555556	0.178	0.22	0.156666666666667	0.24	0.225	0.162	0.25	0.16	0.17	0.21	0.27	0.24	0.186	0.223333333333333	0.23	0.215714285714286	0.2	0.251666666666667	0.25	0.203333333333333	0.21	0.12	0.19	0.129	0.228	0.213333333333333	0.19	0.11	0.15	0.17	0.191111111111111	0.32	0.2	0.168	0.1725	0.206666666666667	0.163	0.16	0.133333333333333	0.166666666666667	0.193333333333333	0.172	0.203333333333333	0.198333333333333	0.264	0.15	0.193333333333333	0.158	0.19	0.177777777777778	0.183333333333333	0.256666666666667	0.195	0.21	0.16	0.16875	0.187777777777778	0.18	0.27	0.162222222222222	0.166666666666667	0.171666666666667	0.2525	0.155	0.165	0.16	0.22875	0.26125	0.273333333333333	0.172857142857143	0.155	0.233333333333333	0.163333333333333	0.16	0.151428571428571	0.223333333333333	0.19	0.23
"SRR11292136"	0.3	0.334444444444444	0.342	0.4	0.316666666666667	0.36	0.36	0.33	0.354444444444444	0.35	0.22	0.38	0.36	0.46	0.365	0.373333333333333	0.406666666666667	0.324285714285714	0.26	0.398333333333333	0.32	0.34	0.29625	0.27	0.33	0.272	0.434	0.337777777777778	0.323333333333333	0.275	0.32375	0.21	0.344444444444444	0.49	0.3	0.294	0.3525	0.393333333333333	0.32	0.358571428571429	0.286666666666667	0.35	0.38	0.298	0.413333333333333	0.316666666666667	0.382	0.35	0.343333333333333	0.321	0.395555555555556	0.358888888888889	0.326666666666667	0.34	0.3425	0.373333333333333	0.283333333333333	0.34375	0.354444444444444	0.38	0.416666666666667	0.277777777777778	0.348333333333333	0.29	0.40375	0.395	0.34	0.355	0.35375	0.3775	0.48	0.335714285714286	0.295	0.367777777777778	0.34	0.343333333333333	0.31	0.426666666666667	0.301666666666667	0.41
"SRR11292137"	0.6	0.64	0.718	0.68	0.66	0.71	0.66	0.638	0.612222222222222	0.67	0.636666666666667	0.615	0.63	0.63	0.664	0.636666666666667	0.653333333333333	0.64	0.6	0.531666666666667	0.6	0.66	0.685	0.55	0.6975	0.65	0.627	0.586666666666667	0.643333333333333	0.61	0.65875	0.71	0.652222222222222	0.6	0.6875	0.642	0.625	0.596666666666667	0.625	0.68	0.643333333333333	0.743333333333333	0.646666666666667	0.654	0.595	0.698333333333333	0.64	0.71	0.723333333333333	0.694	0.658888888888889	0.641111111111111	0.693333333333333	0.566666666666667	0.6	0.643333333333333	0.693333333333333	0.625	0.672222222222222	0.68	0.596666666666667	0.657777777777778	0.613333333333333	0.65	0.595	0.635	0.6	0.665	0.605	0.56625	0.6	0.595714285714286	0.72	0.618888888888889	0.596666666666667	0.655	0.707142857142857	0.683333333333333	0.663333333333333	0.67
"SRR11292138"	0.14	0.183333333333333	0.184	0.21	0.17	0.24	0.255	0.166	0.247777777777778	0.18	0.186666666666667	0.23	0.29	0.24	0.201	0.221666666666667	0.24	0.232857142857143	0.22	0.266666666666667	0.24	0.21	0.22375	0.13	0.2	0.145	0.225	0.228888888888889	0.196666666666667	0.115	0.16625	0.19	0.198888888888889	0.33	0.225	0.189	0.1875	0.226666666666667	0.17	0.17	0.143333333333333	0.166666666666667	0.213333333333333	0.2	0.205	0.221666666666667	0.276	0.2	0.213333333333333	0.168	0.203333333333333	0.194444444444444	0.191666666666667	0.266666666666667	0.20375	0.24	0.15	0.1825	0.221111111111111	0.2	0.27	0.168888888888889	0.175	0.19	0.25125	0.18	0.155	0.1625	0.25125	0.2725	0.283333333333333	0.182857142857143	0.175	0.253333333333333	0.173333333333333	0.186666666666667	0.177142857142857	0.28	0.195	0.255
"SRR11292140"	0.343333333333333	0.313333333333333	0.35	0.38	0.34	0.36	0.365	0.358	0.376666666666667	0.43	0.333333333333333	0.355	0.4	0.49	0.385	0.378333333333333	0.343333333333333	0.33	0.32	0.371666666666667	0.32	0.333333333333333	0.31375	0.37	0.3575	0.33	0.467	0.393333333333333	0.326666666666667	0.36	0.36	0.39	0.411111111111111	0.47	0.3675	0.327	0.37	0.396666666666667	0.366	0.355714285714286	0.376666666666667	0.38	0.366666666666667	0.37	0.313333333333333	0.435	0.294	0.44	0.373333333333333	0.332	0.41	0.341111111111111	0.325	0.353333333333333	0.39625	0.313333333333333	0.343333333333333	0.38125	0.356666666666667	0.375	0.373333333333333	0.354444444444444	0.396666666666667	0.313333333333333	0.3625	0.4125	0.335	0.365	0.3475	0.4	0.403333333333333	0.33	0.385	0.335555555555556	0.313333333333333	0.335	0.357142857142857	0.43	0.355	0.355
"SRR11292141"	0.47	0.536666666666667	0.554	0.65	0.523333333333333	0.59	0.58	0.452	0.505555555555556	0.67	0.53	0.495	0.48	0.61	0.524	0.575	0.586666666666667	0.547142857142857	0.5	0.533333333333333	0.57	0.506666666666667	0.485	0.47	0.5475	0.538	0.52	0.503333333333333	0.563333333333333	0.445	0.51125	0.45	0.504444444444444	0.63	0.495	0.453	0.5125	0.553333333333333	0.482	0.512857142857143	0.496666666666667	0.53	0.546666666666667	0.484	0.546666666666667	0.518333333333333	0.528	0.57	0.6	0.544	0.543333333333333	0.528888888888889	0.53	0.503333333333333	0.49375	0.556666666666667	0.493333333333333	0.545	0.584444444444444	0.56	0.553333333333333	0.511111111111111	0.538333333333333	0.475	0.5475	0.51	0.54	0.57	0.52625	0.46	0.54	0.537142857142857	0.485	0.581111111111111	0.54	0.475	0.501428571428571	0.57	0.52	0.605
