"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.6	0.574	0.5	0.67	0.625	0.57	0.55	0.65	0.483333333333333	0.64	0.465	0.5375	0.51	0.492	0.4675	0.4825	0.516666666666667	0.49	0.435	0.44	0.4825	0.446666666666667	0.48	0.48	0.475	0.516	0.502222222222222	0.475	0.525	0.575	0.565	0.4625	0.58	0.54	0.438	0.54	0.5	0.448571428571429	0.59	0.48	0.4875	0.48	0.468571428571429	0.53	0.465	0.5	0.4825	0.516	0.5375	0.48	0.51	0.505	0.56	0.47375	0.55	0.44	0.52	0.506666666666667	0.5525	0.4675	0.54	0.46625	0.495	0.476	0.53	0.515	0.52	0.552857142857143	0.536666666666667	0.56	0.488	0.596666666666667	0.456666666666667	0.555	0.535	0.546	0.57	0.483333333333333	0.523333333333333	0.455
"ERR1624542"	0.46	0.53	0.471666666666667	0.533333333333333	0.53	0.46	0.54	0.58	0.49	0.57	0.47	0.52125	0.51	0.45	0.445	0.4575	0.46	0.42	0.385	0.445	0.47	0.423333333333333	0.483333333333333	0.49	0.43	0.502	0.45	0.442	0.49	0.5	0.505	0.47	0.506666666666667	0.52	0.406	0.51	0.48	0.444285714285714	0.53	0.441428571428571	0.47	0.416666666666667	0.457142857142857	0.42	0.5	0.444	0.4475	0.488	0.51125	0.43	0.54	0.465	0.51	0.42375	0.545	0.458	0.463333333333333	0.493333333333333	0.495	0.495	0.49	0.4225	0.475	0.452	0.5	0.425	0.49	0.505714285714286	0.476666666666667	0.5075	0.452	0.56	0.436666666666667	0.515	0.585	0.508	0.585	0.461666666666667	0.493333333333333	0.44
"ERR1624545"	0.46	0.568	0.565	0.563333333333333	0.515	0.61	0.66	0.45	0.456666666666667	0.47	0.48	0.51625	0.57	0.478	0.5225	0.4775	0.48	0.505	0.5325	0.505	0.51	0.433333333333333	0.446666666666667	0.52	0.41	0.51	0.442222222222222	0.54	0.56	0.48	0.445	0.5125	0.506666666666667	0.56	0.468	0.505	0.45	0.492857142857143	0.59	0.554285714285714	0.5775	0.446666666666667	0.572857142857143	0.45	0.55	0.46	0.465	0.512	0.4575	0.48	0.49	0.46	0.44	0.55625	0.545	0.546	0.52	0.523333333333333	0.43	0.515	0.51	0.535	0.465	0.488	0.57	0.52	0.493333333333333	0.471428571428571	0.516666666666667	0.5125	0.468	0.506666666666667	0.486666666666667	0.468	0.535	0.485	0.57	0.526666666666667	0.51	0.513333333333333
"ERR1624547"	0.55	0.498	0.5	0.58	0.575	0.53	0.42	0.64	0.513333333333333	0.49	0.485	0.48875	0.5	0.496	0.455	0.44	0.473333333333333	0.445	0.4325	0.5	0.47	0.486666666666667	0.51	0.48	0.515	0.504	0.473333333333333	0.442	0.51	0.47	0.5	0.4475	0.513333333333333	0.53	0.452	0.46	0.48	0.494285714285714	0.57	0.445714285714286	0.4525	0.446666666666667	0.477142857142857	0.46	0.5	0.488	0.505	0.466	0.5225	0.51	0.52	0.535	0.59	0.4525	0.55	0.476	0.5	0.446666666666667	0.49375	0.5225	0.52	0.47375	0.525	0.494	0.505	0.455	0.536666666666667	0.552857142857143	0.533333333333333	0.525	0.468	0.513333333333333	0.42	0.522	0.51	0.529	0.56	0.476666666666667	0.506666666666667	0.455
"ERR1624549"	0.58	0.578	0.536666666666667	0.623333333333333	0.595	0.55	0.6	0.64	0.56	0.63	0.51	0.5625	0.55	0.506	0.5075	0.5225	0.533333333333333	0.535	0.4525	0.435	0.495	0.46	0.508333333333333	0.56	0.545	0.584	0.537777777777778	0.502	0.55	0.54	0.65	0.525	0.593333333333333	0.6	0.486	0.615	0.56	0.441428571428571	0.68	0.552857142857143	0.515	0.47	0.48	0.5	0.54	0.536	0.46	0.564	0.585	0.48	0.52	0.53	0.53	0.5075	0.595	0.5	0.493333333333333	0.56	0.5575	0.5475	0.54	0.485	0.565	0.492	0.55	0.515	0.526666666666667	0.562857142857143	0.52	0.5425	0.544	0.613333333333333	0.466666666666667	0.555	0.61	0.575	0.575	0.531666666666667	0.513333333333333	0.511666666666667
"ERR1624550"	0.58	0.588	0.558333333333333	0.623333333333333	0.62	0.66	0.49	0.48	0.566666666666667	0.54	0.52	0.52125	0.47	0.56	0.545	0.555	0.523333333333333	0.525	0.44	0.49	0.4975	0.5	0.565	0.47	0.54	0.55	0.523333333333333	0.496	0.565	0.54	0.53	0.49	0.606666666666667	0.56	0.49	0.58	0.47	0.514285714285714	0.6	0.514285714285714	0.5575	0.59	0.522857142857143	0.58	0.585	0.516	0.52	0.498	0.50375	0.54	0.49	0.59	0.6	0.535	0.575	0.518	0.623333333333333	0.55	0.53625	0.5475	0.58	0.54625	0.51	0.536	0.51	0.55	0.583333333333333	0.62	0.586666666666667	0.56125	0.53	0.506666666666667	0.52	0.534	0.59	0.532	0.565	0.553333333333333	0.516666666666667	0.496666666666667
"ERR1624552"	0.58	0.574	0.59	0.603333333333333	0.58	0.61	0.59	0.66	0.54	0.65	0.51	0.54125	0.46	0.518	0.5225	0.51	0.56	0.52	0.4275	0.505	0.51	0.503333333333333	0.535	0.54	0.53	0.558	0.527777777777778	0.502	0.555	0.485	0.565	0.5425	0.576666666666667	0.63	0.512	0.585	0.48	0.485714285714286	0.6	0.487142857142857	0.475	0.49	0.525714285714286	0.53	0.49	0.54	0.5075	0.538	0.5675	0.57	0.65	0.575	0.52	0.54125	0.545	0.476	0.49	0.513333333333333	0.58125	0.51	0.52	0.505	0.595	0.526	0.565	0.545	0.536666666666667	0.531428571428571	0.503333333333333	0.52875	0.544	0.578333333333333	0.526666666666667	0.595	0.625	0.581	0.555	0.578333333333333	0.53	0.523333333333333
"ERR1624553"	0.59	0.576	0.568333333333333	0.7	0.675	0.56	0.57	0.74	0.59	0.59	0.56	0.525	0.53	0.554	0.445	0.495	0.563333333333333	0.52	0.4475	0.5	0.5325	0.52	0.568333333333333	0.53	0.555	0.544	0.503333333333333	0.436	0.545	0.555	0.635	0.555	0.563333333333333	0.6	0.554	0.61	0.61	0.504285714285714	0.57	0.494285714285714	0.4975	0.526666666666667	0.522857142857143	0.5	0.565	0.53	0.55	0.522	0.54	0.51	0.55	0.59	0.59	0.49375	0.625	0.546	0.533333333333333	0.486666666666667	0.56375	0.565	0.59	0.51875	0.55	0.522	0.515	0.535	0.533333333333333	0.581428571428571	0.546666666666667	0.53375	0.54	0.58	0.523333333333333	0.596	0.555	0.597	0.615	0.545	0.583333333333333	0.561666666666667
"ERR1624554"	0.47	0.514	0.501666666666667	0.6	0.515	0.56	0.55	0.57	0.526666666666667	0.55	0.5	0.52	0.51	0.536	0.4425	0.415	0.49	0.46	0.475	0.435	0.46	0.45	0.45	0.48	0.535	0.516	0.497777777777778	0.474	0.47	0.565	0.525	0.4625	0.536666666666667	0.53	0.398	0.5	0.51	0.454285714285714	0.52	0.494285714285714	0.51	0.423333333333333	0.482857142857143	0.52	0.5	0.474	0.4875	0.516	0.54625	0.48	0.55	0.515	0.46	0.465	0.535	0.456	0.47	0.453333333333333	0.50375	0.53	0.54	0.48625	0.45	0.498	0.515	0.56	0.493333333333333	0.517142857142857	0.46	0.4975	0.484	0.615	0.463333333333333	0.525	0.565	0.56	0.53	0.49	0.55	0.485
"ERR1624555"	0.41	0.51	0.423333333333333	0.533333333333333	0.435	0.5	0.45	0.63	0.426666666666667	0.48	0.46	0.49875	0.47	0.434	0.4125	0.36	0.46	0.38	0.415	0.41	0.45	0.386666666666667	0.416666666666667	0.42	0.375	0.428	0.436666666666667	0.407	0.38	0.49	0.515	0.425	0.51	0.5	0.382	0.485	0.51	0.39	0.58	0.374285714285714	0.3875	0.343333333333333	0.411428571428571	0.4	0.475	0.41	0.46	0.446	0.4925	0.41	0.5	0.525	0.57	0.385	0.505	0.4	0.443333333333333	0.51	0.4625	0.4725	0.49	0.41875	0.465	0.438	0.465	0.425	0.44	0.415714285714286	0.466666666666667	0.47875	0.452	0.535	0.37	0.502	0.46	0.485	0.47	0.416666666666667	0.456666666666667	0.413333333333333
