"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.85	0.83	0.818333333333333	0.913333333333333	0.87	0.82	0.79	0.79	0.761666666666667	0.77	0.75	0.7325	0.77	0.794	0.7275	0.805	0.806666666666667	0.85	0.72	0.72	0.7475	0.676666666666667	0.766666666666667	0.74	0.77	0.754	0.755555555555556	0.754	0.78	0.8	0.87	0.77	0.823333333333333	0.73	0.808	0.855	0.71	0.751428571428571	0.79	0.834285714285714	0.79	0.856666666666667	0.75	0.74	0.75	0.732	0.7275	0.74	0.73375	0.89	0.76	0.755	0.79	0.8	0.795	0.778	0.74	0.703333333333333	0.88	0.8075	0.77	0.83875	0.75	0.792	0.765	0.795	0.82	0.828571428571429	0.78	0.7675	0.808	0.825	0.786666666666667	0.755	0.835	0.812	0.8	0.801666666666667	0.776666666666667	0.786666666666667
"SRR5865066"	0.74	0.706	0.696666666666667	0.866666666666667	0.76	0.68	0.71	0.66	0.675	0.65	0.66	0.64	0.69	0.712	0.575	0.6675	0.7	0.74	0.6325	0.62	0.6275	0.603333333333333	0.683333333333333	0.65	0.645	0.648	0.672222222222222	0.622	0.625	0.685	0.745	0.67	0.713333333333333	0.63	0.708	0.78	0.7	0.662857142857143	0.6	0.75	0.68	0.72	0.617142857142857	0.59	0.665	0.626	0.625	0.65	0.6625	0.75	0.69	0.665	0.66	0.715	0.645	0.672	0.646666666666667	0.656666666666667	0.76125	0.6925	0.68	0.70875	0.695	0.67	0.67	0.675	0.66	0.734285714285714	0.64	0.695	0.686	0.715	0.65	0.646	0.715	0.69	0.76	0.713333333333333	0.673333333333333	0.678333333333333
"SRR5865067"	0.62	0.592	0.563333333333333	0.673333333333333	0.73	0.65	0.54	0.65	0.675	0.54	0.615	0.565	0.58	0.628	0.5475	0.5575	0.53	0.525	0.5925	0.595	0.61	0.516666666666667	0.63	0.6	0.54	0.526	0.523333333333333	0.573	0.565	0.61	0.55	0.585	0.606666666666667	0.54	0.59	0.605	0.6	0.61	0.56	0.637142857142857	0.64	0.586666666666667	0.601428571428571	0.6	0.605	0.572	0.5475	0.588	0.54875	0.66	0.55	0.58	0.52	0.63375	0.665	0.626	0.623333333333333	0.543333333333333	0.62125	0.645	0.64	0.62625	0.53	0.562	0.585	0.59	0.646666666666667	0.678571428571429	0.67	0.5725	0.568	0.583333333333333	0.59	0.545	0.58	0.572	0.655	0.62	0.54	0.62
"SRR5865068"	0.75	0.708	0.736666666666667	0.863333333333333	0.79	0.67	0.71	0.75	0.666666666666667	0.7	0.65	0.62875	0.7	0.692	0.59	0.7175	0.736666666666667	0.705	0.605	0.675	0.615	0.58	0.676666666666667	0.59	0.685	0.644	0.662222222222222	0.607	0.675	0.73	0.8	0.7025	0.736666666666667	0.65	0.7	0.795	0.64	0.667142857142857	0.69	0.744285714285714	0.6975	0.74	0.628571428571429	0.62	0.655	0.616	0.65	0.62	0.64875	0.7	0.68	0.66	0.67	0.6675	0.7	0.698	0.686666666666667	0.65	0.7975	0.7275	0.72	0.69375	0.685	0.656	0.715	0.7	0.663333333333333	0.705714285714286	0.67	0.68875	0.7	0.735	0.723333333333333	0.657	0.73	0.713	0.745	0.7	0.646666666666667	0.686666666666667
"SRR5865069"	0.56	0.582	0.548333333333333	0.57	0.62	0.49	0.56	0.6	0.588333333333333	0.51	0.545	0.56125	0.6	0.536	0.515	0.4725	0.523333333333333	0.465	0.5575	0.56	0.555	0.536666666666667	0.52	0.51	0.565	0.506	0.547777777777778	0.518	0.5	0.595	0.595	0.4775	0.576666666666667	0.51	0.45	0.575	0.59	0.525714285714286	0.48	0.537142857142857	0.505	0.5	0.56	0.43	0.535	0.536	0.575	0.528	0.535	0.57	0.57	0.575	0.6	0.56875	0.54	0.52	0.56	0.563333333333333	0.6425	0.565	0.54	0.5425	0.515	0.592	0.535	0.575	0.58	0.544285714285714	0.543333333333333	0.58125	0.552	0.566666666666667	0.523333333333333	0.55	0.605	0.577	0.605	0.528333333333333	0.54	0.59
"SRR5865070"	0.65	0.626	0.59	0.75	0.73	0.61	0.62	0.66	0.613333333333333	0.57	0.595	0.5775	0.58	0.616	0.5425	0.55	0.653333333333333	0.545	0.555	0.55	0.545	0.513333333333333	0.603333333333333	0.56	0.59	0.53	0.555555555555556	0.518	0.545	0.645	0.645	0.5825	0.663333333333333	0.56	0.552	0.665	0.59	0.598571428571429	0.54	0.631428571428571	0.625	0.593333333333333	0.568571428571429	0.56	0.62	0.542	0.57	0.592	0.58875	0.63	0.65	0.56	0.55	0.6075	0.665	0.58	0.59	0.55	0.6525	0.59	0.61	0.59	0.645	0.57	0.59	0.62	0.603333333333333	0.631428571428571	0.596666666666667	0.61	0.594	0.636666666666667	0.596666666666667	0.62	0.655	0.629	0.675	0.611666666666667	0.58	0.603333333333333
"SRR5865071"	0.64	0.604	0.631666666666667	0.613333333333333	0.54	0.57	0.73	0.4	0.568333333333333	0.57	0.57	0.59125	0.65	0.542	0.5775	0.53	0.5	0.62	0.575	0.605	0.58	0.496666666666667	0.49	0.6	0.55	0.532	0.535555555555556	0.565	0.595	0.56	0.485	0.475	0.533333333333333	0.58	0.54	0.52	0.55	0.544285714285714	0.5	0.552857142857143	0.55	0.55	0.575714285714286	0.46	0.515	0.542	0.5675	0.544	0.515	0.58	0.56	0.585	0.64	0.6	0.55	0.542	0.54	0.59	0.595	0.5875	0.63	0.6175	0.565	0.554	0.645	0.6	0.54	0.577142857142857	0.55	0.57375	0.56	0.613333333333333	0.526666666666667	0.56	0.61	0.568	0.555	0.566666666666667	0.59	0.583333333333333
"SRR5865072"	0.53	0.604	0.578333333333333	0.67	0.67	0.54	0.55	0.59	0.578333333333333	0.58	0.575	0.56875	0.59	0.584	0.455	0.4925	0.536666666666667	0.42	0.5025	0.5	0.5325	0.52	0.553333333333333	0.48	0.57	0.522	0.525555555555556	0.493	0.435	0.595	0.595	0.5525	0.626666666666667	0.47	0.432	0.66	0.57	0.512857142857143	0.51	0.575714285714286	0.5725	0.48	0.514285714285714	0.41	0.49	0.498	0.5725	0.57	0.5575	0.51	0.53	0.565	0.5	0.545	0.545	0.5	0.526666666666667	0.516666666666667	0.6425	0.5675	0.6	0.515	0.535	0.574	0.555	0.575	0.553333333333333	0.588571428571429	0.553333333333333	0.58125	0.558	0.613333333333333	0.543333333333333	0.555	0.565	0.555	0.56	0.526666666666667	0.596666666666667	0.548333333333333
"SRR5865073"	0.59	0.652	0.623333333333333	0.676666666666667	0.705	0.7	0.65	0.55	0.638333333333333	0.57	0.605	0.60875	0.58	0.644	0.6625	0.625	0.58	0.59	0.67	0.57	0.6025	0.523333333333333	0.593333333333333	0.6	0.54	0.564	0.567777777777778	0.635	0.59	0.61	0.52	0.6325	0.596666666666667	0.55	0.642	0.645	0.6	0.627142857142857	0.57	0.63	0.66	0.636666666666667	0.642857142857143	0.63	0.585	0.566	0.58	0.594	0.50875	0.65	0.62	0.61	0.6	0.64125	0.6	0.652	0.66	0.566666666666667	0.59375	0.6125	0.6	0.6625	0.575	0.598	0.605	0.55	0.67	0.612857142857143	0.61	0.57875	0.646	0.593333333333333	0.646666666666667	0.562	0.605	0.547	0.655	0.698333333333333	0.59	0.633333333333333
"SRR5865074"	0.76	0.732	0.776666666666667	0.876666666666667	0.775	0.76	0.81	0.73	0.716666666666667	0.71	0.72	0.66875	0.72	0.724	0.6325	0.7375	0.746666666666667	0.765	0.6625	0.7	0.6675	0.64	0.701666666666667	0.66	0.685	0.71	0.708888888888889	0.683	0.71	0.72	0.82	0.715	0.783333333333333	0.72	0.734	0.785	0.66	0.721428571428571	0.69	0.811428571428571	0.76	0.796666666666667	0.692857142857143	0.63	0.725	0.656	0.6825	0.696	0.67875	0.79	0.7	0.655	0.73	0.77	0.75	0.746	0.703333333333333	0.693333333333333	0.81125	0.7175	0.71	0.77125	0.705	0.696	0.685	0.75	0.726666666666667	0.767142857142857	0.713333333333333	0.7025	0.746	0.796666666666667	0.743333333333333	0.688	0.775	0.763	0.785	0.761666666666667	0.7	0.753333333333333
"SRR5865075"	0.76	0.716	0.73	0.876666666666667	0.785	0.66	0.73	0.77	0.75	0.72	0.695	0.66125	0.69	0.722	0.645	0.715	0.746666666666667	0.74	0.6375	0.675	0.6325	0.6	0.716666666666667	0.64	0.71	0.698	0.697777777777778	0.626	0.665	0.74	0.805	0.7175	0.756666666666667	0.63	0.748	0.83	0.7	0.704285714285714	0.71	0.761428571428571	0.7225	0.733333333333333	0.662857142857143	0.62	0.69	0.656	0.645	0.666	0.67	0.74	0.71	0.635	0.64	0.7325	0.735	0.724	0.676666666666667	0.68	0.82	0.6975	0.72	0.74	0.725	0.698	0.655	0.74	0.733333333333333	0.725714285714286	0.656666666666667	0.72	0.724	0.753333333333333	0.723333333333333	0.705	0.72	0.717	0.73	0.746666666666667	0.673333333333333	0.731666666666667
"SRR5865077"	0.56	0.62	0.616666666666667	0.783333333333333	0.77	0.54	0.64	0.57	0.62	0.6	0.58	0.56875	0.61	0.616	0.495	0.54	0.673333333333333	0.55	0.51	0.555	0.5275	0.57	0.595	0.48	0.625	0.6	0.596666666666667	0.531	0.535	0.66	0.74	0.595	0.66	0.56	0.598	0.71	0.57	0.585714285714286	0.56	0.66	0.625	0.646666666666667	0.575714285714286	0.51	0.665	0.56	0.535	0.572	0.60875	0.6	0.65	0.565	0.51	0.62	0.67	0.628	0.593333333333333	0.61	0.71875	0.5925	0.59	0.58625	0.59	0.572	0.575	0.625	0.64	0.648571428571429	0.57	0.65	0.626	0.651666666666667	0.566666666666667	0.603	0.625	0.629	0.625	0.615	0.606666666666667	0.61
"SRR5865085"	0.66	0.706	0.683333333333333	0.83	0.795	0.69	0.71	0.7	0.715	0.64	0.67	0.64	0.69	0.702	0.5975	0.68	0.72	0.715	0.6375	0.64	0.685	0.586666666666667	0.705	0.63	0.68	0.632	0.675555555555556	0.619	0.65	0.7	0.75	0.69	0.773333333333333	0.62	0.704	0.78	0.63	0.705714285714286	0.55	0.754285714285714	0.7375	0.746666666666667	0.671428571428571	0.64	0.69	0.656	0.645	0.658	0.66	0.79	0.58	0.675	0.66	0.7525	0.67	0.692	0.653333333333333	0.66	0.79875	0.71	0.71	0.73	0.72	0.678	0.595	0.7	0.7	0.734285714285714	0.686666666666667	0.68125	0.718	0.718333333333333	0.73	0.659	0.7	0.716	0.74	0.746666666666667	0.673333333333333	0.715
"SRR5865086"	0.7	0.714	0.711666666666667	0.803333333333333	0.76	0.67	0.68	0.7	0.69	0.7	0.685	0.6375	0.73	0.684	0.6425	0.7125	0.69	0.73	0.6325	0.66	0.6325	0.62	0.668333333333333	0.6	0.645	0.662	0.68	0.641	0.69	0.755	0.74	0.615	0.726666666666667	0.62	0.66	0.74	0.64	0.681428571428571	0.54	0.734285714285714	0.68	0.726666666666667	0.64	0.64	0.695	0.622	0.61	0.632	0.6375	0.75	0.66	0.625	0.59	0.74625	0.61	0.662	0.653333333333333	0.666666666666667	0.78625	0.675	0.66	0.6775	0.65	0.698	0.64	0.635	0.653333333333333	0.702857142857143	0.656666666666667	0.67125	0.702	0.731666666666667	0.686666666666667	0.63	0.68	0.684	0.755	0.706666666666667	0.706666666666667	0.69
"SRR5865087"	0.69	0.72	0.62	0.763333333333333	0.79	0.73	0.6	0.68	0.68	0.66	0.65	0.61125	0.61	0.71	0.5925	0.67	0.663333333333333	0.645	0.58	0.59	0.5875	0.563333333333333	0.656666666666667	0.59	0.67	0.61	0.642222222222222	0.583	0.64	0.66	0.675	0.6325	0.7	0.58	0.67	0.76	0.61	0.641428571428571	0.68	0.684285714285714	0.6875	0.686666666666667	0.638571428571429	0.63	0.645	0.612	0.6325	0.584	0.5925	0.65	0.62	0.655	0.63	0.66375	0.585	0.662	0.626666666666667	0.646666666666667	0.75375	0.7075	0.65	0.65625	0.62	0.67	0.66	0.67	0.69	0.727142857142857	0.673333333333333	0.66875	0.668	0.683333333333333	0.64	0.623	0.665	0.647	0.695	0.706666666666667	0.68	0.663333333333333
"SRR5865096"	0.78	0.796	0.761666666666667	0.873333333333333	0.875	0.8	0.7	0.74	0.773333333333333	0.73	0.755	0.715	0.77	0.802	0.73	0.795	0.763333333333333	0.775	0.715	0.735	0.7175	0.676666666666667	0.76	0.72	0.75	0.726	0.726666666666667	0.757	0.725	0.77	0.8	0.6975	0.773333333333333	0.72	0.766	0.83	0.75	0.751428571428571	0.62	0.788571428571429	0.7925	0.816666666666667	0.752857142857143	0.71	0.755	0.726	0.7175	0.702	0.6775	0.83	0.71	0.765	0.76	0.80625	0.755	0.752	0.713333333333333	0.736666666666667	0.8175	0.78	0.71	0.7575	0.73	0.72	0.665	0.72	0.803333333333333	0.801428571428571	0.726666666666667	0.765	0.778	0.753333333333333	0.776666666666667	0.71	0.755	0.747	0.86	0.773333333333333	0.79	0.771666666666667
"SRR5865097"	0.78	0.768	0.783333333333333	0.853333333333333	0.84	0.75	0.73	0.74	0.721666666666667	0.74	0.655	0.60875	0.67	0.728	0.635	0.6975	0.756666666666667	0.8	0.6325	0.705	0.605	0.656666666666667	0.705	0.64	0.72	0.706	0.711111111111111	0.67	0.73	0.74	0.785	0.69	0.756666666666667	0.65	0.732	0.77	0.72	0.7	0.67	0.785714285714286	0.7275	0.783333333333333	0.678571428571429	0.63	0.685	0.702	0.6625	0.648	0.67125	0.79	0.67	0.67	0.67	0.755	0.735	0.746	0.696666666666667	0.66	0.82375	0.7175	0.65	0.71	0.715	0.718	0.715	0.695	0.756666666666667	0.752857142857143	0.686666666666667	0.72875	0.73	0.753333333333333	0.74	0.674	0.74	0.697	0.75	0.73	0.74	0.725
"SRR5865098"	0.84	0.784	0.803333333333333	0.86	0.86	0.78	0.8	0.75	0.816666666666667	0.8	0.785	0.7275	0.86	0.824	0.7225	0.7875	0.79	0.835	0.6975	0.755	0.7375	0.7	0.785	0.76	0.85	0.746	0.802222222222222	0.738	0.76	0.78	0.825	0.7525	0.78	0.73	0.822	0.81	0.77	0.764285714285714	0.71	0.798571428571429	0.7625	0.833333333333333	0.712857142857143	0.75	0.73	0.758	0.775	0.73	0.74125	0.86	0.79	0.795	0.81	0.795	0.75	0.77	0.716666666666667	0.726666666666667	0.84125	0.8375	0.71	0.81	0.78	0.8	0.74	0.805	0.82	0.837142857142857	0.746666666666667	0.7775	0.816	0.828333333333333	0.806666666666667	0.746	0.845	0.808	0.81	0.82	0.776666666666667	0.785
"SRR5865110"	0.54	0.624	0.535	0.616666666666667	0.67	0.65	0.61	0.6	0.593333333333333	0.53	0.535	0.575	0.55	0.57	0.5825	0.5225	0.613333333333333	0.54	0.565	0.535	0.5225	0.503333333333333	0.568333333333333	0.6	0.505	0.568	0.513333333333333	0.566	0.565	0.605	0.525	0.5675	0.58	0.56	0.564	0.615	0.63	0.552857142857143	0.56	0.615714285714286	0.615	0.56	0.595714285714286	0.48	0.54	0.494	0.5425	0.586	0.5225	0.59	0.64	0.515	0.52	0.57625	0.615	0.578	0.613333333333333	0.553333333333333	0.555	0.5675	0.59	0.58625	0.495	0.528	0.585	0.545	0.63	0.598571428571429	0.613333333333333	0.57625	0.564	0.573333333333333	0.553333333333333	0.55	0.54	0.523	0.625	0.591666666666667	0.52	0.561666666666667
"SRR5865111"	0.63	0.656	0.62	0.726666666666667	0.785	0.66	0.68	0.69	0.658333333333333	0.66	0.59	0.5725	0.63	0.678	0.555	0.6025	0.69	0.655	0.57	0.625	0.605	0.536666666666667	0.656666666666667	0.58	0.55	0.53	0.575555555555556	0.56	0.615	0.68	0.63	0.615	0.66	0.52	0.602	0.71	0.56	0.625714285714286	0.54	0.642857142857143	0.6575	0.623333333333333	0.607142857142857	0.66	0.62	0.558	0.5775	0.564	0.6425	0.64	0.62	0.655	0.55	0.6175	0.625	0.648	0.6	0.576666666666667	0.6825	0.6725	0.74	0.62875	0.645	0.604	0.595	0.635	0.65	0.677142857142857	0.603333333333333	0.6075	0.658	0.655	0.596666666666667	0.602	0.67	0.638	0.72	0.645	0.566666666666667	0.635
