"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.68	0.644	0.636666666666667	0.696666666666667	0.715	0.6	0.63	0.66	0.686666666666667	0.7	0.66	0.62	0.7	0.678	0.5725	0.66	0.633333333333333	0.66	0.6275	0.575	0.6075	0.516666666666667	0.645	0.68	0.69	0.608	0.64	0.643	0.685	0.68	0.7	0.6625	0.696666666666667	0.63	0.692	0.73	0.58	0.605714285714286	0.65	0.66	0.6775	0.7	0.602857142857143	0.66	0.59	0.58	0.6075	0.626	0.6025	0.65	0.66	0.635	0.63	0.68625	0.6	0.628	0.586666666666667	0.62	0.6875	0.655	0.62	0.69875	0.625	0.628	0.56	0.615	0.686666666666667	0.73	0.666666666666667	0.61125	0.652	0.703333333333333	0.66	0.667	0.65	0.686	0.63	0.693333333333333	0.613333333333333	0.72
"SAMPLE-2"	0.31	0.448	0.396666666666667	0.413333333333333	0.525	0.41	0.39	0.5	0.468333333333333	0.44	0.485	0.4675	0.43	0.444	0.405	0.2425	0.416666666666667	0.3	0.4625	0.37	0.4475	0.386666666666667	0.421666666666667	0.44	0.45	0.38	0.398888888888889	0.42	0.36	0.46	0.465	0.41	0.47	0.49	0.36	0.49	0.44	0.408571428571429	0.48	0.365714285714286	0.385	0.346666666666667	0.447142857142857	0.36	0.465	0.416	0.4275	0.486	0.455	0.42	0.4	0.46	0.47	0.3875	0.405	0.43	0.42	0.47	0.415	0.4725	0.55	0.4275	0.445	0.478	0.445	0.48	0.42	0.437142857142857	0.473333333333333	0.45375	0.452	0.448333333333333	0.503333333333333	0.481	0.445	0.43	0.39	0.383333333333333	0.473333333333333	0.41
"SAMPLE-3"	0.72	0.66	0.673333333333333	0.736666666666667	0.705	0.65	0.65	0.79	0.713333333333333	0.67	0.645	0.5775	0.64	0.662	0.5975	0.65	0.626666666666667	0.63	0.57	0.65	0.5725	0.583333333333333	0.625	0.62	0.75	0.62	0.668888888888889	0.592	0.685	0.635	0.77	0.635	0.696666666666667	0.69	0.668	0.715	0.69	0.594285714285714	0.57	0.605714285714286	0.58	0.653333333333333	0.578571428571429	0.69	0.625	0.61	0.66	0.588	0.63125	0.6	0.69	0.705	0.62	0.5975	0.645	0.616	0.616666666666667	0.613333333333333	0.72375	0.6975	0.67	0.5975	0.63	0.67	0.585	0.65	0.663333333333333	0.704285714285714	0.593333333333333	0.6225	0.706	0.718333333333333	0.63	0.654	0.68	0.699	0.625	0.648333333333333	0.646666666666667	0.708333333333333
"SAMPLE-4"	0.43	0.534	0.46	0.553333333333333	0.45	0.48	0.51	0.54	0.468333333333333	0.46	0.53	0.48	0.45	0.52	0.465	0.46	0.523333333333333	0.42	0.4725	0.495	0.47	0.493333333333333	0.466666666666667	0.45	0.475	0.502	0.536666666666667	0.453	0.47	0.555	0.455	0.5	0.536666666666667	0.48	0.456	0.55	0.57	0.474285714285714	0.57	0.451428571428571	0.4975	0.41	0.46	0.47	0.55	0.482	0.4975	0.476	0.555	0.47	0.55	0.47	0.51	0.42875	0.585	0.464	0.49	0.52	0.49875	0.5	0.53	0.47125	0.49	0.546	0.46	0.555	0.44	0.46	0.456666666666667	0.56	0.488	0.54	0.493333333333333	0.532	0.57	0.499	0.53	0.448333333333333	0.543333333333333	0.451666666666667
"SAMPLE-5"	0.28	0.416	0.38	0.416666666666667	0.39	0.36	0.5	0.5	0.435	0.31	0.43	0.4525	0.38	0.432	0.3875	0.3425	0.416666666666667	0.25	0.35	0.39	0.3775	0.39	0.383333333333333	0.36	0.4	0.392	0.415555555555556	0.387	0.345	0.47	0.435	0.335	0.46	0.4	0.356	0.44	0.44	0.391428571428571	0.47	0.374285714285714	0.375	0.3	0.401428571428571	0.28	0.435	0.422	0.4425	0.44	0.46	0.34	0.42	0.425	0.39	0.375	0.445	0.354	0.42	0.48	0.4575	0.395	0.51	0.45625	0.375	0.482	0.405	0.465	0.4	0.431428571428571	0.423333333333333	0.4725	0.42	0.495	0.413333333333333	0.459	0.465	0.421	0.43	0.378333333333333	0.503333333333333	0.396666666666667
"SAMPLE-6"	0.45	0.52	0.478333333333333	0.476666666666667	0.525	0.53	0.57	0.48	0.533333333333333	0.5	0.47	0.52875	0.5	0.6	0.5025	0.4875	0.453333333333333	0.415	0.4775	0.5	0.5175	0.48	0.446666666666667	0.51	0.48	0.468	0.537777777777778	0.517	0.48	0.55	0.56	0.46	0.51	0.54	0.516	0.53	0.51	0.505714285714286	0.57	0.51	0.4875	0.45	0.512857142857143	0.45	0.625	0.484	0.5075	0.53	0.5575	0.42	0.52	0.525	0.45	0.515	0.5	0.536	0.493333333333333	0.49	0.5275	0.5525	0.53	0.51625	0.49	0.556	0.545	0.5	0.513333333333333	0.547142857142857	0.51	0.5525	0.54	0.59	0.503333333333333	0.498	0.565	0.519	0.475	0.476666666666667	0.546666666666667	0.558333333333333
"SAMPLE-7"	0.6	0.514	0.566666666666667	0.526666666666667	0.5	0.46	0.6	0.54	0.56	0.56	0.5	0.5125	0.62	0.544	0.5225	0.5575	0.506666666666667	0.54	0.53	0.54	0.495	0.55	0.521666666666667	0.49	0.565	0.518	0.553333333333333	0.52	0.55	0.53	0.51	0.52	0.523333333333333	0.51	0.514	0.585	0.52	0.5	0.47	0.46	0.455	0.48	0.507142857142857	0.46	0.545	0.532	0.5625	0.504	0.5675	0.49	0.59	0.54	0.55	0.49875	0.495	0.552	0.543333333333333	0.483333333333333	0.555	0.5825	0.59	0.555	0.505	0.558	0.57	0.51	0.516666666666667	0.568571428571429	0.516666666666667	0.5125	0.614	0.568333333333333	0.55	0.547	0.545	0.565	0.47	0.565	0.53	0.591666666666667
"SAMPLE-8"	0.51	0.54	0.545	0.486666666666667	0.555	0.52	0.6	0.47	0.566666666666667	0.54	0.485	0.53875	0.55	0.546	0.5175	0.5125	0.513333333333333	0.455	0.5525	0.535	0.5075	0.543333333333333	0.518333333333333	0.53	0.565	0.5	0.506666666666667	0.534	0.46	0.55	0.535	0.51	0.53	0.51	0.5	0.53	0.63	0.491428571428571	0.57	0.534285714285714	0.4975	0.476666666666667	0.492857142857143	0.42	0.56	0.484	0.56	0.55	0.5225	0.41	0.61	0.555	0.49	0.51375	0.51	0.53	0.553333333333333	0.546666666666667	0.55125	0.58	0.63	0.53375	0.56	0.54	0.56	0.575	0.546666666666667	0.585714285714286	0.543333333333333	0.54625	0.556	0.57	0.476666666666667	0.534	0.535	0.554	0.46	0.545	0.633333333333333	0.543333333333333
"SAMPLE-9"	0.54	0.584	0.546666666666667	0.583333333333333	0.56	0.61	0.62	0.57	0.588333333333333	0.54	0.545	0.55375	0.54	0.594	0.475	0.5225	0.58	0.51	0.47	0.565	0.5275	0.49	0.568333333333333	0.46	0.62	0.542	0.53	0.5	0.52	0.55	0.56	0.505	0.58	0.55	0.498	0.61	0.56	0.501428571428571	0.61	0.454285714285714	0.47	0.46	0.478571428571429	0.54	0.545	0.486	0.56	0.576	0.58875	0.5	0.58	0.605	0.62	0.5	0.56	0.552	0.533333333333333	0.6	0.5825	0.625	0.6	0.4825	0.535	0.598	0.565	0.56	0.593333333333333	0.577142857142857	0.6	0.58125	0.526	0.598333333333333	0.506666666666667	0.568	0.615	0.564	0.52	0.508333333333333	0.556666666666667	0.525
"SAMPLE-10"	0.53	0.576	0.558333333333333	0.563333333333333	0.46	0.5	0.64	0.46	0.451666666666667	0.54	0.51	0.5075	0.48	0.43	0.4825	0.5075	0.45	0.45	0.475	0.44	0.415	0.493333333333333	0.388333333333333	0.49	0.46	0.466	0.487777777777778	0.531	0.565	0.495	0.485	0.4	0.523333333333333	0.49	0.446	0.415	0.53	0.487142857142857	0.4	0.472857142857143	0.465	0.456666666666667	0.507142857142857	0.45	0.47	0.488	0.515	0.438	0.49	0.44	0.56	0.45	0.55	0.4875	0.48	0.462	0.49	0.51	0.53625	0.46	0.46	0.52125	0.41	0.434	0.52	0.46	0.436666666666667	0.464285714285714	0.516666666666667	0.50375	0.468	0.52	0.446666666666667	0.531	0.495	0.505	0.455	0.48	0.536666666666667	0.49
